,Measure,Moonglow,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Abmaj7,Ab,0.0,1960.7734375,523.9833984375,704.2387084960938,2651.52978515625,900.7074584960938,218.05621337890625,366.0106506347656,1910.9798583984375,1744.6348876953125,342.8634033203125,207.4142303466797,534.8401489257812
1,2,Db9,Db,2.0,230.01792907714844,177.8817596435547,412.8933410644531,1337.4488525390625,340.4738464355469,549.3652954101562,536.954345703125,3070.163330078125,712.2670288085938,92.9134750366211,183.48057556152344,686.4767456054688
2,3,Ebmaj7,Eb,4.0,48.23844909667969,62.256656646728516,260.7389221191406,419.0849609375,78.23998260498047,22.67584800720215,32.5847282409668,156.4255828857422,29.16205596923828,28.876550674438477,145.71243286132812,44.32172775268555
3,3,Cmin7,C,5.0,113.83316802978516,39.28632354736328,135.64186096191406,617.4839477539062,149.1051483154297,39.65868377685547,52.19465255737305,223.73089599609375,39.49649429321289,32.549747467041016,171.70751953125,73.380615234375
4,4,F9,F,6.0,760.7944946289062,176.1351776123047,295.3053283691406,1335.115966796875,563.000732421875,540.750244140625,295.98992919921875,1571.3553466796875,270.8855285644531,224.1976776123047,86.48047637939453,180.0896453857422
5,5,Fmin7,F,8.0,1127.5430908203125,229.36737060546875,290.3440856933594,1329.9638671875,420.8295593261719,491.4985656738281,103.89803314208984,170.114013671875,251.9751739501953,76.15422821044922,84.52558135986328,215.0918426513672
6,6,Bb13,Bb,10.0,797.28515625,228.314697265625,552.7405395507812,1378.77587890625,468.1761474609375,842.901611328125,749.854736328125,3920.390380859375,861.6246948242188,141.3077850341797,211.11033630371094,218.4398956298828
7,7,Ebmaj7,Eb,12.0,14.594372749328613,52.75979995727539,281.15655517578125,641.08349609375,111.38003540039062,26.492904663085938,38.73810958862305,171.7479705810547,28.866777420043945,29.417312622070312,135.7335968017578,30.30341339111328
8,7,Ebdim7,Eb,13.0,230.05213928222656,63.0248908996582,126.91463470458984,606.0432739257812,112.77381134033203,76.97478485107422,314.85296630859375,92.07581329345703,27.43702507019043,102.0538558959961,57.79147720336914,56.29489517211914
9,8,Fmin7,F,14.0,276.4502868652344,60.374027252197266,98.31161499023438,451.067138671875,146.9330596923828,154.8492431640625,65.88296508789062,80.14778900146484,102.19817352294922,32.53386306762695,56.520843505859375,59.39155960083008
10,8,Ebmaj7,Eb,15.0,39.71096420288086,55.85731887817383,249.99195861816406,363.4613342285156,75.01546478271484,47.81560134887695,49.52744674682617,162.66270446777344,28.41967010498047,30.077486038208008,142.79185485839844,33.931270599365234
11,9,Eb7,Eb,16.0,103.43973541259766,542.5444946289062,349.9696350097656,1318.4881591796875,219.30894470214844,80.55147552490234,119.37872314453125,530.8456420898438,85.4610824584961,163.4757537841797,1107.421142578125,185.4683837890625
12,10,D7,D,18.0,6.819604873657227,5.481639385223389,14.218017578125,14.56445598602295,8.993548393249512,60.244991302490234,21.764028549194336,4.601686000823975,11.082903861999512,199.16668701171875,1300.4508056640625,200.7736053466797
13,10,Db7,Db,19.0,437.8833312988281,624.6817016601562,335.9181213378906,193.21702575683594,280.5382385253906,1177.2532958984375,521.6764526367188,280.38330078125,1475.3370361328125,623.7752685546875,173.90443420410156,579.2018432617188
14,11,C7,C,20.0,2258.541259765625,1037.2808837890625,451.3166198730469,856.6163940429688,4893.56982421875,2716.079833984375,1161.876708984375,4302.29833984375,917.7462768554688,344.9378662109375,1175.9171142578125,837.8532104492188
15,13,F9,F,24.0,2284.0537109375,595.6697387695312,1429.037109375,4350.33837890625,1750.1083984375,1822.0667724609375,2170.034423828125,13584.50390625,2161.88818359375,690.6472778320312,242.5985870361328,574.09130859375
16,15,Bb13,Bb,28.0,328.3073425292969,79.8833999633789,144.5911407470703,389.57177734375,147.5602264404297,243.7755126953125,140.45199584960938,546.024169921875,173.8598175048828,40.52901077270508,60.23249816894531,73.50791931152344
17,15,B7,B,29.0,143.64260864257812,148.95816040039062,245.57090759277344,922.2338256835938,203.97816467285156,258.0515441894531,1150.094970703125,232.1842041015625,128.25099182128906,477.4488830566406,252.348876953125,544.5801391601562
18,16,Bb7,Bb,30.0,38.29033279418945,41.93171310424805,210.3166046142578,201.4656982421875,101.91961669921875,399.5806579589844,228.3747100830078,54.56252670288086,100.88418579101562,150.37449645996094,159.18890380859375,111.38256072998047
19,16,Eb9,Eb,31.0,66.32845306396484,224.62498474121094,204.7506103515625,185.5652313232422,97.66220092773438,335.3873596191406,88.49036407470703,124.37003326416016,48.38705825805664,55.68684387207031,139.32064819335938,64.90353393554688
20,17,Abmaj7,Ab,32.0,2016.8331298828125,639.2957763671875,705.7266235351562,2528.201904296875,938.47802734375,466.3124084472656,425.0863342285156,1892.9697265625,1712.74853515625,351.3401184082031,235.42430114746094,587.0678100585938
21,18,Db9,Db,34.0,340.4550476074219,206.40480041503906,419.7911071777344,1321.2218017578125,362.7857666015625,638.1072998046875,560.6900024414062,3097.9267578125,717.7434692382812,98.37225341796875,188.61830139160156,694.6304321289062
22,19,Ebmaj7,Eb,36.0,49.73203659057617,62.009029388427734,252.20274353027344,419.2593994140625,76.4547119140625,25.401758193969727,34.10209655761719,153.85940551757812,30.05633544921875,29.765884399414062,149.23806762695312,45.1746826171875
23,19,Cmin7,C,37.0,345.8193359375,94.86322784423828,146.42982482910156,618.58056640625,154.92091369628906,40.8026008605957,55.25886917114258,232.1088104248047,41.87119674682617,35.927635192871094,182.60890197753906,113.2645034790039
24,20,F9,F,38.0,1021.97509765625,209.6626739501953,294.2912902832031,1337.4384765625,575.3539428710938,560.4813232421875,303.446533203125,1582.8095703125,271.3020935058594,220.75238037109375,88.09540557861328,221.38844299316406
25,21,Fmin7,F,40.0,1232.6441650390625,241.9901580810547,292.51788330078125,1334.01318359375,425.2220153808594,507.3902282714844,107.4808349609375,172.4985809326172,250.9242401123047,75.81429290771484,85.93780517578125,231.6475372314453
26,22,Bb13,Bb,42.0,1056.933837890625,258.69415283203125,553.4052124023438,1381.4024658203125,471.0509338378906,829.719970703125,750.8137817382812,3924.818359375,862.0962524414062,142.10353088378906,211.42340087890625,259.4845275878906
27,23,Ebmaj7,Eb,44.0,16.33110237121582,51.87451171875,279.0628662109375,641.6336059570312,111.4368896484375,26.685882568359375,38.91817855834961,171.83998107910156,28.88739013671875,29.240476608276367,135.1737823486328,30.827905654907227
28,23,Ebdim7,Eb,45.0,230.3267364501953,63.128902435302734,127.10485076904297,605.8533325195312,112.73441314697266,77.61222076416016,314.6651611328125,91.9468002319336,27.37232780456543,102.07147979736328,57.80588150024414,56.52333450317383
29,24,Fmin7,F,46.0,276.34478759765625,60.40701675415039,98.36591339111328,451.2415466308594,147.0404052734375,154.60304260253906,65.76795196533203,80.11284637451172,102.12539672851562,32.54109573364258,56.732574462890625,59.4208984375
30,24,Ebmaj7,Eb,47.0,279.6363220214844,328.25750732421875,1659.5576171875,3261.91796875,558.9692993164062,373.3878479003906,371.8253479003906,1226.6644287109375,210.45606994628906,202.17919921875,928.425048828125,214.50624084472656
