,Measure,SoulStation,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Eb7,Eb,0.0,41.6197624206543,63.90947341918945,109.7347412109375,47.51773452758789,28.787290573120117,105.94635009765625,577.6170043945312,1401.9765625,275.37652587890625,151.78733825683594,790.7744750976562,141.75881958007812
1,2,Bb7,Bb,2.0,40.49964141845703,62.25285339355469,111.9139633178711,528.2781372070312,99.51592254638672,33.86921310424805,75.25603485107422,414.4821472167969,2645.637939453125,562.0729370117188,715.9028930664062,96.51551055908203
2,3,Eb7,Eb,4.0,46.37480163574219,82.82379913330078,224.2731170654297,117.74575805664062,112.29283905029297,501.7151794433594,645.0053100585938,1463.9503173828125,325.59375,159.9134979248047,758.1487426757812,138.21678161621094
3,4,Bbmin7,Bb,6.0,15.042476654052734,17.594995498657227,45.45143508911133,170.02182006835938,38.398258209228516,21.760221481323242,16.312253952026367,157.01942443847656,1039.5574951171875,228.93115234375,322.1734313964844,42.112239837646484
4,4,Eb7,Eb,7.0,90.30450439453125,298.7869567871094,65.84026336669922,46.30916213989258,140.6592559814453,598.1864624023438,118.38082122802734,36.39291000366211,171.93927001953125,115.9967041015625,292.7198791503906,95.08951568603516
5,5,Ab7,Ab,8.0,540.0061645507812,1273.5267333984375,613.9536743164062,2036.5390625,437.5948181152344,569.5392456054688,462.4605712890625,1101.1209716796875,261.03228759765625,248.44122314453125,1174.793212890625,723.0271606445312
6,6,Ab7,Ab,10.0,255.39930725097656,488.8562927246094,182.093017578125,459.2194519042969,104.79776763916016,156.4683380126953,264.70782470703125,93.31842803955078,210.03831481933594,57.624446868896484,35.813682556152344,102.84738159179688
7,7,Bb7,Bb,12.0,59.50277328491211,28.054723739624023,59.941524505615234,124.5147933959961,25.767242431640625,65.6551513671875,79.5764389038086,18.707542419433594,15.563400268554688,214.88677978515625,1392.6925048828125,216.34869384765625
8,7,Ab7,Ab,13.0,70.34307098388672,89.12383270263672,353.1718444824219,122.67950439453125,153.64952087402344,574.4865112304688,143.49095153808594,73.15128326416016,416.2335205078125,207.4955291748047,342.5017395019531,108.0848159790039
9,8,Bb7,Bb,14.0,675.7811889648438,177.2271270751953,416.3567810058594,1115.9971923828125,306.3658447265625,641.2900390625,946.1342163085938,214.775146484375,200.8910675048828,423.11865234375,2250.873291015625,465.3591003417969
10,9,Eb7,Eb,16.0,296.41094970703125,84.27730560302734,140.75074768066406,187.06275939941406,132.5236358642578,422.2279357910156,120.1063232421875,159.1277618408203,76.69134521484375,22.689821243286133,34.64837646484375,54.751285552978516
11,10,Eb7,Eb,18.0,31.003692626953125,77.6047134399414,141.3379364013672,549.6242065429688,119.11626434326172,107.2550048828125,309.3844299316406,136.1731719970703,21.97332763671875,18.359899520874023,102.18527221679688,30.274873733520508
12,11,Ab7,Ab,20.0,28.2104434967041,62.127193450927734,104.4486083984375,415.4156494140625,75.89508819580078,38.57970428466797,41.41727828979492,116.56842803955078,176.8110809326172,281.7338562011719,109.83147430419922,20.597370147705078
13,12,Adim7,A,22.0,198.0150909423828,62.740779876708984,123.70834350585938,579.7003784179688,114.58667755126953,54.30406188964844,239.63336181640625,119.885498046875,277.5677490234375,87.1908950805664,37.96695327758789,45.392486572265625
14,13,Eb7,Eb,24.0,55.34230041503906,17.16278076171875,33.116676330566406,126.5738296508789,29.084794998168945,16.928447723388672,65.05931854248047,18.45309829711914,6.29777193069458,20.911481857299805,102.20629119873047,27.89931297302246
15,13,Cmin7,C,25.0,78.6261978149414,344.6614685058594,178.5924835205078,545.0288696289062,97.96316528320312,29.76225471496582,60.1063117980957,285.0872802734375,62.404842376708984,81.12300872802734,380.562744140625,87.84439849853516
16,14,F7,F,26.0,867.3291015625,212.69776916503906,323.82696533203125,1030.4736328125,334.0783386230469,82.72220611572266,113.90560150146484,592.4993286132812,135.6350555419922,118.42739868164062,587.0819702148438,301.7976379394531
17,14,Bb7,Bb,27.0,411.5608215332031,107.59850311279297,103.35118865966797,544.5171508789062,267.9607849121094,410.6606750488281,129.14675903320312,145.11305236816406,83.63042449951172,240.38232421875,100.6672592163086,87.3759536743164
18,15,Eb7,Eb,28.0,382.4048156738281,284.9989318847656,1064.260498046875,603.8836059570312,398.4180603027344,1341.8914794921875,390.85595703125,183.3770751953125,683.579833984375,530.8326416015625,1322.6639404296875,278.9446105957031
19,16,Bb7,Bb,30.0,78.6626205444336,81.5129165649414,176.6512908935547,549.47314453125,129.14768981933594,194.48683166503906,114.54071807861328,401.09814453125,2467.4140625,535.1515502929688,718.176025390625,104.9886703491211
20,17,Eb7,Eb,32.0,17.31821632385254,30.188077926635742,117.92255401611328,73.08231353759766,84.59896087646484,434.1009521484375,82.21459197998047,26.461156845092773,46.6328010559082,76.77659606933594,413.8750915527344,68.04206085205078
21,18,Eb7,Eb,34.0,14.385540008544922,54.82072067260742,112.80170440673828,401.774169921875,72.75536346435547,64.26927947998047,18.606201171875,54.646575927734375,11.52389144897461,11.816121101379395,50.4112663269043,11.517539978027344
22,19,Eb7,Eb,36.0,13.2119140625,53.75986862182617,98.32117462158203,402.333740234375,58.85445022583008,27.655715942382812,17.042566299438477,57.90583801269531,10.611181259155273,9.377691268920898,44.26295852661133,10.921710968017578
23,20,Eb7,Eb,38.0,12.229508399963379,50.78593063354492,91.04064178466797,402.3200988769531,61.38295364379883,13.946551322937012,11.29666805267334,54.714202880859375,9.093867301940918,9.828694343566895,49.737884521484375,10.880447387695312
24,21,Ab7,Ab,40.0,16.3754825592041,47.58656692504883,88.875732421875,401.3363952636719,57.73919677734375,10.87008285522461,22.74523162841797,57.241703033447266,11.969172477722168,8.886797904968262,42.867889404296875,10.820293426513672
