,Measure,HaitianFightSong,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,8,Bb,Bb,14.0,26935.435546875,26254.576171875,33176.21875,8303.55078125,6343.658203125,19167.32421875,27859.873046875,155389.96875,37508.39453125,34552.22265625,160667.078125,27940.0234375
1,21,Gmin7,G,40.0,186.28672790527344,326.9905090332031,1239.661865234375,354.4006042480469,643.1244506835938,2961.540283203125,1471.2447509765625,4923.5185546875,940.3941040039062,713.561767578125,1930.31689453125,394.8354187011719
2,22,Gmin7,G,42.0,186.29254150390625,327.0115051269531,1239.745849609375,354.4151306152344,643.1643676757812,2961.724609375,1471.1229248046875,4922.6142578125,940.2918090820312,713.528076171875,1930.37548828125,394.8477478027344
3,23,Gmin7,G,44.0,186.29209899902344,327.0119934082031,1239.7479248046875,354.4127502441406,643.1619262695312,2961.723876953125,1471.1212158203125,4922.60986328125,940.288330078125,713.5265502929688,1930.3726806640625,394.8482360839844
4,24,Gmin7,G,46.0,1810.31982421875,457.7369079589844,1040.6788330078125,3237.358642578125,947.73876953125,307.5555725097656,782.6417846679688,5031.00048828125,867.64306640625,384.4747314453125,1947.6204833984375,778.6355590820312
5,25,Cmin7,C,48.0,1828.4140625,465.106689453125,1023.4478149414062,3173.286865234375,927.7454223632812,284.1763000488281,786.8035278320312,5053.46435546875,860.2918090820312,382.0667724609375,1957.84228515625,781.4003295898438
6,26,Cmin7,C,50.0,246.5610809326172,335.54876708984375,1285.6470947265625,448.5411376953125,707.3660278320312,3009.243408203125,1456.09912109375,4911.72705078125,935.1660766601562,685.8215942382812,1842.6676025390625,396.8604431152344
7,27,Gmin7,G,52.0,200.91636657714844,329.0422058105469,1234.009033203125,381.83740234375,634.5079345703125,2964.5029296875,1473.15771484375,4909.40673828125,938.3046264648438,714.3230590820312,1910.96044921875,393.8155517578125
8,28,Gmin7,G,54.0,2052.259033203125,833.65478515625,2119.553955078125,468.9466247558594,245.99143981933594,841.4097290039062,4275.77490234375,4431.98974609375,842.4164428710938,1257.2320556640625,295.9949035644531,382.7109680175781
9,29,D7,D,56.0,1598.6046142578125,430.8575134277344,1041.5916748046875,3239.248046875,944.3984375,295.29144287109375,841.56787109375,5008.2236328125,855.83154296875,385.7161865234375,1949.8707275390625,740.7730102539062
10,30,Cmin7,C,58.0,237.4379119873047,335.9618225097656,1290.166748046875,448.8563232421875,706.2842407226562,3015.140869140625,1478.04931640625,4914.24072265625,938.9008178710938,716.5582885742188,1846.9547119140625,395.3086242675781
11,31,Gmin7,G,60.0,199.874267578125,328.9981994628906,1232.964599609375,383.9501953125,637.6989135742188,2958.882080078125,1477.5645751953125,4910.43701171875,937.6742553710938,708.045654296875,1909.1226806640625,392.8348388671875
12,32,Gmin7,G,62.0,11.712779998779297,20.665266036987305,94.8542709350586,30.19196891784668,30.07283592224121,142.7315216064453,30.244346618652344,22.188039779663086,4.674452304840088,7.265267848968506,6.1334099769592285,8.66438102722168
