,Measure,Moanin,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Bb/F,Bb,2.0,8.08482837677002,10.50931167602539,51.56753921508789,73.61575317382812,32.37774658203125,69.54781341552734,16.466768264770508,13.976408958435059,7.812279224395752,14.43591594696045,37.43976974487305,10.235857009887695
1,2,F,F,3.0,2433.539794921875,603.8106079101562,490.9010314941406,252.0677490234375,1035.189208984375,5100.1484375,806.0540161132812,198.8908233642578,323.69512939453125,1703.705078125,616.444580078125,437.6506652832031
2,4,Bb/F,Bb,6.0,24.279647827148438,8.890844345092773,3.732164144515991,14.033377647399902,30.622337341308594,160.99697875976562,33.28036880493164,50.848148345947266,140.12477111816406,73.60608673095703,70.1200942993164,12.62469482421875
3,4,F,F,7.0,2484.8271484375,895.5762329101562,2420.548583984375,536.9954223632812,1458.2293701171875,7395.03564453125,1206.7816162109375,262.3697814941406,410.5361633300781,1999.19091796875,1987.3787841796875,646.3082275390625
4,6,Bb/F,Bb,10.0,21.348806381225586,8.125877380371094,3.9703245162963867,13.149224281311035,28.90483283996582,157.96583557128906,31.517433166503906,49.226715087890625,140.0269317626953,65.63663482666016,44.388370513916016,9.47655963897705
5,6,F,F,11.0,2472.004150390625,893.439208984375,2420.934814453125,535.6941528320312,1459.82080078125,7412.88330078125,1214.6405029296875,262.89599609375,410.6568908691406,2000.6298828125,2002.7147216796875,646.9309692382812
6,8,Bb/F,Bb,14.0,221.61949157714844,36.19852828979492,11.408775329589844,67.11244201660156,17.181772232055664,34.19953918457031,10.0210599899292,13.561816215515137,5.1104841232299805,8.975448608398438,9.12848949432373,47.10678482055664
7,8,F,F,15.0,6569.38525390625,2010.3330078125,4606.47119140625,1111.9410400390625,3295.973388671875,17610.994140625,2779.267822265625,640.3103637695312,1140.9610595703125,4745.16015625,3975.6943359375,1492.3463134765625
8,11,Bbmin7,Bb,20.0,125.02859497070312,330.455810546875,65.49190521240234,41.44301223754883,151.12661743164062,602.0396118164062,115.55706024169922,38.230403900146484,179.50794982910156,118.11361694335938,314.0793762207031,100.51070404052734
9,11,Ab7,Ab,21.0,334.7874450683594,151.7823028564453,134.3037567138672,427.1864318847656,180.0039520263672,422.9759826660156,668.3419799804688,253.47381591796875,336.5237731933594,264.5862731933594,998.560302734375,216.93560791015625
10,12,G7,G,22.0,152.45248413085938,85.03681945800781,215.9306640625,324.77215576171875,183.3885498046875,714.1841430664062,377.8371887207031,393.7019958496094,472.0240783691406,103.83740234375,101.42596435546875,394.9786071777344
11,12,C7,C,23.0,1189.8143310546875,256.5306396484375,190.88507080078125,380.7509765625,1149.2269287109375,353.0231628417969,158.3237762451172,489.5704040527344,132.4462432861328,115.88871002197266,527.9130249023438,380.9144592285156
12,13,Bb/F,Bb,24.0,503.7929382324219,382.130859375,1789.93408203125,517.9866333007812,1028.73779296875,2609.147705078125,432.1700439453125,141.0114288330078,111.22750091552734,275.4211730957031,1008.0545043945312,282.6929016113281
13,14,Fmin7,F,26.0,396.2775573730469,91.90546417236328,116.11825561523438,515.011962890625,211.2952423095703,277.5259704589844,70.90843963623047,107.1824951171875,326.5252380371094,91.21070098876953,39.663578033447266,89.96236419677734
14,14,B9(#11),B,27.0,102.81085968017578,76.86518096923828,67.6253890991211,150.45127868652344,84.6894760131836,199.2375030517578,57.867313385009766,25.067941665649414,30.6484317779541,49.37369155883789,25.136472702026367,30.16971778869629
15,15,Bbmin7,Bb,28.0,166.1454315185547,331.8382568359375,98.54169464111328,174.7591094970703,223.8824005126953,741.2560424804688,234.2849884033203,63.22726821899414,204.0276336669922,173.50531005859375,339.4654235839844,119.56292724609375
16,15,Ab7,Ab,29.0,478.6222229003906,161.9285125732422,193.74053955078125,752.513671875,255.78759765625,495.5386962890625,1256.3726806640625,366.5888977050781,426.8094177246094,306.0690002441406,962.7905883789062,212.308349609375
17,16,G7,G,30.0,525.3749389648438,265.59771728515625,665.6306762695312,922.8228149414062,542.1923217773438,2417.290283203125,988.5858764648438,1139.9776611328125,1396.5185546875,329.4312744140625,290.6107177734375,1190.6170654296875
18,17,C7(#9),C,32.0,1162.1429443359375,249.75584411621094,150.37696838378906,586.5238037109375,2375.922607421875,471.9919738769531,225.67608642578125,937.7969360351562,281.0344543457031,191.52935791015625,942.2075805664062,470.9336853027344
19,18,Ab,Ab,34.0,1191.5694580078125,266.2778625488281,322.9479675292969,1670.0677490234375,522.0401000976562,469.3800354003906,133.888671875,309.2596740722656,866.2553100585938,249.5401153564453,141.70895385742188,258.0425109863281
20,19,Bb/F,Bb,36.0,218.63023376464844,46.87586975097656,57.69407272338867,112.77323150634766,43.6564826965332,74.09137725830078,20.918123245239258,20.11226463317871,10.60456657409668,16.54808807373047,42.221954345703125,57.08340072631836
