,Measure,Sookie,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Db,Db,0.0,169.75389099121094,509.5730895996094,121.52066802978516,71.48358917236328,231.8399658203125,1114.44921875,209.6551055908203,80.18128204345703,415.0031433105469,80.26679229736328,26.43731117248535,35.017704010009766
1,1,B,B,1.0,126.65618896484375,136.02540588378906,202.96795654296875,984.59716796875,216.1852569580078,444.3709411621094,1094.04833984375,188.07005310058594,37.35126876831055,41.45940399169922,162.2414093017578,507.6040344238281
2,2,Ab,Ab,2.0,211.01611328125,96.2981948852539,152.5266571044922,828.5753784179688,177.7447052001953,169.08055114746094,405.47314453125,128.2642059326172,148.81129455566406,35.0836067199707,69.78331756591797,324.0962219238281
3,3,Eb7(#9),Eb,4.0,13030.203125,56954.00390625,35406.04296875,107281.40625,20811.591796875,29013.8828125,51146.20703125,27581.1875,9771.8427734375,16695.048828125,68714.5390625,11954.6015625
4,10,Eb7(#9),Eb,18.0,22919.078125,46184.53125,30244.8671875,52097.4375,14471.28515625,27588.380859375,88381.25,99664.5234375,61458.51953125,17338.794921875,36821.04296875,10051.7744140625
5,21,Db,Db,40.0,169.38661193847656,505.1625671386719,123.74764251708984,68.70955657958984,230.00494384765625,1117.3560791015625,210.5439910888672,81.24483489990234,410.8293151855469,79.51937103271484,26.809959411621094,35.97753143310547
6,21,B,B,41.0,126.65947723388672,135.87124633789062,202.94664001464844,984.46240234375,216.1612091064453,444.4049987792969,1094.015869140625,188.09364318847656,37.399818420410156,41.443580627441406,162.2408905029297,507.5818786621094
7,22,Ab,Ab,42.0,1756.8927001953125,452.2445068359375,616.9522094726562,2787.009033203125,856.9923706054688,262.7993469238281,549.8873291015625,707.6409301757812,1523.2645263671875,293.2386169433594,199.52720642089844,603.2405395507812
8,23,Eb7(#9),Eb,44.0,833.15380859375,3693.08984375,2190.118408203125,2865.211669921875,969.3411254882812,2689.233154296875,7395.638671875,4089.360107421875,906.75439453125,1038.363037109375,3697.101806640625,802.633544921875
