,Measure,TBoneShuffle,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G7,G,0.0,4362.7412109375,4253.44677734375,12311.2138671875,7616.80224609375,13658.7724609375,30264.302734375,16365.625,37438.55859375,6761.34912109375,3146.3017578125,4178.6416015625,17484.095703125
1,5,G7,G,8.0,3708.051025390625,2351.09619140625,8473.9462890625,4147.3095703125,5307.59716796875,28075.828125,10432.96875,17498.0703125,3167.7939453125,3076.952392578125,10794.7021484375,19049.99609375
2,9,C7,C,16.0,4914.12744140625,981.8997192382812,713.7108764648438,2136.196533203125,11347.75,2209.010009765625,929.5266723632812,4723.4140625,1294.2685546875,1480.5361328125,8629.2294921875,2685.0244140625
3,11,G7,G,20.0,1509.87841796875,940.3901977539062,3092.951171875,1739.2906494140625,2186.940673828125,10910.197265625,4041.1357421875,4941.99658203125,947.31787109375,831.332275390625,1633.5885009765625,7355.43798828125
4,13,Amin7,A,24.0,1722.9166259765625,417.0530090332031,273.5990295410156,739.4478149414062,3127.187744140625,597.2364501953125,502.2397155761719,1635.9144287109375,723.13330078125,1676.6295166015625,455.6097106933594,867.9761352539062
5,14,D9,D,26.0,1975.7037353515625,608.8051147460938,914.846435546875,884.3704223632812,3210.4423828125,1031.484619140625,1989.18359375,733.8256225585938,710.108154296875,1953.96044921875,561.6293334960938,893.93212890625
6,15,G7,G,28.0,622.862060546875,381.5335388183594,1093.4031982421875,708.0537109375,875.6741333007812,3738.362060546875,1659.8819580078125,1737.46630859375,359.6409606933594,362.96484375,590.5425415039062,2675.63671875
7,16,G7,G,30.0,12000.4716796875,8630.5380859375,33471.76171875,15174.3974609375,19996.5234375,107463.4296875,39259.296875,74752.2578125,13316.3876953125,14919.6171875,68111.9296875,66939.546875
8,29,G7,G,56.0,3210.593017578125,2376.88671875,8946.9384765625,4417.6953125,6274.572265625,28634.8984375,12003.9990234375,25372.326171875,4616.77685546875,4694.11865234375,21803.3984375,17858.185546875
9,33,C7,C,64.0,6399.09814453125,1231.16455078125,893.8225708007812,2236.931640625,11461.484375,2038.1943359375,1036.9656982421875,5858.87890625,1480.5118408203125,1384.7325439453125,7582.90234375,2697.93994140625
10,35,G7,G,68.0,1267.955810546875,819.661376953125,2623.659912109375,1522.25927734375,2145.521728515625,10840.2216796875,3524.400634765625,4480.4873046875,876.566650390625,745.8662109375,1170.6507568359375,5538.17431640625
11,37,Amin7,A,72.0,857.5557250976562,315.0419006347656,789.281982421875,417.7245178222656,1416.1905517578125,333.55120849609375,226.4618377685547,742.4495239257812,407.5831604003906,1089.4241943359375,253.59580993652344,285.6673278808594
12,38,D9,D,74.0,1843.8594970703125,533.8828735351562,681.2677001953125,794.902099609375,3306.999755859375,1056.99658203125,1834.6435546875,640.466552734375,710.81005859375,1861.5128173828125,862.67236328125,606.7323608398438
13,39,G7,G,76.0,1313.60498046875,931.5967407226562,3005.845703125,1657.2159423828125,2345.861572265625,10902.7734375,4040.046630859375,6260.232421875,1140.3497314453125,962.078857421875,1193.36962890625,5462.78759765625
