,Measure,FairWeather,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ab13,Ab,0.0,7883.91650390625,17013.642578125,6742.1875,13970.7060546875,8493.875,30090.201171875,17917.89453125,3624.9296875,4061.414794921875,5121.43408203125,19176.693359375,4572.3505859375
1,5,G13,G,8.0,467.7641906738281,174.41371154785156,610.614501953125,187.89776611328125,455.416259765625,2049.08837890625,355.7968444824219,151.3723602294922,86.3157730102539,230.9190673828125,193.591064453125,928.6339721679688
2,7,Ab13,Ab,12.0,1606.3292236328125,3318.9296875,1468.2176513671875,2438.385498046875,1886.47900390625,5703.482421875,3326.787353515625,749.2666625976562,1376.0233154296875,6028.96533203125,6776.43359375,1344.1241455078125
3,9,Cmaj7,C,16.0,288.4616394042969,75.35611724853516,23.495758056640625,127.99213409423828,603.0145263671875,166.6775360107422,47.576107025146484,137.9804229736328,34.0847053527832,12.57922077178955,33.62246322631836,172.8225555419922
4,10,E7,E,18.0,57.007938385009766,30.923505783081055,84.87700653076172,138.95233154296875,569.6304931640625,107.33853149414062,23.18073272705078,23.578550338745117,74.78436279296875,19.074298858642578,28.062149047851562,131.29957580566406
5,11,Bb7,Bb,20.0,23.8359432220459,42.86838150024414,170.23306274414062,167.218505859375,172.82972717285156,735.2372436523438,127.88611602783203,45.37266540527344,73.3222885131836,35.905250549316406,60.25239944458008,25.1627254486084
6,12,A7,A,22.0,69.62366485595703,239.52911376953125,90.33853912353516,198.2147979736328,1124.3648681640625,250.5376739501953,72.14704132080078,146.54615783691406,115.69886016845703,66.66779327392578,21.10928726196289,72.07579803466797
7,13,Gbdim,Gb,24.0,112.4424057006836,45.04881286621094,17.546911239624023,13.330554962158203,41.166717529296875,80.92174530029297,364.6234130859375,56.69252014160156,39.4379768371582,253.4167022705078,41.82724380493164,18.625246047973633
8,14,B7,B,26.0,58.8290901184082,49.19697570800781,275.3207092285156,701.543212890625,114.8296127319336,98.08655548095703,861.2687377929688,3325.9716796875,529.4988403320312,89.69570922851562,82.38610076904297,312.3078308105469
9,15,Edim,E,28.0,7.145698547363281,9.063996315002441,26.388601303100586,196.96351623535156,596.317138671875,106.69145965576172,78.49378204345703,278.2636413574219,48.8093376159668,24.150772094726562,90.77446746826172,40.99247360229492
10,16,Eb7,Eb,30.0,27.984804153442383,94.85528564453125,297.14813232421875,682.4882202148438,122.79911041259766,41.177635192871094,548.1135864257812,3897.864013671875,604.9752197265625,33.88994216918945,99.89392852783203,59.6163330078125
11,17,Ab7,Ab,32.0,325.96893310546875,76.4478530883789,123.2220687866211,665.1732177734375,173.24913024902344,258.8076477050781,423.6313171386719,180.5330352783203,63.518795013427734,47.12467956542969,26.044374465942383,72.52605438232422
12,18,Dmin7,D,34.0,222.29173278808594,135.09486389160156,391.4711608886719,203.46800231933594,252.44642639160156,1019.3550415039062,448.276611328125,474.094482421875,125.570068359375,136.73992919921875,147.20440673828125,562.2097778320312
13,18,G7,G,35.0,56.84395217895508,43.82297897338867,123.66437530517578,269.5574645996094,1022.2236328125,387.5072021484375,131.0663604736328,475.1246337890625,118.86941528320312,102.94829559326172,502.9308776855469,212.1625518798828
14,19,Edim,E,36.0,51.865360260009766,56.3061637878418,262.8850402832031,205.7911376953125,665.8941650390625,225.87535095214844,521.9120483398438,3472.796142578125,815.38720703125,1713.5972900390625,378.7401428222656,120.15979766845703
15,20,A7,A,38.0,52.00185775756836,239.5905303955078,75.78748321533203,131.9919891357422,553.2590942382812,141.3170928955078,29.539764404296875,112.56684112548828,47.0488166809082,103.8353500366211,31.26935577392578,29.852235794067383
