,Measure,filthy mcnasty,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Ab13,Ab,2.0,516.6570434570312,874.8624877929688,844.048095703125,1202.1180419921875,1091.39404296875,1666.3818359375,2807.6865234375,1178.77099609375,352.634765625,313.5973815917969,446.1048889160156,1124.7044677734375
1,3,A13,A,4.0,181.597900390625,65.30325317382812,111.78741455078125,293.80340576171875,201.0595703125,345.5622253417969,116.09876251220703,150.66517639160156,95.779541015625,238.5597381591797,1430.1451416015625,265.34039306640625
2,3,Bb13,Bb,5.0,35.61610412597656,17.928625106811523,28.9522647857666,62.10648727416992,44.8343620300293,110.62493896484375,42.92915725708008,33.9780387878418,56.193603515625,212.83880615234375,1269.783203125,205.34283447265625
3,4,E13,E,6.0,1341.6719970703125,1682.9188232421875,3229.410400390625,2742.182861328125,1975.24853515625,1258.7747802734375,2770.291748046875,1270.3465576171875,1202.1590576171875,2045.48876953125,1490.3988037109375,1977.8939208984375
4,5,F13,F,8.0,88.19486236572266,200.9275665283203,82.15117645263672,117.1719970703125,314.7436828613281,208.38427734375,158.47938537597656,36.518131256103516,87.0119400024414,218.00750732421875,1260.226318359375,278.3851623535156
5,5,Gb13,Gb,9.0,180.8697509765625,94.95199584960938,250.15428161621094,266.00537109375,155.63107299804688,427.8333740234375,112.89596557617188,59.26322555541992,50.74388122558594,170.51229858398438,225.42530822753906,72.55826568603516
6,6,Dminor-seventh(b5),D,10.0,50.66301345825195,40.7861328125,110.62136840820312,52.50370788574219,107.34520721435547,446.3688049316406,145.2097930908203,181.90484619140625,179.72251892089844,237.15855407714844,1276.8583984375,363.0017395019531
7,6,G7(b9),G,11.0,213.7006378173828,63.62786865234375,138.8898162841797,579.0597534179688,151.5027313232422,198.1056671142578,77.59313201904297,212.47987365722656,63.027679443359375,65.85160064697266,172.18292236328125,98.06787109375
8,7,Cmin7(b5),C,12.0,460.1881408691406,805.7022094726562,299.0298156738281,344.5308532714844,271.53125,246.42417907714844,128.2197723388672,313.7171936035156,257.8448791503906,147.92013549804688,180.1241455078125,122.55506134033203
9,7,F7,F,12.666666666666664,183.61692810058594,174.1504669189453,160.1916046142578,226.99652099609375,166.86585998535156,377.5743713378906,158.5292205810547,170.0066680908203,298.6437683105469,125.44464111328125,160.0027618408203,70.65119171142578
10,7,Bb13(#9),Bb,13.333333333333336,208.5170440673828,244.08006286621094,217.0405731201172,531.8278198242188,411.1011657714844,401.7635498046875,670.5558471679688,341.1070251464844,228.7503204345703,740.7685546875,333.2241516113281,302.1086120605469
11,8,Ab13,Ab,14.0,192.68846130371094,90.41732025146484,124.65737915039062,342.3324279785156,250.9171142578125,397.5389709472656,281.56475830078125,244.3600311279297,304.15966796875,117.5087890625,64.32740020751953,121.48160552978516
12,8,A13,A,14.666666666666664,173.9134063720703,255.7390899658203,179.60142517089844,248.31146240234375,227.4308624267578,387.3493957519531,476.3416748046875,239.37306213378906,212.75555419921875,323.4195861816406,180.686279296875,175.81634521484375
13,8,Bb13,Bb,15.333333333333336,279.3866271972656,160.11708068847656,200.75120544433594,493.9863586425781,327.3561706542969,354.9349670410156,279.0703125,404.24169921875,378.3751220703125,195.28807067871094,141.1206817626953,160.10743713378906
14,9,Ab13,Ab,16.0,118.71410369873047,35.41223907470703,74.33834838867188,202.7686004638672,194.57110595703125,169.93666076660156,90.1769027709961,110.14038848876953,60.804046630859375,121.82089233398438,658.7255249023438,160.7548370361328
15,9,A13,A,16.666666666666668,46.877384185791016,108.92352294921875,137.0951385498047,92.8335952758789,105.00939178466797,298.79608154296875,78.85498046875,28.96845054626465,68.99170684814453,94.54165649414062,379.384033203125,81.26749420166016
16,9,Bb13,Bb,17.333333333333332,13.24069881439209,16.394773483276367,32.678218841552734,22.893943786621094,28.119962692260742,102.9756088256836,26.448026657104492,7.67285680770874,14.19526195526123,6.740631580352783,17.510103225708008,9.834975242614746
17,10,Bb7,Bb,18.0,1063.9815673828125,2049.361083984375,1790.0538330078125,4000.127197265625,1735.1365966796875,4441.14404296875,1456.7210693359375,1942.5994873046875,9984.744140625,8016.66552734375,42686.87890625,6628.78369140625
18,14,Eb7,Eb,26.0,156.9136505126953,605.8355102539062,382.3893127441406,1490.4989013671875,362.88427734375,555.8577880859375,200.93846130371094,537.8439331054688,2471.025390625,2130.648681640625,11823.07421875,1770.3934326171875
19,16,Bb7,Bb,30.0,25.265233993530273,83.84188079833984,123.47432708740234,322.5379638671875,118.6146469116211,300.3034973144531,74.15087127685547,62.84042739868164,96.47894287109375,578.9044799804688,3905.119384765625,571.9420776367188
20,17,Gb9,Gb,32.0,1642.0916748046875,1186.001708984375,497.1105041503906,1773.3992919921875,2143.771240234375,1315.5736083984375,753.92236328125,622.0149536132812,829.4208374023438,1410.6700439453125,628.6713256835938,406.0457458496094
21,18,F7,F,34.0,67.46089935302734,57.40911865234375,186.0393829345703,170.28817749023438,395.7293701171875,140.08563232421875,64.8254165649414,176.6339111328125,143.70191955566406,227.09613037109375,1426.1937255859375,363.7532043457031
22,18,E7,E,35.0,49.12517166137695,251.8321990966797,154.33033752441406,610.6561889648438,165.50270080566406,59.32936096191406,48.63652038574219,193.51707458496094,45.07381820678711,41.13760757446289,203.46791076660156,50.11912155151367
23,19,Eb7,Eb,36.0,39.2041130065918,91.44253540039062,357.5170593261719,181.4774627685547,188.26063537597656,591.25537109375,115.02340698242188,17.555028915405273,20.622892379760742,121.53768920898438,313.8936767578125,88.01553344726562
