,Measure,Diverse,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bbmin7,Bb,0.0,542.40771484375,1775.7218017578125,381.2309875488281,251.4081573486328,712.5338745117188,3329.375244140625,629.9679565429688,258.443115234375,1383.9365234375,763.0477905273438,1985.19970703125,391.7444763183594
1,2,Cmin7,C,2.0,297.52825927734375,93.89716339111328,186.6171417236328,571.7576293945312,198.41819763183594,75.60259246826172,196.31297302246094,1305.6842041015625,225.81565856933594,92.05795288085938,441.5187072753906,183.4868621826172
2,2,F7,F,3.0,372.224365234375,99.99161529541016,112.15658569335938,573.044921875,278.4546203613281,247.6639404296875,88.2107162475586,128.36293029785156,77.33659362792969,221.14134216308594,76.07537078857422,82.05585479736328
3,3,Bbmin7,Bb,4.0,674.5550537109375,1466.7418212890625,345.1456604003906,526.9872436523438,647.554443359375,2365.513916015625,440.6451416015625,495.8611755371094,832.7525024414062,447.2422790527344,1360.451416015625,366.4885559082031
4,4,Cmin7,C,6.0,369.448974609375,498.0963439941406,172.89341735839844,528.1455078125,210.8204345703125,91.91153717041016,79.15547180175781,289.691162109375,79.74852752685547,80.61750793457031,378.0804138183594,175.37925720214844
5,4,F7,F,7.0,708.734130859375,171.97235107421875,268.9029235839844,1069.5968017578125,573.9074096679688,432.9234924316406,170.37510681152344,162.45274353027344,193.5220184326172,575.9398803710938,239.43719482421875,626.3922119140625
6,5,Bbmin7,Bb,8.0,557.3598022460938,1286.9527587890625,351.6435241699219,712.0521850585938,715.5155639648438,2903.222900390625,526.29150390625,151.00997924804688,651.6547241210938,417.3619384765625,998.0730590820312,313.8480224609375
7,6,Cmin7,C,10.0,308.6099548339844,87.80791473388672,121.69109344482422,549.782470703125,206.7473602294922,127.57173919677734,92.89522552490234,280.0528869628906,60.63710021972656,343.0128479003906,2255.380126953125,440.9205322265625
8,6,F7,F,11.0,388.1844177246094,117.04193878173828,127.3189468383789,586.5614624023438,294.9400634765625,311.8478698730469,102.2131118774414,124.14295196533203,87.28632354736328,384.2334289550781,1214.15087890625,267.8916320800781
9,7,Bbmin7,Bb,12.0,401.7414245605469,1090.6380615234375,262.4930725097656,491.31591796875,613.8997802734375,2373.773193359375,394.6312561035156,135.9850616455078,626.138427734375,359.4721984863281,945.9436645507812,246.5198516845703
10,8,F7,F,14.0,1286.7625732421875,337.651611328125,376.6925048828125,2101.271240234375,1020.5720825195312,1084.808349609375,335.30450439453125,608.6793823242188,2970.43359375,1090.2528076171875,205.8960723876953,263.3540344238281
11,9,Cmin7,C,16.0,1181.9791259765625,888.888916015625,455.7857971191406,1880.76953125,653.1994018554688,488.7113952636719,262.9823913574219,997.3734741210938,237.4407958984375,284.0217590332031,1097.9019775390625,503.5815734863281
