,Measure,Senor blues bass,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Ebmin7,Eb,1.5,2397.214599609375,15934.12109375,3738.478271484375,7554.85693359375,1371.3565673828125,1386.5301513671875,3075.009521484375,1164.0743408203125,581.1886596679688,529.67578125,2231.04248046875,794.5526733398438
1,6,Ebmin7,Eb,7.5,2385.423583984375,15880.1875,3721.8720703125,7582.2734375,1371.1942138671875,1379.6898193359375,3072.16015625,1153.8564453125,565.6209106445312,516.1538696289062,2195.334716796875,785.2011108398438
2,10,Ebmin7,Eb,13.5,2397.723388671875,15936.2265625,3741.964111328125,7576.93310546875,1375.5845947265625,1387.4161376953125,3075.822509765625,1163.4979248046875,581.1956176757812,532.6439819335938,2249.944580078125,798.4544067382812
3,14,Ebmin7,Eb,19.5,2396.087890625,15927.02734375,3743.163330078125,7580.66748046875,1375.7509765625,1386.1553955078125,3076.193359375,1164.1832275390625,582.2811279296875,533.0618286132812,2251.671630859375,799.1064453125
4,18,B9,B,25.5,716.787109375,379.4512939453125,247.484619140625,866.186279296875,241.8900146484375,280.5897216796875,1123.2711181640625,311.5213928222656,498.8263244628906,2876.841064453125,910.3775024414062,3145.7158203125
5,20,B9,B,28.5,716.3075561523438,378.0005798339844,247.4029998779297,866.4155883789062,242.056884765625,280.2047424316406,1123.51513671875,312.03240966796875,499.6473388671875,2885.363037109375,919.3694458007812,3148.8720703125
6,22,Ebmin7,Eb,31.5,2408.56005859375,15932.3759765625,3748.7900390625,7588.30810546875,1375.04833984375,1389.0224609375,3085.279052734375,1163.526123046875,596.0298461914062,641.7758178710938,2254.911376953125,870.4561157226562
7,26,Bb7,Bb,37.5,251.0857391357422,208.75823974609375,506.5576171875,258.4495544433594,422.1954650878906,2179.585205078125,478.6965026855469,446.5597839355469,2254.592041015625,942.2588500976562,2902.379150390625,469.3966064453125
8,28,Ab13,Ab,40.5,314.5249938964844,624.0785522460938,447.1112060546875,1346.7586669921875,584.2897338867188,1976.5809326171875,6331.66064453125,1482.0950927734375,3024.9638671875,576.4331665039062,356.2048645019531,132.1248016357422
9,30,Ebmin7,Eb,43.5,4593.634765625,29627.763671875,7375.98876953125,15985.4677734375,3036.913818359375,3371.510009765625,2762.111572265625,2069.433837890625,1544.7952880859375,1754.4686279296875,7919.080078125,1956.5643310546875
10,36,Ebmin7,Eb,52.5,15928.24609375,85179.9140625,32233.599609375,97095.2890625,18929.072265625,26259.611328125,88580.1171875,30529.212890625,80861.625,37794.41796875,160345.96875,25716.298828125
11,51,Eb,Eb,75.0,1450.0694580078125,9272.912109375,2838.755615234375,7589.78564453125,1228.7032470703125,382.3367614746094,284.9015197753906,911.8036499023438,557.3040161132812,649.8571166992188,3373.343017578125,772.2587280273438
12,56,Ebmin7,Eb,82.5,125.92720794677734,594.6573486328125,992.1536254882812,5038.9990234375,648.8488159179688,406.971923828125,2489.941650390625,422.5509033203125,33.812259674072266,109.55142211914062,709.3706665039062,120.85770416259766
13,64,B7,B,94.5,139.45753479003906,50.80805969238281,381.4914855957031,2092.864013671875,277.62945556640625,142.31210327148438,923.6388549804688,193.15293884277344,68.64322662353516,255.53993225097656,210.7886199951172,899.1810913085938
14,68,Ebmin7,Eb,100.5,88.57018280029297,409.8540344238281,542.4411010742188,3235.1201171875,450.5840148925781,273.40997314453125,1720.1356201171875,250.2311248779297,15.705275535583496,69.37223815917969,440.5257263183594,95.91271209716797
15,72,Bb13,Bb,106.5,509.542236328125,120.2643814086914,197.2449951171875,778.7200317382812,247.03672790527344,393.0752868652344,137.635986328125,150.26446533203125,107.33877563476562,102.1440200805664,166.1055450439453,129.87596130371094
16,74,Ab13,Ab,109.5,114.06995391845703,354.8117980957031,201.6026153564453,519.9586791992188,280.6169738769531,955.4341430664062,521.8356323242188,145.53514099121094,161.32080078125,68.31371307373047,102.75078582763672,45.24641418457031
17,76,Ebmin7,Eb,112.5,0.23589491844177246,1.1293971538543701,1.3628754615783691,5.265166759490967,1.3394584655761719,3.3746392726898193,16.830318450927734,2.2372663021087646,0.1336698979139328,0.40490028262138367,2.2883951663970947,0.3995926082134247
