,Measure,Lovely is Today,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Emin7,E,0.0,120.65331268310547,57.27366638183594,227.55015563964844,164.24085998535156,315.8263854980469,84.35077667236328,250.58282470703125,180.78485107421875,43.21406936645508,32.81352615356445,108.95907592773438,662.3218994140625
1,2,Emin7,E,2.0,384.4313659667969,405.1787109375,2315.435791015625,1016.915283203125,3467.078369140625,637.939208984375,449.8535461425781,2417.912353515625,508.9440002441406,176.34815979003906,328.9870300292969,2003.9019775390625
2,3,Eb7,Eb,4.0,362.4649658203125,1918.8123779296875,1011.64990234375,3093.0068359375,642.6712036132812,194.90118408203125,279.1416320800781,1544.9742431640625,339.9281921386719,350.0440979003906,1929.2694091796875,463.5031433105469
3,4,Eb7,Eb,6.0,367.5591125488281,1940.1104736328125,1115.00146484375,3588.142578125,686.34130859375,222.534423828125,403.2550964355469,2454.02685546875,493.3536071777344,394.8309020996094,1980.70947265625,458.4447021484375
4,5,Emin7/D,E,8.0,535.0210571289062,481.52587890625,2045.9754638671875,1091.7152099609375,3472.517578125,681.414794921875,777.4010620117188,1938.6796875,472.0069274902344,394.8276062011719,516.880126953125,3035.3466796875
5,6,Emin7/D,E,10.0,407.1109313964844,624.7888793945312,2832.265625,1069.9539794921875,3414.227294921875,671.5311889648438,669.8278198242188,2421.01953125,499.0562744140625,296.30804443359375,363.2208557128906,2036.7611083984375
6,7,Dbmin7,Db,12.0,705.5463256835938,1670.8201904296875,407.1019287109375,778.0923461914062,3374.821044921875,848.20654296875,235.2991180419922,268.5172119140625,1335.1658935546875,276.5176696777344,342.6927795410156,1938.095703125
7,8,Dbmin7,Db,14.0,686.2918090820312,1537.2237548828125,440.4745178222656,818.4768676757812,3415.773681640625,848.61328125,376.5860900878906,1309.2857666015625,1533.9976806640625,310.37139892578125,351.2237243652344,1936.6322021484375
8,9,Cmin7,C,16.0,1859.21484375,499.1108703613281,923.2927856445312,3228.9033203125,968.2920532226562,242.1085968017578,548.7155151367188,1940.3189697265625,392.3724670410156,413.8202209472656,2014.3331298828125,1260.2158203125
9,10,Cmin7,C,18.0,1842.9085693359375,464.912353515625,855.267822265625,3112.715087890625,912.0188598632812,212.2945556640625,460.5514831542969,2887.254638671875,503.7210693359375,360.3597717285156,1941.7078857421875,756.4193725585938
10,11,D7,D,20.0,2334.79638671875,848.319091796875,1933.6572265625,487.8429260253906,263.00164794921875,722.666259765625,3783.341552734375,689.49609375,239.6687469482422,1233.9180908203125,288.2869873046875,389.3674621582031
11,12,D7,D,22.0,2346.8525390625,860.8235473632812,1925.6790771484375,460.423095703125,432.5047912597656,754.7272338867188,3986.377685546875,1751.5977783203125,436.2098388671875,1295.5462646484375,300.0946350097656,421.6813659667969
12,13,Ebmin7,Eb,24.0,359.450927734375,1866.5355224609375,1162.896240234375,3099.209228515625,576.1663818359375,755.2686157226562,4015.705322265625,4009.013427734375,676.8052368164062,370.9000549316406,1976.69482421875,354.4981994628906
13,14,F7,F,26.0,2060.247802734375,477.8876037597656,666.6688232421875,3239.557373046875,1684.0150146484375,1780.421875,402.7772216796875,395.4864501953125,516.94482421875,1660.248046875,406.8150329589844,456.7882995605469
14,15,G7,G,28.0,565.8114624023438,630.5576782226562,3148.949462890625,1011.2670288085938,1017.7557983398438,4044.760009765625,1406.9205322265625,1692.5950927734375,374.4917907714844,313.9304504394531,467.329345703125,1965.21435546875
15,16,G7,G,30.0,1801.5096435546875,1222.749755859375,4189.23388671875,2393.130126953125,3568.648193359375,15009.2802734375,5629.44921875,11116.1240234375,2331.48193359375,2900.405517578125,1903.2200927734375,7795.25927734375
