,Measure,PingPong,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb13,Bb,0.0,2175.591064453125,697.4263305664062,1511.12109375,2905.5107421875,1567.232421875,1861.10888671875,1198.1575927734375,5062.5341796875,2405.10595703125,542.4819946289062,446.5908203125,685.8458862304688
1,2,B13,B,2.0,705.3320922851562,2209.5244140625,1046.3282470703125,2408.654541015625,3238.180908203125,1464.82373046875,1747.7354736328125,1068.153564453125,4731.5087890625,2358.07080078125,615.2872924804688,719.2587280273438
2,3,Bb13,Bb,4.0,2175.808349609375,753.541015625,1575.83837890625,3131.093505859375,1618.33203125,1846.0584716796875,1281.8575439453125,5097.349609375,2377.161376953125,542.52490234375,463.9407958984375,704.6350708007812
3,4,B13,B,6.0,706.9387817382812,2224.09521484375,1052.9517822265625,2426.234130859375,3252.579345703125,1469.25732421875,1748.84765625,1068.9720458984375,4735.97412109375,2357.522216796875,613.98486328125,719.3650512695312
4,5,Bb13,Bb,8.0,2229.378173828125,764.735595703125,1402.06689453125,3146.82421875,1986.69140625,1868.4315185546875,1144.3077392578125,2524.08984375,2094.24853515625,599.4292602539062,462.7515563964844,772.9161987304688
5,6,B13,B,10.0,791.8375854492188,2252.333740234375,1043.373046875,2307.499267578125,3293.048583984375,2030.1016845703125,1820.02783203125,782.9070434570312,2130.28173828125,2061.049072265625,619.9288330078125,730.3528442382812
6,7,Bb13,Bb,12.0,5675.28955078125,1282.11767578125,1514.82275390625,3211.613037109375,2246.467529296875,1911.9017333984375,943.5735473632812,2105.231201171875,2006.1624755859375,563.6019897460938,512.9465942382812,1221.201171875
7,8,B13,B,14.0,666.7669677734375,2208.373291015625,1027.2708740234375,2227.946533203125,3201.875244140625,1455.5562744140625,1715.4122314453125,656.7250366210938,1798.9066162109375,1878.46533203125,589.0642700195312,698.7821655273438
8,9,Bb13,Bb,16.0,5636.67724609375,1280.1634521484375,1765.349609375,3320.15625,2293.457275390625,1960.2296142578125,1407.818359375,5409.7802734375,2553.8896484375,586.8517456054688,534.0842895507812,1279.713623046875
9,10,B13,B,18.0,667.4061889648438,2208.4560546875,1027.34423828125,2228.161376953125,3201.986572265625,1454.2642822265625,1715.0054931640625,657.1004638671875,1798.9588623046875,1879.1285400390625,589.12744140625,698.9210815429688
10,11,Bb13,Bb,20.0,2292.70849609375,974.0711059570312,3051.348876953125,3449.937255859375,1759.8212890625,2083.468505859375,952.8350219726562,2547.402099609375,5050.40185546875,1202.8297119140625,520.0607299804688,715.4896850585938
11,12,B13,B,22.0,667.7509765625,2205.558837890625,1019.770751953125,2226.697998046875,3179.968505859375,1452.4281005859375,1717.2020263671875,664.7329711914062,1799.63427734375,1877.787109375,589.268310546875,703.06005859375
12,13,Dbmaj7,Db,24.0,2284.811279296875,1937.798828125,439.3176574707031,377.3526611328125,848.4309692382812,4113.44677734375,827.6871948242188,323.2347106933594,1274.9652099609375,547.9278564453125,2051.406005859375,614.2642211914062
13,14,Cmin7,C,26.0,466.7724304199219,151.4943389892578,296.4204406738281,954.3618774414062,316.32672119140625,90.65850830078125,93.8402099609375,448.4313659667969,105.2257080078125,120.16375732421875,595.6985473632812,230.44166564941406
14,14,F7,F,27.0,576.7335815429688,165.1322479248047,249.0972442626953,1120.1485595703125,646.7268676757812,477.2164611816406,121.40582275390625,162.41282653808594,336.3793640136719,1515.0650634765625,342.3938903808594,159.7886962890625
15,15,Bbmaj7,Bb,28.0,451.6913146972656,633.2294311523438,2135.336181640625,1290.6038818359375,1208.770263671875,3625.412841796875,867.6654663085938,605.2164916992188,882.84423828125,5360.1474609375,2542.192626953125,404.5861511230469
16,16,Abmaj7,Ab,30.0,1770.3382568359375,453.65966796875,674.504638671875,2614.835205078125,891.816162109375,302.03814697265625,342.4348449707031,1856.6702880859375,1753.4630126953125,350.0161437988281,173.06785583496094,507.7393493652344
17,17,G7,G,32.0,519.4797973632812,381.9148254394531,1176.162109375,740.3604125976562,986.75732421875,3797.627197265625,1363.6822509765625,1681.5755615234375,1109.2735595703125,5577.83984375,1220.5887451171875,1984.41552734375
18,18,Gbmaj7,Gb,34.0,609.9098510742188,2080.02392578125,498.2226257324219,251.7665252685547,747.03076171875,3932.7314453125,2021.5933837890625,370.6903991699219,342.728271484375,650.4505615234375,2062.623046875,486.7021484375
19,19,Fmin7,F,36.0,605.7732543945312,184.3389129638672,282.5473327636719,784.284912109375,415.69921875,458.1009826660156,303.8136291503906,1562.9827880859375,686.934326171875,130.5988006591797,74.35124206542969,171.57281494140625
