,Measure,BeiMir,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Gmin7,G,0.0,57.70637512207031,105.5967788696289,331.42230224609375,101.01480102539062,209.86940002441406,859.10009765625,348.9377136230469,473.8395690917969,140.29185485839844,242.1773681640625,554.7581176757812,122.36544036865234
1,1,F,F,1.0,527.907958984375,142.4726104736328,103.5252456665039,76.2054672241211,268.27374267578125,1126.9400634765625,207.4464111328125,70.44718933105469,90.68158721923828,464.4424743652344,95.7525863647461,93.20040130615234
2,2,Eb,Eb,2.0,95.92364501953125,71.40901184082031,257.2794494628906,919.8574829101562,230.1007080078125,265.8728332519531,112.39447021484375,428.9051818847656,93.66008758544922,133.5746612548828,546.5296020507812,127.04747772216797
3,2,D7,D,3.0,559.3837890625,269.7119140625,589.9699096679688,371.2216796875,121.91021728515625,255.4652099609375,1141.0650634765625,259.339111328125,87.8203125,407.3519592285156,113.5345230102539,105.92717742919922
4,3,Gmin7,G,4.0,117.29837799072266,124.73506927490234,403.0119323730469,136.27273559570312,232.1021728515625,897.1983032226562,475.8485412597656,494.8315734863281,149.00367736816406,288.8496398925781,539.3353271484375,128.93453979492188
5,3,F,F,5.0,538.1813354492188,144.1623992919922,105.79547119140625,76.97684478759766,263.7554016113281,1130.71875,219.3019256591797,73.13973236083984,89.02621459960938,451.9065246582031,97.00640869140625,94.83238983154297
6,4,Eb,Eb,6.0,95.33885955810547,71.40788269042969,260.03515625,933.9367065429688,232.4078826904297,272.3680725097656,119.3167953491211,438.2393798828125,94.3648910522461,133.4037628173828,542.7398071289062,125.90821075439453
7,4,D7,D,7.0,559.694580078125,269.1329345703125,589.4883422851562,370.8970947265625,122.35415649414062,261.69537353515625,1174.872314453125,266.1126403808594,88.22323608398438,408.378173828125,113.88025665283203,105.91069793701172
8,5,Gmin7,G,8.0,117.29761505126953,124.73699188232422,403.0317687988281,136.28982543945312,232.09449768066406,897.3285522460938,476.4087829589844,494.9000549316406,149.00962829589844,288.8414001464844,539.3259887695312,128.9365997314453
9,5,F,F,9.0,538.181884765625,144.1621856689453,105.79691314697266,76.97734832763672,263.7575378417969,1130.714111328125,219.29278564453125,73.13785552978516,89.02680206298828,451.9097595214844,97.00674438476562,94.8324203491211
10,6,Eb,Eb,10.0,95.33890533447266,71.40718078613281,260.0348815917969,933.9352416992188,232.40740966796875,272.3688049316406,119.3174819946289,438.2432556152344,94.3650894165039,133.4027557373047,542.7415161132812,125.90917205810547
11,6,D7,D,11.0,559.6898803710938,269.12823486328125,589.4938354492188,370.8810729980469,122.33672332763672,261.68621826171875,1174.84228515625,266.1212463378906,88.2242431640625,408.3719177246094,113.88058471679688,105.90814971923828
12,7,Gmin7,G,12.0,117.29560089111328,124.7361068725586,403.0305480957031,136.29017639160156,232.0943603515625,897.33056640625,476.4100646972656,494.9016418457031,149.0096893310547,288.8417053222656,539.3262329101562,128.93727111816406
13,7,F,F,13.0,538.1682739257812,144.15818786621094,105.80277252197266,76.9864501953125,263.77239990234375,1130.7139892578125,219.2972412109375,73.1398696899414,89.02141571044922,451.9022521972656,97.0044174194336,94.8302993774414
14,8,D7,D,14.0,1982.8016357421875,820.2177734375,1922.40380859375,421.6122131347656,331.0493469238281,1521.5179443359375,3785.955322265625,657.5060424804688,223.26332092285156,1123.3951416015625,271.87451171875,341.3961181640625
15,9,Bb,Bb,16.0,148.7758331298828,388.7098388671875,1951.544921875,425.044921875,618.1694946289062,2979.753662109375,727.324462890625,82.57971954345703,138.85256958007812,716.4129028320312,1926.4364013671875,321.5777282714844
16,10,Gmin7,G,18.0,1180.2655029296875,2310.409423828125,8294.83203125,2147.703857421875,4896.029296875,24547.556640625,8071.93994140625,16951.205078125,5034.06591796875,19742.404296875,42342.72265625,6409.04345703125
17,14,D7,D,26.0,5931.72900390625,2322.236083984375,5618.091796875,1142.5364990234375,903.8357543945312,2014.0673828125,10705.6416015625,1874.4248046875,2210.103759765625,14748.07421875,2904.828857421875,1133.9647216796875
