,Measure,SirDukeII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Eb,Eb,0.0,2583.4287109375,1524.30224609375,5685.59326171875,23892.6484375,4173.36669921875,1518.1832275390625,3917.7255859375,24609.109375,4090.0966796875,4251.22607421875,27283.587890625,4995.36474609375
1,5,Ebmaj7,Eb,8.0,155.0956573486328,428.6085510253906,2702.342529296875,3405.5244140625,613.41064453125,172.6653594970703,328.557861328125,1794.6329345703125,362.6601257324219,397.2509460449219,1927.9141845703125,410.9585266113281
2,6,Cmin7,C,10.0,1813.21435546875,464.4388122558594,801.94970703125,2921.580810546875,924.2819213867188,502.9028015136719,346.3970642089844,1581.0469970703125,327.3695983886719,392.2557678222656,1879.4580078125,737.6943359375
3,7,B7,B,12.0,142.92091369628906,135.53871154785156,230.2176055908203,930.2294311523438,185.3976287841797,234.98976135253906,1107.8546142578125,221.2006378173828,121.23682403564453,467.694091796875,230.30975341796875,538.8079223632812
4,7,Bbsus,Bb,13.0,45.8417854309082,21.83698272705078,41.13907241821289,232.90155029296875,43.84604263305664,41.02754592895508,149.99366760253906,56.21000671386719,14.995797157287598,34.014461517333984,58.512264251708984,129.38829040527344
5,8,Bb7,Bb,14.0,116.5921630859375,83.22225189208984,343.50439453125,1961.5655517578125,762.6105346679688,2203.052001953125,374.98828125,74.4301986694336,52.83082580566406,310.2820739746094,1029.6773681640625,251.5511016845703
6,9,Ebmaj7,Eb,16.0,160.3900909423828,469.5236511230469,3112.295654296875,3535.940185546875,726.660888671875,857.124755859375,448.0276794433594,1810.33935546875,444.9373779296875,448.3255310058594,2011.7896728515625,435.4247131347656
7,10,Cmin7,C,18.0,1810.6795654296875,478.2904052734375,859.0156860351562,2930.050537109375,937.871337890625,586.2555541992188,366.6851806640625,1594.8590087890625,336.9969787597656,401.2119445800781,1927.8193359375,753.5949096679688
8,11,B7,B,20.0,455.82568359375,386.8491516113281,707.214599609375,3221.205322265625,613.7034301757812,925.3865356445312,3816.183837890625,742.771728515625,362.43603515625,1479.3778076171875,860.7726440429688,1947.4920654296875
9,12,Bb7,Bb,22.0,84.82304382324219,151.63197326660156,611.3806762695312,184.3883514404297,285.3463439941406,1212.940673828125,299.8511047363281,107.2527847290039,482.1221618652344,309.30914306640625,548.8788452148438,129.56515502929688
