,Measure,1612,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,3,C,C,4.0,16.184621810913086,24.433046340942383,14.342886924743652,16.399023056030273,101.53704071044922,101.91646575927734,35.44364547729492,19.080076217651367,280.0210876464844,1928.4051513671875,1122.0924072265625,151.1208038330078
1,4,F,F,6.0,895.5733032226562,157.48974609375,37.76999282836914,148.11268615722656,662.4302368164062,119.9132308959961,56.39337158203125,372.7747497558594,88.78179931640625,17.20530128479004,24.696617126464844,166.4507293701172
2,5,G,G,8.0,425.4717712402344,76.86571502685547,14.818442344665527,37.072898864746094,221.8277587890625,1146.4036865234375,182.86480712890625,76.21443176269531,59.20361328125,146.79022216796875,26.43414306640625,63.232421875
3,6,F9,F,10.0,89.38871002197266,103.91220092773438,537.3215942382812,84.88655090332031,26.491662979125977,86.60665893554688,96.4085464477539,511.1316223144531,74.77324676513672,24.068374633789062,85.75797271728516,529.026123046875
4,7,G,G,12.0,368.9839782714844,88.72403717041016,117.40740203857422,641.3770751953125,194.56690979003906,215.42002868652344,51.695438385009766,131.95310974121094,36.77970886230469,40.390525817871094,13.602242469787598,75.81575775146484
5,8,F9,F,14.0,48.2398796081543,16.219045639038086,72.01522064208984,67.66405487060547,18.634078979492188,25.12135124206543,27.7811279296875,126.37584686279297,18.705421447753906,10.899128913879395,22.286231994628906,108.30033111572266
6,9,G,G,16.0,380.8865051269531,91.02965545654297,117.8243408203125,642.5009155273438,201.0644073486328,209.11354064941406,50.67953872680664,132.86375427246094,36.85506820678711,39.509220123291016,11.992472648620605,74.69879913330078
7,10,F9,F,18.0,47.54659652709961,16.057510375976562,72.24714660644531,68.56900024414062,18.300413131713867,17.696456909179688,25.90997314453125,125.66657257080078,18.648576736450195,10.467385292053223,21.768342971801758,107.34698486328125
8,11,C,C,20.0,385.4962158203125,91.69115447998047,118.02973175048828,643.0765991210938,200.83013916015625,208.806396484375,50.915584564208984,133.2617950439453,36.772945404052734,39.35973358154297,11.974735260009766,75.49451446533203
9,12,F,F,22.0,263.3193359375,48.36732482910156,24.893905639648438,190.61537170410156,583.3458862304688,105.23603057861328,28.99214744567871,117.75545501708984,25.075834274291992,6.750238418579102,6.622814655303955,59.09700012207031
10,13,C,C,24.0,365.6734924316406,54.9715461730957,9.837952613830566,32.174800872802734,137.5857391357422,712.180419921875,100.36068725585938,12.931824684143066,14.06570816040039,75.09754180908203,12.608025550842285,53.99552536010742
11,14,F9,F,26.0,272.9595642089844,48.5190315246582,14.746809959411621,124.11693572998047,600.6044311523438,156.7443389892578,31.047555923461914,118.42084503173828,25.743309020996094,15.121685981750488,7.431211948394775,60.997867584228516
12,15,G,G,28.0,369.3002624511719,88.3402099609375,112.83792114257812,630.3417358398438,217.77899169921875,219.6322784423828,51.94179916381836,130.01828002929688,38.0831184387207,40.97127151489258,12.379425048828125,73.01053619384766
13,16,F9,F,30.0,104.89630126953125,104.53445434570312,544.6627807617188,142.3701934814453,30.13370704650879,44.10426712036133,92.12820434570312,510.2923889160156,73.0781478881836,16.969877243041992,84.15032196044922,529.8006591796875
14,17,G,G,32.0,379.3660583496094,90.0591812133789,117.00991821289062,640.1289672851562,192.8098602294922,207.3142852783203,50.976287841796875,133.334716796875,36.70168685913086,39.70449447631836,13.478797912597656,77.48432159423828
15,18,F9,F,34.0,47.62065124511719,16.07830810546875,72.21199035644531,68.37518310546875,18.234773635864258,17.736778259277344,25.947364807128906,125.7073745727539,18.66288948059082,10.476507186889648,21.867277145385742,107.8738784790039
16,19,G,G,36.0,385.5233459472656,91.71073150634766,118.10961151123047,643.6906127929688,201.1683349609375,208.91778564453125,50.94158935546875,133.3336181640625,36.69826126098633,39.3307991027832,11.964740753173828,75.44403839111328
17,20,F9,F,38.0,47.804996490478516,16.1628360748291,72.3510971069336,68.83619689941406,18.438600540161133,16.73247718811035,25.39707374572754,125.19347381591797,18.545705795288086,10.074545860290527,21.739870071411133,107.3764419555664
18,21,C,C,40.0,385.9097595214844,91.78044891357422,118.08295440673828,643.5557250976562,200.69044494628906,207.35694885253906,50.80711364746094,133.40846252441406,36.826812744140625,39.62589645385742,12.009468078613281,75.57929992675781
19,22,F,F,42.0,263.2979431152344,48.38404846191406,24.93701171875,190.85023498535156,583.1478271484375,105.00750732421875,29.046600341796875,117.661376953125,25.102251052856445,6.773067951202393,6.633856296539307,59.103328704833984
