,Measure,Agogo,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,5,Bmin7,B,8.0,30698.4375,34203.34765625,154589.65625,37947.77734375,29769.439453125,27477.359375,129190.1796875,23050.501953125,13683.3642578125,40291.90625,35984.65234375,168746.875
1,21,G7,G,40.0,13217.8388671875,10945.0791015625,48262.93359375,19768.84375,24065.490234375,137607.171875,74088.328125,317527.15625,50819.73046875,21388.337890625,97762.3984375,73188.4296875
2,36,A7,A,70.0,49.30877685546875,144.34756469726562,48.66401290893555,66.0322494506836,210.54347229003906,75.0368423461914,35.28010177612305,147.04440307617188,126.82156372070312,368.5179138183594,83.6075210571289,25.856592178344727
3,36,G#7,G#,70.5,143.4867706298828,95.37469482421875,58.182308197021484,207.96031188964844,160.0941619873047,101.66397857666016,295.0239562988281,216.99110412597656,393.4364318847656,144.92799377441406,28.684999465942383,38.89748764038086
4,36,A7,A,71.0,88.28047943115234,162.27845764160156,58.96647262573242,143.7427215576172,220.4334716796875,85.9053955078125,119.3927993774414,166.27439880371094,131.53317260742188,375.55517578125,95.36003875732422,44.26534652709961
5,36,G#7,G#,71.5,140.3390655517578,94.38251495361328,63.514583587646484,225.5742950439453,163.80661010742188,102.4560317993164,321.1901550292969,235.3597412109375,395.0573425292969,143.0437774658203,27.903608322143555,36.2741584777832
6,37,A7,A,72.0,85.83154296875,160.9373779296875,78.3787612915039,154.0612030029297,214.88319396972656,85.00289154052734,137.70211791992188,370.3165588378906,121.3268814086914,127.64359283447266,49.34469223022461,50.00654602050781
7,37,G#7,G#,72.5,139.56089782714844,93.26498413085938,66.01744079589844,224.8089141845703,161.11257934570312,105.45076751708984,323.9181823730469,251.09059143066406,393.2655334472656,106.6759262084961,21.64092254638672,36.01384353637695
8,37,A7,A,73.0,88.92504119873047,163.2587127685547,59.44395446777344,144.5954132080078,221.39158630371094,86.99083709716797,120.2544174194336,164.01954650878906,128.83351135253906,366.6785583496094,95.88751983642578,44.49342346191406
9,37,G#7,G#,73.5,4743.98681640625,2625.614501953125,1649.39501953125,7539.087890625,4938.236328125,2212.513427734375,9632.1513671875,4800.29541015625,9386.64453125,2581.3740234375,617.8748168945312,927.3759155273438
