,Measure,ComeOnHome,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmin7,Eb,0.0,455.8770446777344,83.80208587646484,22.982316970825195,48.887638092041016,21.079402923583984,16.43497657775879,28.52655601501465,31.3226318359375,8.958708763122559,8.962736129760742,30.939674377441406,70.80489349365234
1,1,C7(#9),C,1.0,28.14533805847168,96.7184066772461,70.47167205810547,274.5023498535156,70.12142181396484,51.57228469848633,201.4449005126953,37.14071273803711,4.995362281799316,13.680058479309082,72.07212829589844,21.823259353637695
2,2,B7,B,2.0,167.11920166015625,41.913352966308594,21.252695083618164,150.19076538085938,311.5832824707031,49.71352767944336,49.79875564575195,153.0946502685547,38.92299270629883,22.88555145263672,73.39912414550781,45.061004638671875
3,2,Bb7,Bb,3.0,50.73848342895508,16.77385711669922,58.33046340942383,310.6405029296875,125.37194061279297,52.275177001953125,248.1682586669922,49.68473434448242,12.883232116699219,62.78141403198242,42.41639709472656,135.6094970703125
4,3,Ebmin7,Eb,4.0,35.268768310546875,63.496334075927734,220.36480712890625,159.023193359375,119.29742431640625,408.5813903808594,243.88275146484375,92.57251739501953,195.57289123535156,143.32106018066406,192.11444091796875,63.270503997802734
5,3,C7(#9),C,5.0,40.649173736572266,105.00042724609375,100.64181518554688,253.96556091308594,78.8327407836914,130.8114013671875,242.5751953125,46.453060150146484,16.911195755004883,22.166940689086914,78.25951385498047,33.3617057800293
6,4,B7,B,6.0,169.6387481689453,43.696903228759766,27.868743896484375,152.94712829589844,314.6763000488281,68.41835021972656,53.191009521484375,153.17303466796875,39.09774398803711,23.32695198059082,77.2072982788086,54.47005081176758
7,4,Bb7,Bb,7.0,50.43935012817383,17.501325607299805,59.9533805847168,313.1332702636719,138.48880004882812,64.4601821899414,242.55853271484375,49.89238357543945,13.416988372802734,62.55943298339844,57.40562438964844,139.2132110595703
8,5,Ebmin7,Eb,8.0,52.16720199584961,124.06493377685547,222.3667449951172,223.6172637939453,129.99241638183594,379.6665954589844,185.90342712402344,117.12194061279297,540.5858764648438,227.5016632080078,179.489990234375,76.01966094970703
9,5,C7(#9),C,9.0,43.631439208984375,99.54544067382812,89.12505340576172,257.7968444824219,84.14154815673828,105.00504302978516,217.08998107910156,43.75953674316406,14.32979679107666,19.890010833740234,71.02442932128906,35.194271087646484
10,6,B7,B,10.0,169.00477600097656,43.47895812988281,24.20543670654297,144.0531005859375,310.6366271972656,74.7103271484375,56.11521530151367,148.08287048339844,37.44662094116211,23.35996437072754,77.52330780029297,54.31095504760742
11,6,Bb7,Bb,11.0,72.84622955322266,34.54972457885742,75.65567779541016,350.2533264160156,174.6444549560547,217.37030029296875,270.0738525390625,79.28604888916016,37.420833587646484,102.76705932617188,59.9227180480957,143.92625427246094
12,7,Gb7,Gb,12.0,1946.4415283203125,1292.6876220703125,742.5609741210938,510.680908203125,1332.9774169921875,1813.2474365234375,707.81201171875,234.88267517089844,338.9853210449219,394.7842102050781,1473.6920166015625,630.3828125
13,8,Bmaj7,B,14.0,173.09796142578125,136.27857971191406,291.3782653808594,1049.8077392578125,332.2431945800781,357.0445861816406,1117.103759765625,203.63311767578125,62.4913444519043,153.88108825683594,898.2919921875,628.2109375
14,9,Bmaj7,B,16.0,362.042236328125,156.9008026123047,437.3869323730469,1353.4185791015625,309.4906311035156,415.925537109375,1259.4615478515625,352.8621826171875,149.0374755859375,413.956298828125,2295.373291015625,1859.9093017578125
15,10,Emaj7,E,18.0,146.96043395996094,55.09364318847656,92.93756103515625,535.856689453125,1005.930908203125,211.1288604736328,136.82325744628906,132.9440460205078,423.3785705566406,109.19799041748047,202.9763641357422,614.4293823242188
16,11,Gb,Gb,20.0,26313.044921875,60825.42578125,31509.3984375,83303.9140625,33692.67578125,42082.05859375,109472.2578125,49497.171875,158619.34375,76050.3515625,86201.96875,29876.21875
