,Measure,ByeYa,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,10,A6,A,18.0,1935.7735595703125,3148.784423828125,1736.5848388671875,5570.4453125,8724.4072265625,3345.93359375,6565.74072265625,2658.605712890625,1432.9102783203125,2677.090576171875,1645.6678466796875,980.1655883789062
1,12,Ab6,Ab,22.0,2814.550537109375,799.8689575195312,1064.83056640625,4684.26318359375,2503.896484375,5510.189453125,1641.7249755859375,1109.1571044921875,2484.511474609375,550.8292236328125,411.8996276855469,678.5299072265625
2,14,Bmin7,B,26.0,76.41229248046875,101.96978759765625,390.8199157714844,146.06785583496094,68.88050079345703,149.99765014648438,373.6800537109375,69.71492767333984,34.58409118652344,136.640869140625,74.56996154785156,166.1668243408203
3,15,E7,E,28.0,72.48635864257812,56.08871841430664,266.0632629394531,145.5390167236328,366.6351318359375,107.72240447998047,115.68286895751953,47.12745666503906,147.8568572998047,69.04254913330078,56.70437240600586,267.13665771484375
4,16,Bbmin7,Bb,30.0,8.774785041809082,24.334272384643555,111.4301528930664,34.74946594238281,93.70684051513672,20.818939208984375,17.406923294067383,7.542033672332764,15.451302528381348,5.525589466094971,4.148813247680664,13.80582046508789
5,16,Eb7,Eb,31.0,66.93659973144531,296.0361022949219,129.95054626464844,78.60401153564453,93.64163208007812,370.0525207519531,80.14297485351562,46.54743576049805,106.77848052978516,64.16764831542969,130.81777954101562,39.645084381103516
6,17,Amin7,A,32.0,49.256290435791016,286.53955078125,135.4351043701172,350.4115905761719,70.06729888916016,85.36672973632812,44.58908462524414,156.93118286132812,40.44758224487305,33.197288513183594,152.5120391845703,34.04291534423828
7,17,D7,D,33.0,589.8418579101562,233.13243103027344,478.052001953125,186.46009826660156,355.2360534667969,100.41199493408203,50.40374755859375,215.0592041015625,76.34723663330078,78.52680206298828,30.286575317382812,124.82647705078125
8,18,Db7,Db,34.0,739.4801635742188,595.8511962890625,1609.3770751953125,344.5930480957031,386.6166076660156,616.4574584960938,1054.6163330078125,211.27708435058594,212.41624450683594,451.9599914550781,129.5657196044922,301.9742736816406
9,19,Ab6,Ab,36.0,295.5805358886719,177.3993682861328,283.5069885253906,348.6080322265625,201.78501892089844,549.6067504882812,610.0799560546875,3431.765625,805.595947265625,95.6612319946289,131.62867736816406,582.9616088867188
10,20,Db7,Db,38.0,214.08050537109375,198.6842803955078,102.21886444091797,278.7314453125,192.0126953125,575.6383666992188,123.3625259399414,44.73086929321289,141.7235870361328,40.64775848388672,38.21380615234375,183.0160369873047
11,21,Ab6,Ab,40.0,299.9847717285156,168.7503662109375,262.2553405761719,369.9432678222656,184.48362731933594,545.3502807617188,564.2153930664062,3332.196533203125,797.76904296875,93.62313842773438,128.8267364501953,617.7861938476562
12,22,Gb7,Gb,42.0,36.055118560791016,12.647439002990723,14.468749046325684,77.24530029296875,41.496803283691406,70.37071990966797,12.500771522521973,3.529207468032837,3.6295230388641357,1.46464204788208,1.8319439888000488,7.684128284454346
13,22,Ab6/9(09),Ab,43.0,73.74832916259766,233.41136169433594,53.954498291015625,78.70308685302734,402.5782470703125,184.77996826171875,186.00721740722656,31.739004135131836,42.04667282104492,50.25680160522461,129.47543334960938,47.50210952758789
14,23,E9,E,44.0,878.999755859375,369.8975830078125,473.2973937988281,1712.6104736328125,859.2695922851562,1666.3907470703125,481.5780334472656,432.5638427734375,808.2409057617188,432.4251403808594,1864.5767822265625,508.7964782714844
15,24,B7(b5),B,46.0,298.2047424316406,304.4201965332031,1084.8953857421875,1008.528564453125,775.6499633789062,580.8588256835938,1867.37353515625,505.8782653808594,841.6538696289062,279.83203125,295.8033752441406,975.343017578125
16,25,Db6,Db,48.0,219.05296325683594,51.66957092285156,52.77277755737305,207.3780975341797,66.0299072265625,46.1761589050293,204.2207794189453,59.76144790649414,17.617340087890625,54.953948974609375,45.51779556274414,105.60787963867188
17,25,D6,D,48.66666666666666,95.36688232421875,169.2462921142578,53.26934814453125,101.38449096679688,96.48235321044922,407.852294921875,136.9325408935547,30.112966537475586,98.72518157958984,57.256072998046875,183.3720245361328,79.53054809570312
18,25,Eb6,Eb,49.33333333333334,4641.55029296875,2275.296630859375,3664.021240234375,6957.109375,1773.1044921875,3254.781005859375,4829.5595703125,3992.058837890625,1247.5694580078125,2177.555908203125,4458.8984375,3096.824462890625
