,Measure,Blues on the Corner,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,204.9226837158203,457.6092834472656,1081.5948486328125,291.0978698730469,406.6748352050781,1873.5194091796875,456.6178283691406,211.4817352294922,842.06591796875,602.3012084960938,946.8831176757812,196.6235809326172
1,2,Eb7,Eb,2.0,12.698988914489746,49.683712005615234,70.6337890625,185.9324493408203,52.93898010253906,72.79096221923828,33.59874725341797,59.97050476074219,21.098764419555664,27.255701065063477,127.9139633178711,33.932865142822266
2,2,Edim7,E,3.0,222.87164306640625,627.05419921875,191.09130859375,396.0172119140625,894.7445678710938,247.00025939941406,133.6082000732422,399.6615905761719,124.4757080078125,143.76454162597656,668.2559814453125,154.4998779296875
3,3,Bb7,Bb,4.0,15.186751365661621,15.978259086608887,10.06708812713623,35.012935638427734,93.46524810791016,86.13652801513672,26.242116928100586,61.24567794799805,17.950923919677734,17.525760650634766,14.71700668334961,5.741674423217773
4,3,Bb7,Bb,4.666666666666667,19.802465438842773,60.990291595458984,127.0693588256836,37.74811935424805,81.19261932373047,241.7293701171875,54.07523727416992,18.217981338500977,71.05915069580078,54.26531982421875,109.09761810302734,26.81403923034668
5,3,Ab7,Ab,5.333333333333333,10.430734634399414,15.321000099182129,47.5367317199707,36.89063262939453,30.99091339111328,129.82546997070312,37.6651725769043,19.22450065612793,35.667354583740234,132.59852600097656,638.5606689453125,108.74858856201172
6,4,Gb7,Gb,6.0,166.7415008544922,91.0408935546875,173.2419891357422,260.9979553222656,109.84571075439453,201.28125,318.3042907714844,159.96746826171875,520.4462280273438,138.02154541015625,91.64763641357422,75.49101257324219
7,4,E7,E,6.666666666666668,117.21780395507812,174.99461364746094,192.59532165527344,217.63214111328125,336.7030029296875,240.5624237060547,265.395263671875,90.26534271240234,110.50469207763672,53.60210037231445,104.13302612304688,115.5238037109375
8,4,D7,D,7.333333333333332,319.6766052246094,112.3269271850586,207.91424560546875,112.3724365234375,270.4124450683594,144.7983856201172,385.8537902832031,75.08100891113281,75.95092010498047,116.91390228271484,39.329219818115234,119.37104034423828
9,5,Eb7,Eb,8.0,654.9962768554688,1102.5540771484375,691.09423828125,1556.44482421875,928.947998046875,415.4961242675781,785.103271484375,1115.6922607421875,443.1978454589844,344.7403259277344,894.9515991210938,387.9415283203125
10,6,Bb7,Bb,10.0,32.84605026245117,64.11656188964844,58.356201171875,157.6556396484375,49.450531005859375,66.50012969970703,50.23207092285156,31.731359481811523,13.576933860778809,303.8265075683594,2034.6776123046875,278.357666015625
11,7,Bb7,Bb,12.0,366.050537109375,425.3569641113281,241.6168212890625,64.40817260742188,89.3862075805664,320.80230712890625,69.85723114013672,49.39423751831055,122.34762573242188,143.2891387939453,526.4564819335938,125.3440933227539
12,7,Eb7,Eb,13.0,54.97689437866211,199.68397521972656,154.64056396484375,29.47827911376953,56.865875244140625,298.0729675292969,44.91072082519531,17.159563064575195,66.65033721923828,60.07667541503906,202.641845703125,41.16989517211914
13,8,D7,D,14.0,89.0377426147461,248.09706115722656,148.06459045410156,377.9650573730469,115.08202362060547,146.1575469970703,132.45216369628906,248.9626007080078,724.5908813476562,187.8030548095703,174.507568359375,45.27487564086914
14,8,G7,G,15.0,99.37496185302734,44.657962799072266,112.71099090576172,79.83670806884766,24.201751708984375,50.66643142700195,160.35865783691406,35.934207916259766,15.388806343078613,86.6385498046875,85.22640228271484,31.733041763305664
15,9,Cmin7,C,16.0,994.9094848632812,406.2734375,1032.5919189453125,2060.570068359375,1147.820068359375,2682.468017578125,874.321533203125,1619.5589599609375,428.6310729980469,953.6923828125,5412.38623046875,2252.124267578125
16,10,F7,F,18.0,1096.6378173828125,281.2779541015625,408.4997863769531,1597.4864501953125,887.9354858398438,1197.3568115234375,390.0530700683594,298.6246032714844,345.7513122558594,1140.8868408203125,1655.9041748046875,586.6185913085938
17,11,Bb7,Bb,20.0,32.4148063659668,22.18617057800293,56.8880500793457,63.355655670166016,46.11398696899414,152.64146423339844,39.50125503540039,17.556684494018555,43.76264572143555,45.64421081542969,119.1767807006836,33.00619125366211
18,11,G7(#9),G,21.0,114.67142486572266,99.00008392333984,279.9110412597656,188.5175323486328,237.7125244140625,766.0704956054688,307.2321472167969,411.8246765136719,796.74609375,287.8821716308594,536.6285400390625,384.6914367675781
19,12,C7,C,22.0,78.27751922607422,40.09182357788086,82.09370422363281,82.91732025146484,142.68063354492188,300.65625,70.89666748046875,136.27349853515625,526.979736328125,234.95477294921875,128.32395935058594,126.45711517333984
20,12,F7,F,23.0,566.8637084960938,150.41574096679688,184.89149475097656,914.2471313476562,826.8345336914062,478.3662414550781,232.8910369873047,225.6214141845703,348.8514404296875,969.8272094726562,261.4392395019531,147.4293212890625
21,13,C7,C,24.0,161.00294494628906,51.787960052490234,56.57179260253906,229.23248291015625,184.6164093017578,166.40835571289062,43.8574333190918,61.69649124145508,46.44940185546875,139.1157989501953,68.76126098632812,55.31679916381836
22,13,F7,F,25.0,3755.603515625,1399.7237548828125,1101.1326904296875,5755.30322265625,4948.22216796875,2675.825439453125,1056.7349853515625,1107.01611328125,1565.5579833984375,4233.1337890625,1345.685546875,851.4526977539062
23,15,E7(#9),E,28.0,5087.40869140625,4375.95166015625,20327.689453125,15815.8603515625,16493.322265625,4439.74609375,6348.89453125,17510.017578125,14960.4033203125,4460.55322265625,5460.20361328125,22421.455078125
