,Measure,ReyJorge,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bbmin7,Bb,0.0,506.4466552734375,1714.5220947265625,377.8688049316406,229.3654022216797,665.2544555664062,3193.2109375,587.6882934570312,251.91351318359375,1348.84423828125,712.1685180664062,1948.7379150390625,384.1719055175781
1,2,Eb7,Eb,2.0,397.3629150390625,2155.084228515625,1037.5848388671875,3102.4091796875,629.9118041992188,270.34063720703125,283.56622314453125,1517.5311279296875,352.4615173339844,350.1077575683594,1911.9500732421875,437.7306213378906
2,3,Eb7,Eb,4.0,457.7840576171875,2525.22607421875,1208.650146484375,3675.553955078125,782.3442993164062,289.7279357910156,311.63897705078125,1699.5191650390625,580.6589965820312,403.6543884277344,1974.75537109375,475.8663024902344
3,4,Bbmin7,Bb,6.0,494.16943359375,1616.90625,373.8106689453125,302.06109619140625,702.8712768554688,3238.749755859375,609.8165893554688,324.6192932128906,1685.8228759765625,1031.6136474609375,3735.242431640625,652.0613403320312
4,5,Eb7,Eb,8.0,399.5754089355469,2159.501220703125,1040.9652099609375,3030.0361328125,610.4072875976562,311.8777160644531,315.8739929199219,1586.2716064453125,371.7074890136719,485.066650390625,2617.961669921875,519.95556640625
5,6,Bbmin7,Bb,10.0,496.4216613769531,1619.5386962890625,374.6287841796875,304.8624267578125,716.359375,3288.989990234375,616.6986083984375,323.8301696777344,1679.89599609375,1043.7200927734375,3882.7470703125,678.3484497070312
6,7,Eb7,Eb,12.0,401.5052490234375,2178.0205078125,1118.556640625,3445.1904296875,717.229248046875,276.0577392578125,297.3553161621094,1614.4161376953125,373.8002014160156,477.8325500488281,2601.455810546875,518.1073608398438
7,8,Bbmin7,Bb,14.0,495.9202880859375,1619.1385498046875,374.3913879394531,308.5547790527344,715.9255981445312,3278.4814453125,613.7711181640625,323.7270202636719,1679.7081298828125,997.30810546875,3490.0712890625,619.2564086914062
8,9,Eb7,Eb,16.0,411.4222717285156,2165.528564453125,1050.4390869140625,3037.9091796875,615.2042846679688,343.651123046875,329.60107421875,1590.0966796875,381.2647399902344,508.7719421386719,2968.093994140625,668.8060913085938
9,10,Bbmin7,Bb,18.0,495.921142578125,1619.0987548828125,373.6137390136719,304.6964416503906,715.58349609375,3278.621337890625,613.8229370117188,323.6710205078125,1679.681640625,997.0028686523438,3489.039794921875,619.2465209960938
10,11,Eb7,Eb,20.0,454.78857421875,2469.492431640625,1212.2757568359375,3763.146484375,805.5518188476562,331.5904235839844,311.2956237792969,1675.9835205078125,607.2667846679688,532.3396606445312,2634.378662109375,543.2373046875
11,12,Bbmin7,Bb,22.0,482.6917419433594,1612.6864013671875,355.8774719238281,280.8361511230469,699.4302368164062,3219.512939453125,588.8499145507812,269.7705078125,1333.03515625,701.3444213867188,1938.447265625,381.5514221191406
12,13,Eb7,Eb,24.0,397.7571716308594,2156.514892578125,1044.8995361328125,3143.013671875,636.5769653320312,270.38592529296875,284.5746765136719,1525.4539794921875,353.9889831542969,349.9793395996094,1906.6365966796875,436.2768249511719
13,14,Bbmin7,Bb,26.0,482.5278625488281,1609.2943115234375,355.123046875,281.86907958984375,700.3407592773438,3213.436279296875,588.1643676757812,269.7139587402344,1332.1619873046875,689.3131713867188,1867.5760498046875,372.8167419433594
14,15,Eb7,Eb,28.0,397.7638244628906,2156.521240234375,1044.9237060546875,3143.014892578125,636.58251953125,270.3930969238281,284.5747375488281,1525.4468994140625,353.9831848144531,350.0823974609375,1907.3807373046875,436.3934326171875
15,16,Bbmin7,Bb,30.0,658.1873168945312,1627.6591796875,426.8613586425781,584.7070922851562,847.1275024414062,3785.970947265625,744.677001953125,450.0213928222656,1361.5885009765625,735.4754028320312,1985.6181640625,482.0998840332031
16,17,Eb7,Eb,32.0,733.557861328125,4079.0654296875,1887.0068359375,5993.28369140625,1168.1583251953125,527.5270385742188,525.5971069335938,2884.423828125,637.8276977539062,625.1796264648438,3512.48046875,782.3552856445312
