,Measure,YardbirdSuite,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,9,Cmaj7,C,16.0,1448.2650146484375,297.9578552246094,131.4136199951172,371.2237854003906,1684.2633056640625,308.6077575683594,171.19189453125,790.2046508789062,195.4879150390625,82.47618103027344,169.30625915527344,1056.4737548828125
1,10,Fmin7,F,18.0,639.3871459960938,171.4722137451172,222.5294189453125,753.5187377929688,409.7055358886719,453.9564208984375,119.04367065429688,261.3672180175781,495.582763671875,426.1853942871094,1348.490234375,363.9645690917969
2,10,Bb7,Bb,19.0,119.0370864868164,40.75441360473633,82.41407012939453,230.9663543701172,79.50360870361328,114.9660873413086,37.31050109863281,78.51884460449219,327.62615966796875,77.3389663696289,50.44938659667969,37.36030197143555
3,11,Cmaj7,C,20.0,656.4534301757812,155.43380737304688,187.25103759765625,279.1062927246094,1159.259521484375,550.3255004882812,206.84092712402344,877.6843872070312,211.5826873779297,85.50591278076172,150.55099487304688,645.46435546875
4,11,Bb7,Bb,21.0,77.57836151123047,20.470582962036133,79.76476287841797,80.6150894165039,195.26385498046875,111.601806640625,182.490234375,1165.974365234375,197.15345764160156,13.248588562011719,17.720354080200195,67.34325408935547
5,12,A7,A,22.0,478.5783386230469,1899.1094970703125,1179.5233154296875,860.4307250976562,3520.96484375,2092.629638671875,628.7215576171875,1890.2392578125,1316.8399658203125,1755.0958251953125,639.8770141601562,361.3895568847656
6,13,D7,D,24.0,2245.756591796875,918.1323852539062,2040.88818359375,588.716552734375,868.0267944335938,892.5247192382812,3878.642333984375,909.769775390625,360.1656494140625,1253.2593994140625,305.9474792480469,433.9961853027344
7,14,G7,G,26.0,534.7632446289062,362.5042419433594,1070.9908447265625,604.8862915039062,771.6438598632812,3732.967041015625,1375.6881103515625,1651.1138916015625,345.3495178222656,292.9969177246094,428.2446594238281,1917.3411865234375
8,15,Emin7,E,28.0,129.66600036621094,149.81082153320312,797.8347778320312,334.1172180175781,999.216064453125,238.50733947753906,155.38526916503906,726.70556640625,155.8162078857422,66.7961654663086,104.32046508789062,589.1427612304688
9,15,A7,A,29.0,23.632646560668945,54.90336608886719,84.6436996459961,70.74893188476562,228.6799774169922,68.03148651123047,28.435468673706055,94.97496795654297,148.57534790039062,776.2572631835938,116.39527130126953,45.02098083496094
10,16,Dmin7,D,30.0,558.5989379882812,331.0484924316406,572.0285034179688,173.7740936279297,562.8510131835938,1092.02001953125,335.5159606933594,604.2273559570312,173.6846466064453,427.4411926269531,96.44320678710938,119.33032989501953
11,16,G7,G,31.0,201.1564483642578,147.1881561279297,416.4850158691406,222.2703857421875,271.95758056640625,1029.4415283203125,450.0719299316406,491.2738342285156,128.1616668701172,144.8956756591797,148.18955993652344,558.603271484375
12,17,G7,G,32.0,134.39076232910156,105.95330810546875,296.8247375488281,123.19060516357422,222.9738311767578,1002.19677734375,266.89105224609375,192.51873779296875,47.03010559082031,47.560794830322266,100.3698959350586,480.5763854980469
13,18,Cmaj7,C,34.0,5776.44580078125,988.7277221679688,276.89007568359375,726.582275390625,3668.746826171875,886.3876342773438,362.7562561035156,1435.3975830078125,356.4867248535156,172.6171112060547,315.8813781738281,2449.223388671875
14,19,Cmaj7,C,36.0,694.9092407226562,154.35614013671875,87.56222534179688,253.9361114501953,1068.62060546875,218.62913513183594,113.0294189453125,448.45751953125,96.27002716064453,48.64516067504883,109.11388397216797,688.1513671875
