,Measure,JigAJugC#,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,7,Ab7,Ab,12.0,1812.3150634765625,475.4503479003906,608.0924072265625,2582.300537109375,837.0319213867188,737.4669799804688,3694.65625,1183.708740234375,1627.2889404296875,318.9318542480469,194.4855499267578,391.15283203125
1,8,Db7,Db,14.0,26517.125,37909.0703125,8044.37744140625,8119.27099609375,16401.705078125,69342.3671875,18041.111328125,10179.923828125,35673.8984375,22434.912109375,116450.15625,61408.46484375
2,16,Emin7,E,30.0,42.6074333190918,88.62444305419922,172.89402770996094,106.9068374633789,248.41661071777344,63.65799331665039,36.716426849365234,126.27152252197266,94.4444580078125,49.579376220703125,74.50239562988281,136.27886962890625
3,16,Ebmin7,Eb,30.5,52.156280517578125,251.4842529296875,147.4127197265625,253.8299102783203,155.80299377441406,105.40380096435547,267.8111572265625,119.72724151611328,70.55314636230469,41.93474197387695,159.2418212890625,88.30559539794922
4,16,Dmin7,D,31.0,144.6371307373047,191.8319091796875,186.78253173828125,111.60601806640625,173.3839111328125,309.0658874511719,161.4891357421875,47.80680847167969,59.159423828125,130.5916748046875,77.03623962402344,44.89860916137695
5,16,Dbmin7,Db,31.5,149.60105895996094,270.3509826660156,165.2766876220703,182.7078399658203,274.57177734375,170.56842041015625,81.02456665039062,49.80527877807617,175.9171905517578,67.01282501220703,41.50210189819336,141.02792358398438
6,17,Dbmin7,Db,32.0,2831.673828125,8263.3310546875,2471.87939453125,3058.571044921875,10792.9375,4381.92626953125,1170.3826904296875,825.4501953125,4181.15234375,1021.5338745117188,1122.04052734375,6003.76904296875
7,19,Ab7,Ab,36.0,1838.0994873046875,497.3306884765625,624.4161376953125,2588.329833984375,848.1238403320312,791.46337890625,3768.580078125,1198.5484619140625,1649.3917236328125,326.1972961425781,195.96173095703125,395.7253723144531
8,20,Db7,Db,38.0,3512.312255859375,5914.01220703125,1187.8453369140625,934.224609375,2282.5927734375,11472.2626953125,2319.8583984375,1154.0574951171875,3723.470703125,853.938720703125,942.5576171875,5405.07080078125
9,22,Emin7,E,42.0,42.10386657714844,86.3196029663086,170.3887939453125,106.29546356201172,248.54833984375,62.55003356933594,37.34358596801758,131.46546936035156,92.3270263671875,41.81303787231445,87.04010772705078,136.6615753173828
