,Measure,Back at the Chicken Shack,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F7,F,0.0,10547.7783203125,2558.056884765625,4745.36962890625,15197.0166015625,6996.97705078125,5747.17822265625,1428.2474365234375,2463.365966796875,2000.6644287109375,6624.392578125,1709.3555908203125,2171.207763671875
1,5,Bb7,Bb,8.0,188.09458923339844,313.2582092285156,1527.1220703125,397.3560791015625,443.9929504394531,2378.566162109375,712.1931762695312,796.066162109375,870.8867797851562,861.13330078125,849.7385864257812,174.50978088378906
2,7,F7,F,12.0,1901.8365478515625,510.2751159667969,1009.0258178710938,1430.2216796875,930.2692260742188,1826.9840087890625,446.5047912597656,690.1398315429688,416.3680725097656,1015.02783203125,264.5360412597656,355.3677062988281
3,9,C7,C,16.0,12.915007591247559,4.383999824523926,12.88223648071289,55.014339447021484,14.418163299560547,18.676225662231445,3.6840715408325195,3.7191715240478516,1.6588573455810547,1.5972027778625488,0.8429053425788879,2.42425799369812
4,10,Bb7,Bb,18.0,425.8695983886719,82.85750579833984,54.22770690917969,167.2894744873047,690.1434936523438,135.246337890625,111.92737579345703,687.5099487304688,167.9668731689453,35.64163589477539,107.30926513671875,100.36530303955078
5,11,F7,F,20.0,11626.7255859375,2962.1796875,5673.34033203125,16763.462890625,9424.3359375,14784.4111328125,2956.993896484375,2601.977783203125,2663.920166015625,11315.2685546875,30930.876953125,6571.52880859375
