,Measure,OnGreenDolphinStreet,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmaj7,Eb,0.0,712.8803100585938,1828.1256103515625,11429.52734375,33824.48046875,5072.5322265625,703.784423828125,1008.0717163085938,4876.31884765625,1026.26806640625,1661.3660888671875,9231.4228515625,1805.701171875
1,3,Gbmaj7/Eb,Gb,4.0,1010.4483032226562,5226.74365234375,2584.18505859375,7463.28076171875,1652.6419677734375,3405.60546875,10207.0419921875,2055.143310546875,636.8674926757812,1795.26123046875,9462.5244140625,1510.5986328125
2,5,Fmaj7/Eb,F,8.0,1984.1922607421875,473.4275207519531,339.7563781738281,2128.554931640625,3927.714111328125,3929.526611328125,655.0955200195312,216.5065460205078,354.9768371582031,1355.391357421875,291.09173583984375,387.7366027832031
3,6,Emaj7/Eb,E,10.0,436.4326477050781,278.0401916503906,821.8169555664062,3499.743896484375,3891.640380859375,952.711669921875,409.8714294433594,710.7398071289062,1515.6834716796875,382.5443115234375,592.5538940429688,1918.4754638671875
4,7,Ebmaj7,Eb,12.0,534.0223999023438,1440.2423095703125,6980.09716796875,6574.14599609375,1501.5675048828125,760.6248168945312,876.032470703125,4432.94482421875,990.7700805664062,1494.6461181640625,8075.30517578125,1608.7447509765625
5,9,Ebmaj7,Eb,16.0,393.9259338378906,1225.4991455078125,7277.06494140625,9556.8037109375,1742.7066650390625,471.0771179199219,807.6903686523438,4545.8515625,908.7548828125,1049.249755859375,5405.23291015625,1127.1270751953125
6,11,Ebmin7,Eb,20.0,1181.3724365234375,7423.513671875,2846.962158203125,9257.41015625,1583.5875244140625,1917.6063232421875,10087.3125,2138.533203125,903.8976440429688,981.7632446289062,5244.400390625,862.99609375
7,13,Fmaj7/Eb,F,24.0,3203.561279296875,645.6228637695312,217.7332000732422,846.3193359375,3705.912841796875,3946.6513671875,687.1956176757812,402.7103271484375,405.430419921875,1364.0185546875,267.83489990234375,543.3383178710938
8,14,Emaj7/Eb,E,26.0,442.8982849121094,183.0666961669922,560.5707397460938,2076.77001953125,3628.171875,808.4226684570312,288.3852233886719,418.29443359375,1433.3026123046875,340.6184387207031,430.8635559082031,1874.8809814453125
9,15,Ebmaj7,Eb,28.0,161.63226318359375,442.1348876953125,2719.127197265625,3399.431640625,681.8076782226562,365.50634765625,343.02392578125,1510.603515625,347.733154296875,710.8764038085938,4225.62841796875,783.299560546875
