,Measure,Room335,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmaj7,D,0.0,153.01551818847656,1018.1631469726562,732.4874877929688,164.4312744140625,98.2260513305664,274.69830322265625,1118.805419921875,219.19468688964844,193.6959991455078,438.6147766113281,87.45516204833984,46.38005065917969
1,1,C#min13,C#,1.0,121.31979370117188,206.88507080078125,228.06898498535156,609.6920776367188,390.8319091796875,205.61187744140625,874.5625,221.17213439941406,351.3753662109375,163.0580596923828,507.5362854003906,609.5569458007812
2,2,Bmin7,B,2.0,149.34144592285156,337.9422607421875,638.7831420898438,396.3234558105469,132.35403442382812,277.4964294433594,1160.12890625,231.59312438964844,181.0223846435547,460.0058288574219,215.296630859375,518.6871337890625
3,2,C#min7,C#,3.0,117.14615631103516,347.4241943359375,124.07217407226562,183.4822235107422,681.9899291992188,188.42271423339844,209.85801696777344,76.5772476196289,240.64825439453125,66.44747161865234,75.20932006835938,321.8417663574219
4,3,Dmaj7,D,4.0,139.1774444580078,883.5012817382812,722.382568359375,163.1720733642578,154.0097198486328,305.1465759277344,1171.4835205078125,226.5345916748047,199.3271026611328,427.5617370605469,94.3523941040039,77.49970245361328
5,3,C#min7,C#,5.0,125.504638671875,272.3789367675781,120.86514282226562,143.71849060058594,624.14892578125,180.28660583496094,197.5480499267578,74.23258209228516,238.57920837402344,65.1540298461914,75.7940902709961,377.5412902832031
6,4,Bmin7,B,6.0,72.81847381591797,207.2067413330078,294.2381896972656,118.4107894897461,75.33722686767578,146.29360961914062,534.0455322265625,109.84203338623047,93.0652084350586,219.7311553955078,105.332763671875,241.17498779296875
7,4,Amaj7,A,6.666666666666668,65.8604965209961,164.8298797607422,91.78264617919922,62.691070556640625,149.05758666992188,77.40391540527344,133.80996704101562,52.73488998413086,149.74012756347656,156.0993194580078,49.90837097167969,91.50997924804688
8,4,Eb7,Eb,7.333333333333332,103.69312286376953,592.3881225585938,225.54405212402344,409.3871765136719,197.77101135253906,59.71144485473633,100.1301498413086,211.89111328125,140.63963317871094,88.2100830078125,252.8206329345703,85.41970825195312
9,5,Bmin7,B,8.0,14.089972496032715,58.48057174682617,50.13331604003906,114.5354232788086,54.97005081176758,11.317648887634277,12.507835388183594,46.51097106933594,14.374610900878906,7.887623310089111,24.998872756958008,14.833091735839844
10,5,Amaj7,A,8.666666666666666,42.575870513916016,61.176578521728516,255.68211364746094,140.36407470703125,40.82842254638672,87.23711395263672,447.6943054199219,86.1910400390625,20.695144653320312,108.12908172607422,82.3285140991211,218.93157958984375
11,5,Eb7,Eb,9.333333333333334,65.65579986572266,241.68336486816406,109.86679077148438,108.32916259765625,325.5471496582031,108.99315643310547,161.11219787597656,58.22802734375,132.3909149169922,241.00103759765625,92.54141998291016,96.01549530029297
12,6,Dmaj,D,10.0,118.23302459716797,611.5113525390625,383.2071228027344,428.9156188964844,427.4316101074219,198.9357147216797,511.8506774902344,286.40948486328125,263.3791198730469,705.8815307617188,296.2085266113281,84.91957092285156
13,6,C#min7,C#,11.0,255.9595184326172,562.3285522460938,276.1537170410156,304.1293640136719,944.2024536132812,292.7437438964844,179.89149475097656,107.31429290771484,424.0088806152344,126.76119232177734,128.7744903564453,614.5210571289062
