,Measure,Broski,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F7,F,0.0,19958.458984375,8434.0263671875,7058.615234375,34688.08984375,18841.341796875,16378.2783203125,2958.850830078125,3770.8955078125,10099.5517578125,42903.0,7708.06201171875,4437.00537109375
1,6,Bbmin11,Bb,10.0,1398.6429443359375,804.4419555664062,569.7303466796875,2492.294189453125,972.64892578125,1240.0498046875,336.8933410644531,556.5481567382812,1464.5498046875,374.6035461425781,324.0843811035156,413.2758483886719
2,7,F,F,12.0,1652.47021484375,353.9438171386719,75.19660186767578,137.85069274902344,461.0386047363281,2037.03076171875,357.3860168457031,129.44168090820312,412.816162109375,2194.45458984375,370.4838562011719,300.74554443359375
3,8,B13,B,14.0,1145.7998046875,4328.681640625,1512.9752197265625,3812.6669921875,6308.59326171875,2662.0068359375,3447.9638671875,938.6907348632812,2409.052734375,2084.301025390625,836.473876953125,966.8176879882812
4,10,B/D,B,18.0,276.76068115234375,393.4031982421875,441.3002624511719,2400.1923828125,425.7361755371094,388.8876953125,2192.513427734375,498.3477478027344,514.2821044921875,148.73570251464844,342.701416015625,1253.65966796875
5,11,F,F,20.0,3664.373779296875,614.8095703125,131.3365020751953,374.2678527832031,1126.6412353515625,6323.95166015625,1110.6370849609375,193.921142578125,271.5185546875,1567.62451171875,280.8240051269531,613.9105834960938
6,13,F7,F,24.0,3474.174072265625,771.2704467773438,1047.96484375,6084.92822265625,2628.4814453125,2356.76953125,539.9531860351562,558.6290893554688,479.7116394042969,1571.7928466796875,424.95654296875,685.1504516601562
7,15,Eb7,Eb,28.0,62.91557693481445,347.1351623535156,185.0515594482422,547.8685913085938,96.48157501220703,28.955535888671875,44.28815841674805,260.8817443847656,54.61347961425781,74.89551544189453,350.2275390625,81.24872589111328
8,15,E7,E,29.0,96.20062255859375,92.56378173828125,449.2304382324219,290.1384582519531,607.921630859375,126.49939727783203,59.65664291381836,78.2519760131836,230.72723388671875,49.147735595703125,82.76416778564453,378.8068542480469
9,16,F7,F,30.0,1253.2677001953125,294.29510498046875,380.4636535644531,2084.5712890625,1469.1895751953125,908.7129516601562,213.5264434814453,213.27886962890625,226.8701171875,640.5570068359375,189.22430419921875,297.6712951660156
10,17,Abmaj7,Ab,32.0,980.8583984375,237.5131378173828,325.6122131347656,1748.05908203125,597.4121704101562,143.8574676513672,194.43165588378906,1103.356201171875,931.4837036132812,190.65171813964844,98.91486358642578,280.77117919921875
11,18,Bb7,Bb,34.0,136.5821990966797,250.62452697753906,1148.4798583984375,326.06134033203125,431.7699279785156,1956.9462890625,419.2776184082031,114.04901885986328,567.8500366210938,426.0248718261719,1004.3554077148438,246.68243408203125
12,19,F7,F,36.0,3586.685791015625,803.2578125,1143.2354736328125,6074.546875,2794.584716796875,3224.045654296875,625.9708251953125,613.2622680664062,518.0891723632812,1615.97314453125,437.2226257324219,701.9390258789062
13,21,C7,C,40.0,993.6085815429688,198.9236602783203,83.49202728271484,443.6568298339844,2412.37451171875,401.0423583984375,171.1232452392578,935.4166870117188,273.4920959472656,194.72467041015625,986.6266479492188,459.4472961425781
14,22,Db7,Db,42.0,177.8026580810547,345.998046875,64.38973236083984,39.668609619140625,162.7375946044922,711.5046997070312,128.66627502441406,35.660221099853516,171.8034210205078,45.784297943115234,72.00041198730469,403.4022216796875
15,22,C7,C,43.0,288.26324462890625,95.04464721679688,35.835330963134766,155.6763153076172,739.814697265625,265.5194396972656,94.86022186279297,290.36224365234375,96.71233367919922,67.04016876220703,318.592529296875,153.76730346679688
16,23,F7,F,44.0,1252.740478515625,317.8820495605469,360.7378234863281,2085.221923828125,1495.1083984375,1123.6185302734375,248.0387420654297,311.3810729980469,211.3369598388672,640.5142822265625,194.77403259277344,275.8807678222656
17,24,C7,C,46.0,1558.8319091796875,317.9176940917969,119.86505889892578,845.6290893554688,4048.631591796875,772.4506225585938,289.4855041503906,1562.27294921875,450.2205505371094,306.50030517578125,1521.93212890625,693.9020385742188
