,Measure,Isn't She Lovely,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Amin7,A,2.0,720.7705078125,128.5188446044922,37.36405563354492,130.9396209716797,594.2572021484375,109.66241455078125,49.899723052978516,322.5680847167969,85.83233642578125,46.63508987426758,17.965848922729492,124.96410369873047
1,3,D7,D,4.0,181.5902099609375,63.942657470703125,195.03387451171875,116.33300018310547,595.2260131835938,379.6301574707031,424.6283874511719,66.69245147705078,83.95272064208984,122.70123291015625,30.179655075073242,51.703975677490234
2,4,Dmin7,D,6.0,309.8598327636719,157.07676696777344,421.6468200683594,220.5832977294922,280.8401184082031,1022.1409301757812,452.1041259765625,551.5133056640625,142.9961700439453,136.1883087158203,148.4423828125,570.8615112304688
3,4,G7,G,7.0,477.1502685546875,142.5476837158203,191.71453857421875,281.7075500488281,1128.2916259765625,418.4538879394531,274.1834716796875,1475.376953125,274.1818542480469,171.6849822998047,77.62541961669922,231.9249267578125
4,5,C,C,8.0,181.41685485839844,61.70454406738281,102.49498748779297,207.36146545410156,1129.153564453125,477.3368835449219,108.9627456665039,159.57090759277344,98.85018920898438,58.91537857055664,30.53715705871582,112.1756362915039
5,6,Amin7,A,10.0,732.4990234375,131.23463439941406,53.1219482421875,133.59408569335938,607.6387329101562,156.0464324951172,57.13092041015625,320.4266052246094,85.06258392333984,45.06303405761719,19.667251586914062,138.7947540283203
6,7,D9,D,12.0,212.15403747558594,67.40090942382812,63.491363525390625,187.11033630371094,1072.31689453125,464.741455078125,337.2367858886719,75.20761108398438,122.36865234375,101.0924072265625,36.31954574584961,87.29442596435547
7,8,Dmin7,D,14.0,644.9187622070312,141.29644775390625,194.3238067626953,75.85118103027344,209.5460968017578,741.329345703125,141.2123260498047,205.3489990234375,125.56747436523438,508.4677734375,92.54454803466797,101.5240478515625
8,9,C,C,16.0,53.03145217895508,14.520072937011719,20.923364639282227,63.914398193359375,382.9014892578125,120.09992218017578,23.342063903808594,62.19935989379883,42.49470138549805,21.401763916015625,6.966745376586914,24.033517837524414
9,9,C7,C,17.0,630.7067260742188,148.18016052246094,86.5283432006836,250.10113525390625,1023.5370483398438,488.0924987792969,169.67202758789062,390.9935302734375,282.00750732421875,552.3412475585938,273.0529479980469,208.89988708496094
10,10,Fmaj7,F,18.0,265.5660095214844,73.5540542602539,44.432647705078125,142.78245544433594,688.4252319335938,793.9550170898438,160.6812286376953,129.79544067382812,68.4942855834961,115.14319610595703,59.8304557800293,73.41473388671875
11,11,E13,E,20.0,107.79778289794922,132.70335388183594,247.5465545654297,253.3471221923828,953.3463745117188,258.1767883300781,418.0178527832031,85.82604217529297,125.18758392333984,108.05455780029297,97.04769134521484,434.1712341308594
12,12,Amin7,A,22.0,189.89361572265625,50.49296951293945,57.65774154663086,139.09349060058594,597.9253540039062,124.50989532470703,103.98502349853516,144.75941467285156,45.84821701049805,60.43574905395508,27.428831100463867,130.9869842529297
13,13,D7,D,24.0,170.24517822265625,58.57255935668945,190.330810546875,88.77851104736328,362.7833557128906,211.37184143066406,404.4208068847656,64.72052764892578,64.21184539794922,146.75619506835938,32.656028747558594,53.119659423828125
14,14,Dmin7,D,26.0,615.9959106445312,133.73062133789062,198.8680419921875,67.45722198486328,165.87428283691406,734.3295288085938,156.1353759765625,198.71958923339844,58.797637939453125,76.21569061279297,23.78675079345703,96.6728286743164
15,15,G7,G,28.0,460.0329895019531,354.8453369140625,1249.2174072265625,660.4247436523438,791.9374389648438,3769.192138671875,1689.3565673828125,4406.96337890625,849.5494995117188,545.9966430664062,464.0340576171875,1928.5391845703125
16,16,C,C,30.0,3739.103271484375,1050.55224609375,1993.6812744140625,1162.1341552734375,4746.02880859375,1614.16357421875,721.7379760742188,2801.880859375,1391.1163330078125,3460.5263671875,938.55224609375,1146.3074951171875
