,Measure,Play It Back,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,F7(#9),F,2.0,717.77783203125,232.5079803466797,492.3633728027344,2705.547119140625,927.0927734375,1328.2078857421875,396.59619140625,589.771484375,649.408935546875,743.19580078125,399.525634765625,253.5111541748047
1,5,F7(#9),F,8.0,32263.1640625,7100.98095703125,10915.7353515625,57212.57421875,25755.029296875,27605.65625,6433.248046875,7449.41845703125,21564.318359375,21848.1015625,5487.77880859375,7083.27490234375
2,13,C7,C,24.0,25.285402297973633,12.397440910339355,24.6070556640625,139.89341735839844,83.66961669921875,32.36423110961914,11.358521461486816,35.932682037353516,10.38679027557373,8.325194358825684,29.984647750854492,16.57969856262207
3,15,Bb7,Bb,28.0,2.668897867202759,0.6017746925354004,0.3346140384674072,2.958346366882324,18.535329818725586,2.9662256240844727,0.27609783411026,1.5310239791870117,0.40579721331596375,0.6633123755455017,3.751875877380371,1.2478588819503784
4,15,F,F,29.0,5381.58154296875,2417.395751953125,7762.33740234375,2040.3060302734375,4098.1572265625,18682.77734375,3834.026123046875,1282.7012939453125,5301.74560546875,5989.060546875,7238.4453125,1849.8345947265625
5,18,F7(#9),F,34.0,21152.173828125,4669.5498046875,7259.267578125,36323.87890625,16692.83203125,16162.125,3830.191162109375,5234.8095703125,14938.2685546875,14973.4833984375,3802.855224609375,4713.4189453125
