,Measure,Storm,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,1681.2939453125,411.4452209472656,819.8145141601562,3178.849365234375,1004.247314453125,220.3638153076172,284.0154113769531,1482.5751953125,306.3299255371094,363.6031188964844,1939.060546875,724.0661010742188
1,2,F13,F,2.0,2068.4111328125,786.517822265625,2861.9453125,3690.615478515625,1930.7001953125,1590.5714111328125,549.7047729492188,1642.6597900390625,793.7529296875,2158.950927734375,2314.1884765625,880.0700073242188
2,3,Cmin7,C,4.0,1708.8154296875,417.1476745605469,803.4942016601562,3129.307373046875,1008.6217651367188,264.12615966796875,293.5318298339844,1510.4671630859375,307.6216125488281,368.028564453125,1945.14013671875,729.4208984375
3,4,F13,F,6.0,2070.22021484375,788.4071655273438,2868.907470703125,3694.021728515625,1931.0784912109375,1600.2257080078125,549.9409790039062,1642.5185546875,794.015869140625,2160.27099609375,2314.122802734375,880.0464477539062
4,5,Cmin7,C,8.0,1708.8157958984375,417.147705078125,803.5001831054688,3129.308837890625,1008.6260375976562,264.1298522949219,293.53387451171875,1510.46533203125,307.6216125488281,368.0280456542969,1945.1405029296875,729.4203491210938
5,6,F13,F,10.0,2070.219482421875,788.4080200195312,2868.914794921875,3694.008544921875,1931.078125,1600.2266845703125,549.938720703125,1642.5179443359375,794.0177612304688,2160.274169921875,2314.122802734375,880.0464477539062
6,7,Cmin7,C,12.0,1708.81298828125,417.1466979980469,803.4981079101562,3129.306884765625,1008.62890625,264.1297302246094,293.53289794921875,1510.4637451171875,307.6217956542969,368.028564453125,1945.1396484375,729.41943359375
7,8,F13,F,14.0,2070.217529296875,788.4086303710938,2868.912841796875,3694.019775390625,1931.0771484375,1600.2242431640625,549.9387817382812,1642.51904296875,794.0175170898438,2160.276611328125,2314.119873046875,880.046875
8,9,Cmin7,C,16.0,1700.2841796875,420.8780822753906,844.0857543945312,3147.825927734375,1012.1452026367188,269.8257751464844,475.177490234375,2919.947509765625,511.0505676269531,368.8565673828125,1946.6513671875,733.434814453125
9,10,F7sus(07),F,18.0,633.447265625,131.48751831054688,63.44489669799805,121.28219604492188,489.997802734375,436.2021179199219,209.3519287109375,706.10791015625,166.03262329101562,171.15478515625,562.6636352539062,268.3978271484375
10,10,F7,F,19.0,568.9202270507812,146.92674255371094,230.56878662109375,984.2881469726562,537.5538940429688,428.5412292480469,108.7338638305664,146.12286376953125,199.32115173339844,517.5399169921875,159.07167053222656,148.2946319580078
11,11,Dmin7(b5),D,20.0,563.3893432617188,274.0995178222656,599.2088012695312,419.1810302734375,483.3973083496094,1814.0986328125,388.6239929199219,87.90350341796875,96.79877471923828,437.9937744140625,93.34371948242188,106.46701049804688
12,11,G7(#9),G,21.0,195.7780303955078,156.28695678710938,450.075927734375,263.8478088378906,338.4747009277344,1108.5413818359375,612.7758178710938,512.0320434570312,172.73048400878906,231.1338653564453,632.3225708007812,661.5662841796875
13,12,Cmin7,C,22.0,1151.547607421875,245.9916534423828,376.28564453125,977.8425903320312,360.8417663574219,301.9584655761719,135.1461639404297,471.512939453125,108.51245880126953,110.72595977783203,497.975830078125,386.4211120605469
14,12,F13,F,23.0,184.171875,59.81449890136719,102.9745864868164,261.9559631347656,95.97735595703125,67.82215118408203,36.2634162902832,80.8949203491211,32.599578857421875,57.32981872558594,89.1690444946289,72.46402740478516
15,13,Dmin7(b5),D,24.0,1786.6229248046875,928.4454956054688,2888.748291015625,1552.84326171875,1389.7916259765625,5337.25634765625,1114.236572265625,544.2536010742188,327.9206848144531,1351.8323974609375,444.6755676269531,470.2145080566406
16,14,G7(b9),G,26.0,409.1742248535156,177.9229736328125,364.2217102050781,214.95143127441406,315.9950866699219,1502.60009765625,554.8346557617188,588.1323852539062,568.92138671875,167.02105712890625,155.44068908691406,628.8223266601562
17,14,G7(#9),G,27.0,66.6828384399414,35.52482223510742,74.1664810180664,41.49562454223633,62.8708381652832,282.7664794921875,78.52476501464844,49.96085739135742,38.96349334716797,23.870317459106445,64.82300567626953,130.14524841308594
18,15,Cmin7,C,28.0,2828.126708984375,641.482177734375,971.9033203125,3212.587646484375,1216.3603515625,1627.5,521.1184692382812,1658.7325439453125,383.214111328125,457.7353515625,2098.5205078125,1463.1954345703125
19,16,Amin7(b5),A,30.0,1274.8114013671875,233.76068115234375,93.13143920898438,242.39573669433594,908.4342651367188,194.72125244140625,101.32723999023438,491.880859375,241.52056884765625,549.9649047851562,288.3375549316406,351.6535949707031
20,16,Eb7,Eb,31.0,136.32762145996094,68.25154876708984,53.86091232299805,135.87826538085938,192.38665771484375,48.23545837402344,24.83903694152832,78.4231948852539,23.752161026000977,22.060998916625977,50.34733200073242,43.13525390625
21,17,Abmaj7,Ab,32.0,2961.912109375,888.916259765625,730.6122436523438,2402.566650390625,893.1356811523438,263.7168273925781,565.0376586914062,3392.6142578125,1991.85107421875,360.1401062011719,327.2274169921875,757.2152709960938
22,18,Dmin7(b5),D,34.0,637.1275634765625,250.5935821533203,593.7957153320312,191.48789978027344,316.6935119628906,1056.15283203125,327.6409912109375,519.5427856445312,152.24990844726562,414.8234558105469,90.88763427734375,114.30856323242188
23,18,G7(#9),G,35.0,117.93344116210938,41.13675308227539,80.02800750732422,53.928192138671875,69.73394012451172,285.87200927734375,71.78923797607422,36.576114654541016,18.423051834106445,39.938514709472656,49.93472671508789,59.43840026855469
24,19,Cmin7,C,36.0,2821.836181640625,642.6195678710938,997.0567016601562,3320.357421875,1235.2027587890625,1636.0220947265625,527.2346801757812,1679.9189453125,360.7297668457031,420.738525390625,2092.962646484375,1473.27734375
25,20,F7sus(07),F,38.0,1292.2200927734375,228.05584716796875,65.15727996826172,124.453369140625,498.8105163574219,418.2991638183594,130.81153869628906,136.05421447753906,92.9385986328125,192.0341033935547,739.88720703125,432.74072265625
26,20,F7,F,39.0,571.0778198242188,145.55543518066406,243.88328552246094,986.5460815429688,549.0986938476562,447.2624816894531,111.3535385131836,133.3706817626953,196.7252960205078,522.1055297851562,166.3394317626953,162.91224670410156
27,21,Cmin7,C,40.0,6812.951171875,1471.3526611328125,2345.72802734375,10016.6240234375,3135.007080078125,1423.6236572265625,978.781005859375,5175.60009765625,1013.73779296875,1031.613525390625,5291.53076171875,2396.6533203125
28,23,Cmin7,C,44.0,4707.69287109375,1092.6021728515625,2162.471435546875,9482.8154296875,2792.9736328125,599.2482299804688,812.0068359375,4436.328125,850.6714477539062,963.4397583007812,5301.62109375,1945.8486328125
29,25,Dmin7(b5),D,48.0,1959.8206787109375,749.5916137695312,1900.3651123046875,463.1805419921875,779.9545288085938,3608.289794921875,820.093994140625,196.0148468017578,248.15428161621094,1257.8367919921875,252.6024169921875,329.9158630371094
30,26,G7(#9),G,50.0,500.2309265136719,354.078857421875,1124.5184326171875,633.9371948242188,817.6116333007812,3635.8056640625,1335.1700439453125,1707.2550048828125,421.0439453125,542.1016235351562,2003.85400390625,2156.96923828125
31,27,Cmin9,C,52.0,4903.171875,2084.502685546875,9335.9345703125,10536.3369140625,2866.524658203125,921.2001953125,887.8226928710938,4305.033203125,922.6300659179688,1153.9100341796875,5335.212890625,2150.701904296875
32,29,Abmaj7,Ab,56.0,1711.4737548828125,452.9886474609375,705.2520141601562,2652.266845703125,861.5819702148438,210.60414123535156,343.9076843261719,1868.98046875,1742.41748046875,334.5766906738281,170.44520568847656,507.2216491699219
33,30,Dmin7(b5),D,58.0,630.1784057617188,244.04295349121094,555.3736572265625,169.70106506347656,291.9140930175781,1047.6512451171875,266.7132568359375,66.95853424072266,88.5794448852539,415.5066833496094,89.0142593383789,110.96514129638672
34,30,G7(#9),G,59.0,206.17872619628906,140.38966369628906,413.3076477050781,214.98223876953125,270.919189453125,1008.1923217773438,424.7196044921875,492.1611633300781,153.84226989746094,215.276123046875,598.4382934570312,628.8408203125
35,31,Cmin7,C,60.0,2929.8310546875,756.183837890625,1926.8492431640625,6345.14794921875,2102.995849609375,1779.42919921875,764.392333984375,3028.169677734375,605.2704467773438,676.4869995117188,3515.49609375,1715.08154296875
