,Measure,Cissy Strut III,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,C,C,2.0,2269.273193359375,354.6378479003906,34.05992126464844,36.913230895996094,86.55056762695312,32.48701095581055,83.46842956542969,324.71514892578125,79.6014404296875,127.57804107666016,63.904327392578125,328.6393127441406
1,3,Bb,Bb,4.0,943.109619140625,206.4118194580078,166.67210388183594,310.5724182128906,1132.4903564453125,507.147705078125,178.34039306640625,588.3297119140625,144.57728576660156,127.40048217773438,70.60979461669922,243.1395263671875
2,3,F,F,5.0,145.8600616455078,33.31773376464844,21.23171043395996,42.5096549987793,182.40174865722656,135.5939178466797,30.835790634155273,51.034759521484375,15.893852233886719,79.27204895019531,458.6679382324219,105.14035034179688
3,4,C,C,6.0,2738.305419921875,506.8221435546875,491.1827392578125,247.98779296875,492.7890930175781,554.603515625,850.33203125,5475.15478515625,1026.4351806640625,549.4229125976562,2976.160888671875,887.927734375
4,6,C9,C,10.0,4239.875,1016.6299438476562,1767.7479248046875,2749.4443359375,2119.821533203125,2081.720947265625,2833.625,17509.61328125,3369.490966796875,6616.43603515625,43185.13671875,7016.548828125
