,Measure,Sunny,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Amin7,A,0.0,527.3698120117188,132.14088439941406,91.71710968017578,244.4407501220703,1036.2247314453125,188.3975067138672,125.40573120117188,497.2335205078125,270.81597900390625,556.7113647460938,148.64854431152344,221.04588317871094
1,1,Abmin7,Ab,1.0,86.4864501953125,21.409669876098633,8.22830867767334,42.869903564453125,163.3028564453125,32.024166107177734,13.795024871826172,43.28303909301758,19.346546173095703,11.471098899841309,3.3804819583892822,23.3798828125
2,2,Gmin7,G,2.0,116.5555648803711,125.76799774169922,420.5605773925781,426.1843566894531,314.7600402832031,934.892333984375,744.8712768554688,600.4653930664062,216.9097442626953,241.96315002441406,639.1383056640625,309.07232666015625
3,2,C7,C,3.0,526.81884765625,174.60804748535156,266.9505615234375,372.3924865722656,1181.607421875,452.6153564453125,288.7693786621094,1463.8448486328125,472.8192443847656,1265.708984375,742.1467895507812,323.19989013671875
4,3,Fmaj7,F,4.0,5638.62744140625,955.7815551757812,355.1593933105469,808.8272094726562,3458.80859375,2034.8958740234375,484.7857666015625,535.8364868164062,658.7259521484375,1879.4637451171875,535.6932983398438,1021.8045043945312
5,4,F,F,6.0,331.631103515625,217.3733673095703,289.2054748535156,178.47509765625,248.112060546875,521.3284301757812,625.8919067382812,155.9311065673828,163.53428649902344,790.6132202148438,205.99510192871094,283.4038391113281
6,4,Bmin7,B,6.666666666666668,108.914306640625,28.850730895996094,72.49696350097656,23.738052368164062,40.10988235473633,171.0491943359375,127.43157196044922,27.46021842956543,24.59161376953125,140.57791137695312,35.14730453491211,70.92127990722656
7,4,E7,E,7.333333333333332,25.458303451538086,9.077919960021973,24.643190383911133,22.184106826782227,37.17306137084961,56.28574752807617,48.86207962036133,15.44089126586914,17.490619659423828,25.05482292175293,9.882645606994629,28.4914608001709
8,5,Amin7,A,8.0,1323.8626708984375,410.7989196777344,685.5973510742188,398.949951171875,1115.2923583984375,255.28497314453125,156.77366638183594,541.5424194335938,362.5013427734375,726.2394409179688,213.213134765625,572.8723754882812
9,5,Abmin7,Ab,9.0,147.80198669433594,30.640426635742188,21.311063766479492,40.13448715209961,162.5233154296875,46.81525802612305,22.960084915161133,49.013545989990234,32.080745697021484,43.013919830322266,10.738919258117676,41.68827438354492
10,6,Gmin7,G,10.0,137.44094848632812,126.153076171875,412.3936462402344,424.4797668457031,319.6108703613281,945.5361328125,741.8204956054688,600.2210083007812,216.86865234375,240.8438720703125,632.20263671875,324.7667236328125
11,6,C7,C,11.0,490.3579406738281,156.7103729248047,196.3939208984375,345.5815124511719,1161.1221923828125,435.8945617675781,163.82859802246094,571.2677001953125,312.9491882324219,1257.6536865234375,738.9004516601562,304.5557556152344
12,7,Fmaj7,F,12.0,5909.36572265625,1125.9500732421875,1243.8634033203125,899.6317749023438,3407.262939453125,2026.6572265625,494.8791198730469,588.3875122070312,678.57177734375,1908.15234375,544.9351196289062,1070.7154541015625
13,8,F,F,14.0,342.1153869628906,250.28660583496094,441.4814758300781,224.7567901611328,319.1202697753906,531.2222900390625,636.4054565429688,161.6847381591797,175.1178436279297,757.7937622070312,199.7686309814453,289.6404724121094
14,8,Bmin7,B,14.666666666666664,105.2244644165039,28.771270751953125,64.3058853149414,22.328468322753906,43.58781814575195,169.77467346191406,127.70376586914062,28.42936134338379,25.214948654174805,140.61668395996094,35.016536712646484,69.19527435302734
15,8,E7,E,15.333333333333336,82.5084457397461,45.04908752441406,164.80905151367188,67.51580047607422,304.6937561035156,101.16565704345703,59.54367446899414,35.51615524291992,71.56616973876953,47.33987045288086,50.42787170410156,239.7578887939453
16,9,Amin7,A,16.0,4753.48876953125,1083.2318115234375,2494.652099609375,1021.44580078125,3211.255859375,730.6359252929688,416.0076599121094,1637.2840576171875,910.9865112304688,2363.781005859375,540.9376220703125,1380.05029296875
17,10,C7,C,18.0,2282.4296875,658.553466796875,1513.8507080078125,948.8571166992188,3897.034423828125,707.5353393554688,403.370849609375,1567.9512939453125,473.6168518066406,393.6758117675781,1756.2940673828125,922.2788696289062
18,11,Fmaj7,F,20.0,1986.9178466796875,739.8386840820312,2672.597412109375,1116.0748291015625,3797.997314453125,1861.7198486328125,393.0925598144531,388.1754455566406,641.07666015625,1716.349609375,404.0285339355469,580.4880981445312
19,12,Bb7,Bb,22.0,311.3982238769531,338.0715637207031,1652.4405517578125,496.015380859375,761.5050659179688,3122.990478515625,1175.3548583984375,3349.336181640625,1893.9949951171875,871.5894165039062,1933.90478515625,392.2315673828125
20,13,Bmin7,B,24.0,3174.059326171875,1006.734130859375,2367.3154296875,841.5099487304688,355.9969482421875,875.6261596679688,4122.146484375,755.5695190429688,312.5712585449219,1297.7032470703125,628.7199096679688,2265.2138671875
21,14,E7(#9),E,26.0,557.9188842773438,964.0807495117188,4864.3896484375,1894.4735107421875,1550.6217041015625,477.4479675292969,795.7673950195312,2016.8388671875,1905.6263427734375,628.9133911132812,570.8009033203125,2327.279541015625
22,15,Amin7,A,28.0,1751.2886962890625,439.8728942871094,494.2795715332031,722.398681640625,3262.453857421875,615.5210571289062,385.4160461425781,1755.4779052734375,937.8445434570312,2698.75146484375,508.77392578125,609.9202270507812
23,16,E7(#9),E,30.0,988.89794921875,945.219970703125,4283.0029296875,2842.336669921875,2931.3271484375,739.17529296875,1377.6181640625,3839.3837890625,3415.8291015625,1002.7088012695312,1002.8676147460938,4283.375
