,Measure,BlessedBlackness,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,1681.2939453125,411.4452209472656,819.8145141601562,3178.849365234375,1004.247314453125,220.3638153076172,284.0154113769531,1482.5751953125,306.3299255371094,363.6031188964844,1939.060546875,724.0661010742188
1,2,Db,Db,2.0,490.4646301269531,1718.7191162109375,345.6194152832031,248.22381591796875,736.0079956054688,3818.021728515625,668.1171264648438,240.65093994140625,1241.010009765625,243.3186492919922,83.40399932861328,99.86478424072266
2,3,Cmin7,C,4.0,1689.9542236328125,466.8965759277344,825.848388671875,3226.330078125,1023.4524536132812,285.6460266113281,291.5934143066406,1481.513671875,319.1466369628906,365.4231262207031,1928.02099609375,735.8674926757812
3,4,F7,F,6.0,2022.81787109375,472.8912048339844,667.9186401367188,3257.3173828125,1680.26611328125,1322.8890380859375,298.60174560546875,389.9892883300781,522.4379272460938,1672.0496826171875,412.907958984375,469.6910400390625
4,5,Cmin7,C,8.0,1708.2435302734375,417.5272521972656,806.4119262695312,3129.322509765625,1012.240478515625,272.2737121582031,291.8260803222656,1501.1502685546875,308.2110290527344,366.4499816894531,1933.0413818359375,726.9931640625
5,6,Db,Db,10.0,484.206298828125,1714.9859619140625,345.8116455078125,247.0865020751953,730.7164916992188,3797.904296875,664.958251953125,240.69232177734375,1238.56689453125,243.260986328125,83.50870513916016,99.3396224975586
6,7,Cmin7,C,12.0,1692.5037841796875,467.262451171875,826.6980590820312,3227.6455078125,1024.4564208984375,288.2626037597656,291.7505187988281,1479.8309326171875,318.73614501953125,365.240966796875,1928.1337890625,737.0130004882812
7,8,Bb,Bb,14.0,40.30466079711914,62.346527099609375,193.8404998779297,132.8522491455078,90.99988555908203,279.5545654296875,72.89288330078125,23.8466854095459,25.735061645507812,95.05733489990234,184.61671447753906,37.7375602722168
8,9,Cmin7,C,16.0,1697.7998046875,424.0127258300781,931.8430786132812,3259.30859375,1087.2493896484375,435.2933349609375,319.1216735839844,1472.9075927734375,323.97247314453125,372.2159423828125,1912.3377685546875,734.1515502929688
9,10,Db,Db,18.0,493.9009094238281,1714.5592041015625,362.5517578125,255.64759826660156,741.8917846679688,3846.8662109375,673.6820678710938,240.58111572265625,1239.7144775390625,243.1718292236328,85.10539245605469,100.8750991821289
10,11,Cmin7,C,20.0,1976.5054931640625,514.4660034179688,804.42529296875,3229.146728515625,1033.7708740234375,288.86260986328125,293.1914978027344,1491.0687255859375,318.1905212402344,372.7007141113281,1939.3076171875,773.5917358398438
11,12,F7,F,22.0,2025.8712158203125,475.8767395019531,679.9483642578125,3258.213134765625,1695.3402099609375,1334.212646484375,342.1655578613281,760.2705688476562,619.51513671875,1681.0697021484375,413.5259094238281,478.3741455078125
12,13,Cmin7,C,24.0,1710.5765380859375,418.7398986816406,812.3789672851562,3130.165283203125,1011.4435424804688,271.8806457519531,292.4600830078125,1501.80322265625,308.8390197753906,369.7951354980469,1939.0927734375,745.3759765625
13,14,Db,Db,26.0,485.4917297363281,1713.59130859375,346.1727294921875,251.5645294189453,782.2521362304688,3811.567138671875,664.91162109375,240.2689666748047,1240.0218505859375,244.37432861328125,84.16883087158203,100.67166137695312
14,15,Cmin7,C,28.0,1971.7691650390625,514.5679931640625,814.5906372070312,3232.138427734375,1034.6329345703125,289.1755676269531,292.5489196777344,1490.39697265625,318.6887512207031,370.4035949707031,1932.73681640625,772.3128051757812
15,16,Bb,Bb,30.0,147.02088928222656,389.741943359375,1993.5313720703125,510.0791931152344,658.401123046875,2930.32421875,649.7725219726562,86.55148315429688,142.73451232910156,699.7128295898438,1813.75732421875,306.1966247558594
16,17,Bb,Bb,32.0,140.4668426513672,380.3356628417969,1890.4072265625,437.1033630371094,602.1195068359375,2840.640380859375,659.5791015625,80.92723083496094,144.31912231445312,711.3644409179688,1875.71923828125,312.7048645019531
17,18,Eb,Eb,34.0,117.06259155273438,172.23448181152344,766.9335327148438,3102.878662109375,626.3140869140625,234.3345947265625,339.5167541503906,1971.68603515625,406.9361877441406,343.9033508300781,1892.92919921875,413.6214599609375
18,19,Cmin7,C,36.0,1687.9237060546875,413.504638671875,835.1660766601562,3171.957763671875,1445.3416748046875,367.2580871582031,301.2142639160156,1528.9248046875,372.5810241699219,384.94677734375,1928.04052734375,748.3956909179688
19,20,Eb,Eb,38.0,128.7969512939453,167.08636474609375,776.3982543945312,3046.64453125,612.0768432617188,171.5048828125,341.8062438964844,2054.185791015625,462.482177734375,593.63134765625,2003.0538330078125,424.1482238769531
20,21,Cmin7,C,40.0,1692.8175048828125,410.7345275878906,844.6494750976562,3177.310302734375,1437.0372314453125,336.6364440917969,296.7657165527344,1545.0498046875,377.6777648925781,385.4533386230469,1936.0894775390625,753.2776489257812
21,22,Eb,Eb,42.0,125.57434844970703,160.661376953125,752.5073852539062,3044.760498046875,599.1622924804688,158.4272918701172,332.8083801269531,1998.7137451171875,410.5966491699219,340.58441162109375,1897.4625244140625,413.6800842285156
22,23,Cmin7,C,44.0,1692.59912109375,407.5107727050781,830.397705078125,3172.180908203125,1432.1458740234375,327.4261779785156,292.8499450683594,1524.5863037109375,372.6581726074219,384.7828369140625,1939.6142578125,753.910400390625
23,24,Eb,Eb,46.0,118.5204849243164,151.8126220703125,724.9494018554688,3022.358154296875,633.4756469726562,159.9457244873047,266.9432678222656,1526.0152587890625,291.7836608886719,332.541748046875,1902.7103271484375,400.4074401855469
24,25,Bb,Bb,48.0,138.68516540527344,383.9573669433594,1990.5057373046875,505.6934814453125,646.409912109375,2899.453369140625,646.8523559570312,90.9123764038086,140.97674560546875,700.3576049804688,1815.2852783203125,305.27215576171875
25,26,Cmin7,C,50.0,1690.1700439453125,412.1145324707031,815.971923828125,3230.15234375,1059.2012939453125,297.16021728515625,293.2530517578125,1484.72412109375,315.1388854980469,373.1974792480469,1924.66845703125,741.8153686523438
26,27,Db,Db,52.0,490.2218322753906,1721.7108154296875,371.4267578125,251.52870178222656,741.108154296875,3816.763427734375,668.0447387695312,241.51654052734375,1242.796630859375,244.8478546142578,85.10083770751953,100.38021850585938
27,28,Cmin7,C,54.0,1976.6019287109375,518.1563720703125,834.183837890625,3234.849365234375,1032.7740478515625,287.4579162597656,292.8061218261719,1492.0787353515625,318.5660400390625,372.5500793457031,1944.2303466796875,772.5707397460938
28,29,F7,F,56.0,2024.4407958984375,475.840576171875,685.3154907226562,3259.597900390625,1695.4246826171875,1334.3101806640625,341.760498046875,760.3242797851562,618.4636840820312,1675.3717041015625,413.2139892578125,479.4431457519531
29,30,Cmin7,C,58.0,1710.1651611328125,418.0206604003906,804.4917602539062,3128.311279296875,1011.911865234375,271.6140441894531,292.1964416503906,1501.7130126953125,308.8834228515625,369.6471252441406,1936.2568359375,745.5403442382812
30,31,Db,Db,60.0,485.0504150390625,1714.59912109375,348.21923828125,251.72796630859375,782.4234008789062,3808.998779296875,664.4981079101562,240.34349060058594,1240.1551513671875,244.2472686767578,84.01392364501953,100.48973846435547
31,32,Cmin6,C,62.0,2017.1236572265625,630.9763793945312,771.841064453125,3229.186279296875,977.5034790039062,270.2242126464844,323.89544677734375,1523.3380126953125,440.9707946777344,1371.8133544921875,347.3894348144531,568.329833984375
32,33,Bb,Bb,64.0,268.5035095214844,720.8955078125,3733.0791015625,935.308837890625,1209.5687255859375,5726.96826171875,1192.65234375,149.45411682128906,239.35008239746094,1243.48291015625,3548.787353515625,568.2879028320312
