,Measure,Outro,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
22,6,D,D,11.2,16.092926025390625,28.795042037963867,122.2315444946289,352.6755065917969,200.3356475830078,89.93301391601562,27.928634643554688,64.04842376708984,32.13275146484375,32.393131256103516,90.81961059570312,37.312644958496094
23,6,Db,Db,11.6,100.5431900024414,320.0624084472656,161.87295532226562,121.36740112304688,96.28751373291016,205.72979736328125,187.9025115966797,68.73375701904297,60.3137321472168,50.80741500854492,41.506954193115234,44.67893600463867
24,7,C,C,12.0,907.1058959960938,387.4415588378906,175.49143981933594,265.8251953125,692.9996948242188,321.1825256347656,230.88136291503906,338.9537353515625,138.41903686523438,100.69945526123047,70.73949432373047,227.78355407714844
25,7,Bb,Bb,12.666666666666664,288.3341979980469,89.2911605834961,37.44430923461914,99.7306900024414,226.73004150390625,92.12481689453125,57.2669677734375,109.60820770263672,32.82950973510742,12.805678367614746,13.355708122253418,66.51121520996094
26,7,A,A,13.333333333333336,119.55209350585938,76.91497802734375,151.28184509277344,77.4736099243164,195.0579071044922,237.4290008544922,49.09904861450195,36.89554214477539,56.09206771850586,332.82135009765625,705.783203125,127.52930450439453
27,8,A,A,14.0,640.9620971679688,1971.8880615234375,718.1444702148438,661.741943359375,2300.2138671875,1223.965087890625,226.82762145996094,176.614501953125,790.7789916992188,2195.1865234375,440.97216796875,210.3531036376953
28,9,D,D,16.0,49.34832763671875,196.012451171875,578.5879516601562,150.22251892089844,250.43190002441406,308.62841796875,413.59033203125,129.8961639404297,42.664371490478516,121.54402923583984,34.48861312866211,30.186065673828125
29,9,D#,D#,16.5,29.545867919921875,76.62672424316406,280.2441711425781,884.5108032226562,336.3746032714844,160.00650024414062,134.25701904296875,115.5478515625,34.76883316040039,74.49616241455078,150.58360290527344,45.1098747253418
30,9,E,E,17.0,39.59187698364258,19.57993507385254,39.33707809448242,245.7238006591797,431.5961608886719,94.72203826904297,60.8489990234375,77.81765747070312,118.2997817993164,38.818580627441406,76.13677215576172,141.7054443359375
31,9,F,F,17.5,121.6612548828125,35.813106536865234,27.782602310180664,119.31729888916016,208.5965118408203,362.4140930175781,90.39762115478516,40.91945266723633,46.01693344116211,111.95367431640625,40.77538299560547,81.33126068115234
32,10,F,F,18.0,2375.150146484375,520.2393798828125,246.74066162109375,701.102783203125,1768.0714111328125,5297.4990234375,885.0410766601562,201.0746612548828,327.3346252441406,1350.1719970703125,277.3740539550781,456.9592590332031
33,11,G,G,20.0,1248.843994140625,695.1979370117188,2757.2109375,577.2640991210938,370.9020690917969,548.1376953125,1431.8223876953125,6049.22119140625,924.6474609375,389.4993591308594,463.1653137207031,2572.6171875
34,12,G,G,22.0,1941.95751953125,2745.6357421875,12580.2744140625,2522.301025390625,834.3069458007812,1508.02294921875,6426.35986328125,18102.263671875,3699.924560546875,1184.1197509765625,1643.91552734375,8212.021484375
