,Measure,PIWYWIPT,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C7,C,0.0,7231.87060546875,1834.3880615234375,2392.427978515625,2712.779052734375,4120.55517578125,7562.14404296875,8477.2333984375,5090.314453125,3062.735107421875,1902.658203125,5056.13525390625,2696.577392578125
1,3,C7,C,4.0,32653.208984375,7250.203125,8111.72900390625,12054.6630859375,29860.685546875,22806.517578125,23310.861328125,26820.087890625,10749.787109375,7037.74267578125,18886.9140625,12262.1650390625
