,Measure,Black Ice,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,B7,B,0.0,40.99186325073242,38.64162063598633,147.78207397460938,97.70653533935547,319.1371765136719,127.34722137451172,327.4593811035156,1695.2491455078125,528.6007690429688,1369.8126220703125,1039.3736572265625,252.53753662109375
1,2,Emin9,E,2.0,92.75042724609375,75.26026153564453,201.08799743652344,417.5743103027344,204.52215576171875,163.045166015625,691.5087890625,281.582275390625,74.11093139648438,97.82044219970703,96.0771713256836,307.9930725097656
2,2,Fmaj7,F,3.0,262.43682861328125,88.82996368408203,120.3751220703125,150.0558319091797,463.6371154785156,254.76092529296875,241.124755859375,99.00597381591797,97.69957733154297,225.58323669433594,83.69068145751953,177.80372619628906
3,3,Emin7,E,4.0,211.8529052734375,95.52794647216797,318.30755615234375,199.6516571044922,491.6788635253906,193.19776916503906,68.1744613647461,186.62225341796875,62.234100341796875,61.740875244140625,53.99018859863281,266.3736877441406
4,3,A13,A,5.0,110.55823516845703,127.80770111083984,232.25205993652344,248.34303283691406,376.242431640625,218.4955291748047,579.56396484375,362.8349914550781,88.51184844970703,74.14139556884766,89.4556655883789,274.2798767089844
5,4,Emin7,E,6.0,105.29700469970703,77.18553924560547,327.4662170410156,227.47718811035156,627.1939697265625,167.91087341308594,225.88720703125,242.5922088623047,70.027587890625,54.29771423339844,107.97229766845703,480.6410217285156
6,4,F6,F,7.0,246.67889404296875,107.7020034790039,323.3393859863281,144.2373809814453,355.357666015625,452.9139099121094,99.35513305664062,80.64691162109375,65.66720581054688,205.5284881591797,69.06922149658203,172.0026397705078
7,5,Emin7,E,8.0,141.2450408935547,75.84081268310547,315.3371276855469,170.48829650878906,456.4941101074219,289.8789367675781,108.7476577758789,183.3827667236328,55.322994232177734,62.02193832397461,50.82932662963867,207.7847442626953
8,5,A13,A,9.0,129.78854370117188,124.64447784423828,200.46360778808594,244.75282287597656,353.6455078125,248.3201904296875,614.8193969726562,374.0627136230469,89.24102783203125,77.20093536376953,84.69214630126953,266.5307312011719
9,6,A13,A,10.0,556.7196655273438,766.5512084960938,1177.51171875,1130.4466552734375,1838.1820068359375,1202.6727294921875,3929.071533203125,1855.93115234375,437.9058532714844,467.4725036621094,531.4060668945312,1877.1365966796875
10,7,Emin7,E,12.0,69.18270111083984,85.06810760498047,332.5123291015625,163.22300720214844,490.4190673828125,130.67869567871094,71.28376007080078,194.3868408203125,225.36451721191406,1278.0179443359375,754.320556640625,337.4833679199219
11,7,F7,F,13.0,240.7143096923828,94.29193115234375,219.24021911621094,477.40283203125,526.7062377929688,212.4122314453125,63.28606033325195,109.50680541992188,146.4542694091797,527.5850219726562,116.69964599609375,113.7308120727539
12,8,Emin7,E,14.0,199.96888732910156,89.4291763305664,346.1498718261719,403.7013854980469,478.4653015136719,171.45310974121094,70.96630096435547,194.7928466796875,61.02175521850586,66.67464447021484,58.66499710083008,254.196533203125
13,8,A13,A,15.0,182.92706298828125,71.5018539428711,214.498291015625,190.4671173095703,334.2015686035156,140.65943908691406,153.6448516845703,119.21725463867188,42.31093978881836,50.13401794433594,157.52772521972656,921.8356323242188
14,9,Emin7,E,16.0,118.47991180419922,131.34544372558594,517.9188232421875,230.14849853515625,471.7032775878906,148.49029541015625,324.2159423828125,527.4589233398438,269.7170104980469,1087.2906494140625,275.7272033691406,520.5535888671875
15,9,Fmaj7,F,17.0,407.498291015625,101.2773666381836,114.88811492919922,158.01185607910156,586.561767578125,279.83062744140625,103.845703125,199.74208068847656,117.6266098022461,275.2255554199219,86.67021942138672,219.11769104003906
16,10,Emin9,E,18.0,175.22059631347656,93.64197540283203,182.0017852783203,206.96636962890625,280.4604797363281,195.9363250732422,534.5789184570312,252.17591857910156,62.0577278137207,56.85317611694336,90.8599624633789,289.85723876953125
17,10,A13,A,19.0,37.024574279785156,20.115636825561523,64.60083770751953,38.68218231201172,93.22757720947266,83.29546356201172,176.80169677734375,50.501739501953125,11.641193389892578,10.019740104675293,34.97042465209961,148.08558654785156
18,11,Emin9,E,20.0,187.80535888671875,247.8658905029297,333.6643371582031,354.0608215332031,533.641845703125,349.9459533691406,972.2671508789062,482.8468933105469,382.9896545410156,1691.892578125,940.0961303710938,625.98583984375
19,11,Fmaj7,F,21.0,266.6642150878906,90.57552337646484,109.88180541992188,135.95144653320312,519.8545532226562,279.0136413574219,242.9257354736328,115.53813934326172,152.14976501464844,520.0784301757812,128.77407836914062,184.22047424316406
