,Measure,Summertime,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Amin7,A,2.0,169.79640197753906,41.285072326660156,16.91683006286621,113.50432586669922,549.9462280273438,94.2756576538086,27.866418838500977,126.5915298461914,37.29306411743164,29.363431930541992,7.03944206237793,43.427120208740234
1,3,Bb7,Bb,4.0,135.04940795898438,116.44310760498047,563.6054077148438,150.59136962890625,465.349365234375,820.2167358398438,159.89694213867188,70.01411437988281,144.4673309326172,235.5498046875,85.456298828125,55.10702896118164
2,4,Amin7,A,6.0,192.31549072265625,128.00506591796875,536.7041015625,321.1241760253906,822.207275390625,172.3494110107422,101.13973999023438,149.71450805664062,475.5723571777344,172.04393005371094,112.0508041381836,549.4252319335938
3,4,E7,E,7.0,514.5962524414062,131.4514617919922,96.45046997070312,216.7830352783203,869.953369140625,177.2470245361328,111.17525482177734,511.2688903808594,278.8868713378906,534.766845703125,135.50355529785156,202.134033203125
4,5,Amin7,A,8.0,232.4080810546875,571.1680908203125,163.48312377929688,226.39923095703125,841.0375366210938,256.8409118652344,130.979248046875,629.2487182617188,356.8606872558594,511.9012756347656,119.20159149169922,115.02951049804688
5,5,A7,A,9.0,650.1109008789062,385.3847351074219,965.9686889648438,215.05169677734375,447.2690734863281,1098.265625,288.8860778808594,107.12042999267578,111.68225860595703,527.39306640625,115.91146850585938,120.18111419677734
6,6,Dmin7,D,10.0,168.6936492919922,110.38143157958984,258.0484924316406,60.588314056396484,180.55372619628906,693.724609375,98.14238739013672,17.368776321411133,22.9814453125,80.80583190917969,15.776362419128418,28.057710647583008
7,7,F7,F,12.0,820.413818359375,181.2176513671875,165.53370666503906,721.7969360351562,374.2738342285156,296.8060607910156,66.48678588867188,254.22898864746094,482.5302734375,2760.345458984375,416.4820251464844,144.20469665527344
8,8,F#min7,F#,14.0,137.86691284179688,201.1372528076172,221.96107482910156,1052.289794921875,352.6253356933594,305.4744873046875,1241.9393310546875,227.02513122558594,94.80391693115234,441.8609924316406,237.8791961669922,546.638671875
9,8,B7,B,15.0,192.8198699951172,127.77679443359375,638.5935668945312,579.1755981445312,1025.4814453125,214.2457275390625,168.33119201660156,104.1463851928711,434.5544738769531,121.34790802001953,168.85690307617188,908.1525268554688
10,9,E7,E,16.0,69.64891815185547,57.3637580871582,110.6139144897461,250.66859436035156,850.5272827148438,185.8667449951172,67.03279876708984,28.917991638183594,119.87274169921875,44.839080810546875,57.167755126953125,294.3514404296875
11,10,Amin7,A,18.0,174.25164794921875,46.68202590942383,21.7420597076416,151.44297790527344,561.6914672851562,99.1787338256836,51.440982818603516,128.4211883544922,43.73551940917969,37.678348541259766,10.513594627380371,60.91070556640625
12,11,Bb7,Bb,20.0,136.6252899169922,117.69631958007812,550.7227172851562,159.7436981201172,466.6094970703125,837.0817260742188,174.37904357910156,71.45272827148438,145.45191955566406,235.73370361328125,85.8896713256836,62.22481155395508
13,12,Amin7,A,22.0,182.6798095703125,48.442264556884766,62.49930953979492,189.90631103515625,1085.4779052734375,237.96864318847656,79.96920013427734,160.90403747558594,129.61380004882812,143.2705841064453,30.498777389526367,93.75720977783203
14,13,D7,D,24.0,159.30995178222656,55.70027542114258,175.47265625,44.220455169677734,81.67298126220703,91.41407012939453,373.2386474609375,61.094146728515625,25.21147918701172,77.06212615966797,20.0419921875,35.976810455322266
15,14,C,C,26.0,498.7955017089844,143.5474395751953,90.918701171875,203.3957061767578,880.9501953125,183.96299743652344,126.44476318359375,666.6089477539062,427.7856140136719,1593.9039306640625,304.8088073730469,179.18310546875
16,14,Amin7,A,27.0,597.6074829101562,294.5491638183594,621.964599609375,182.93336486816406,509.8988037109375,383.779052734375,1185.6788330078125,292.1651916503906,134.51356506347656,459.1979064941406,101.38080596923828,121.74410247802734
17,15,D7,D,28.0,328.8688049316406,169.5908966064453,772.9288940429688,402.328857421875,1010.405029296875,207.51747131347656,181.96632385253906,196.8731689453125,473.815673828125,125.36145782470703,109.58147430419922,561.781494140625
18,15,E7,E,29.0,459.7337341308594,124.26226806640625,84.76583862304688,204.70420837402344,906.4522094726562,198.9447021484375,116.01040649414062,501.1854248046875,401.2728271484375,1481.49658203125,291.3248291015625,194.37815856933594
19,16,Amin7,A,30.0,48.876468658447266,12.644286155700684,12.517952919006348,38.54475402832031,156.58103942871094,35.727108001708984,19.12954330444336,48.66856002807617,37.00550079345703,138.3194580078125,19.86058235168457,20.08812141418457
20,16,D7,D,31.0,363.6824035644531,274.474365234375,709.9452514648438,269.4489440917969,121.03748321533203,253.9109649658203,1305.119384765625,245.3711395263672,96.0478744506836,371.6255798339844,177.71714782714844,583.69384765625
21,17,Bmin7,B,32.0,205.16932678222656,137.76219177246094,789.4791870117188,410.0719299316406,1079.7200927734375,230.92510986328125,174.31787109375,108.06452178955078,480.6523742675781,130.93812561035156,166.3692626953125,926.4901733398438
22,17,E7,E,33.0,116.05322265625,47.996826171875,157.36874389648438,246.8035430908203,1115.381103515625,181.70701599121094,117.96099090576172,49.65061950683594,152.20582580566406,55.00926208496094,103.3930892944336,537.782958984375
