,Measure,"Weasil, The",chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,C7(#9),C,2.0,2279.409912109375,360.8523864746094,58.783355712890625,224.3753204345703,1079.5361328125,146.82257080078125,54.15565872192383,174.4077911376953,45.75828552246094,46.81773376464844,199.32603454589844,384.1525573730469
1,4,C7(#9),C,6.0,426.973388671875,70.83679962158203,30.848114013671875,207.308837890625,1062.5484619140625,135.65370178222656,21.036447525024414,117.0824203491211,26.982812881469727,30.932706832885742,152.2554168701172,115.24805450439453
2,6,Eb7(#9),Eb,10.0,1959.6214599609375,740.5568237304688,354.8318786621094,566.8086547851562,147.3675079345703,206.29563903808594,580.528564453125,231.23805236816406,63.54435729980469,67.16455841064453,175.16932678222656,324.5973815917969
3,8,C7(#9),C,14.0,429.5585632324219,100.94693756103516,39.43980026245117,225.26458740234375,1068.7137451171875,142.29275512695312,59.79461669921875,126.6220474243164,30.248769760131836,33.77280044555664,156.1956787109375,118.14852905273438
4,10,D7(#9),D,18.0,184.74913024902344,341.8741149902344,1709.03125,350.7353820800781,188.14418029785156,532.8790893554688,591.0518798828125,419.6528015136719,184.54852294921875,227.73011779785156,108.1696548461914,71.41602325439453
5,11,E7(#9),E,20.0,822.0689086914062,181.7853546142578,209.6922149658203,202.9005584716797,882.0794067382812,4110.68408203125,754.7882690429688,129.5426788330078,110.96698760986328,222.5563507080078,822.5900268554688,528.2115478515625
6,12,C7(#9),C,22.0,162352.578125,29348.791015625,17339.990234375,10267.6474609375,41032.83984375,138219.484375,47986.65234375,183971.9375,51290.58984375,150412.078125,131347.296875,42449.47265625
