,Measure,ChainReaction,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bbmin7,Bb,0.0,225.52842712402344,834.1232299804688,184.1512451171875,92.22657012939453,234.8184051513672,938.6806030273438,180.2395477294922,98.93133544921875,554.9107666015625,274.8072204589844,599.834716796875,147.82339477539062
1,1,Db/Ab,Db,1.0,127.52725219726562,401.8813781738281,105.85983276367188,162.34588623046875,170.76466369628906,850.9476928710938,185.84217834472656,257.7828674316406,1503.3729248046875,327.2035827636719,147.02366638183594,47.035099029541016
2,2,Ebmin7,Eb,2.0,153.73008728027344,845.07373046875,379.0038757324219,922.5692749023438,233.9720001220703,477.7579040527344,1055.215087890625,239.0924530029297,73.82040405273438,118.80976104736328,548.203857421875,106.79959869384766
3,2,Fmin7,F,3.0,585.7809448242188,315.4059753417969,201.5643310546875,658.7927856445312,465.9354553222656,1240.368896484375,346.2578430175781,234.74853515625,902.0288696289062,219.71221923828125,91.34082794189453,132.6868896484375
4,3,Bbmin7,Bb,4.0,328.2507019042969,888.353759765625,207.5223388671875,206.3236541748047,273.8420104980469,964.3237915039062,208.9536895751953,112.89227294921875,557.1171264648438,292.81689453125,750.8109741210938,202.8605194091797
5,3,Db/Ab,Db,5.0,130.7373504638672,377.1510925292969,103.6264419555664,199.68983459472656,191.63902282714844,872.412109375,199.408935546875,267.61822509765625,1508.47998046875,329.8262023925781,172.5900115966797,52.50967025756836
6,4,Ebmin7,Eb,6.0,155.7838134765625,846.1132202148438,380.1506042480469,926.7439575195312,236.449951171875,490.6575012207031,1089.0772705078125,246.46466064453125,73.93305206298828,119.4515609741211,551.000732421875,107.60135650634766
7,4,Fmin7,F,7.0,585.8512573242188,315.1788024902344,201.62310791015625,658.5520629882812,467.3950500488281,1243.3018798828125,347.2039489746094,234.86309814453125,902.141845703125,219.7032470703125,91.36882781982422,132.91482543945312
8,5,Bbmin7,Bb,8.0,141.97157287597656,229.10557556152344,114.57756805419922,248.88426208496094,366.1842346191406,1552.8887939453125,279.2184143066406,66.20552825927734,217.85462951660156,166.50845336914062,372.7001647949219,99.69939422607422
9,5,Db/Ab,Db,9.0,169.1555938720703,537.7061157226562,250.74761962890625,455.8779296875,292.3874816894531,1240.228271484375,241.0289764404297,240.0825958251953,723.5432739257812,192.3783416748047,135.19285583496094,63.19677734375
10,6,Ebmin7,Eb,10.0,146.0542449951172,587.1343383789062,426.2825012207031,1044.8021240234375,280.732421875,628.4204711914062,1143.5980224609375,263.5003967285156,146.8798828125,361.4054260253906,2090.7470703125,317.8257751464844
11,6,Fmin7,F,11.0,475.1280822753906,504.1134948730469,260.485595703125,709.468505859375,430.6004333496094,685.1577758789062,260.1556091308594,224.83155822753906,334.1397399902344,174.71446228027344,473.2242431640625,222.52833557128906
12,7,Bbmin7,Bb,12.0,400.1156921386719,1042.0181884765625,259.1067810058594,277.9422302246094,308.7862854003906,994.301513671875,199.63731384277344,113.48883056640625,528.9798583984375,280.96722412109375,693.5829467773438,209.3943634033203
13,7,Db/Ab,Db,13.0,67.68840789794922,203.669921875,54.13670349121094,87.99063110351562,93.74584197998047,384.6560974121094,68.43749237060547,32.774864196777344,98.5775146484375,25.214643478393555,22.514848709106445,14.696067810058594
14,8,Ebmin7,Eb,14.0,121.83944702148438,683.8821411132812,343.2044982910156,864.2021484375,187.3527374267578,356.9714660644531,1087.6634521484375,204.33995056152344,68.7654037475586,126.39745330810547,701.3373413085938,126.20450592041016
