,Measure,ChainReaction,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
15,8,Fmin,F,15.0,220.9418487548828,50.9794807434082,36.04961395263672,192.7978057861328,104.83197784423828,394.0048828125,208.76710510253906,45.06037521362305,78.777099609375,21.244304656982422,53.96534729003906,52.88435363769531
16,9,Bbmin7,Bb,16.0,183.59898376464844,482.4379577636719,132.09251403808594,114.82552337646484,219.28955078125,848.0249633789062,178.6678466796875,145.4375457763672,804.6217651367188,308.12115478515625,607.8121948242188,151.2981414794922
17,9,Db/Ab,Db,17.0,274.5154113769531,907.0910034179688,260.1293029785156,205.39581298828125,263.7571716308594,1206.4488525390625,245.14768981933594,200.21714782714844,694.6704711914062,181.3140869140625,142.6764678955078,70.56758880615234
18,10,Ebmin7,Eb,18.0,126.08214569091797,514.0809936523438,310.0547180175781,951.7371215820312,231.96922302246094,555.1558837890625,1196.005859375,260.0230712890625,246.24806213378906,152.0402374267578,555.7933349609375,111.65911865234375
19,10,Fmin7,F,19.0,479.6595153808594,377.9631652832031,220.5298309326172,700.7261352539062,380.5221862792969,316.94757080078125,213.85496520996094,224.43125915527344,402.197265625,107.54508209228516,111.05164337158203,158.26467895507812
20,11,Bbmin7,Bb,20.0,368.2350769042969,950.1968383789062,272.2699890136719,278.3598937988281,308.5491027832031,974.2410278320312,192.5567626953125,155.857421875,783.3479614257812,314.4200134277344,555.9514770507812,168.11166381835938
21,11,Db/Ab,Db,21.0,270.31256103515625,902.9296875,260.8638610839844,209.34703063964844,277.8354187011719,1283.62939453125,262.0586242675781,206.9005126953125,694.3775024414062,181.87742614746094,148.17657470703125,71.18140411376953
22,12,Ebmin7,Eb,22.0,126.67650604248047,515.0939331054688,311.197509765625,951.9346313476562,231.4806365966797,553.1443481445312,1196.2464599609375,259.3337707519531,246.5218048095703,152.75741577148438,557.1787719726562,111.8871078491211
23,12,Fmin7,F,23.0,480.3744812011719,378.1871643066406,221.39202880859375,700.881103515625,377.1812438964844,322.13177490234375,214.76318359375,225.46836853027344,401.8645935058594,106.46187591552734,110.97686004638672,158.68955993652344
24,13,Ebmin7,Eb,24.0,233.828369140625,612.9972534179688,300.6803283691406,698.3009643554688,170.40072631835938,347.3395690917969,1141.9327392578125,256.5745544433594,223.11436462402344,178.25213623046875,772.7327270507812,162.46170043945312
25,13,Fmin7,F,25.0,641.4398803710938,389.3136901855469,294.5422668457031,985.337158203125,472.9714050292969,446.425048828125,271.6570739746094,280.0517883300781,634.9055786132812,163.61050415039062,151.26182556152344,227.4662322998047
26,14,Ebmin7,Eb,26.0,201.56634521484375,560.1813354492188,361.0661315917969,1157.110107421875,246.4550323486328,419.6278076171875,1087.2591552734375,261.6225280761719,137.21347045898438,184.14691162109375,806.3358764648438,151.2100830078125
27,14,Fmin7,F,27.0,631.34326171875,311.74017333984375,216.49195861816406,618.4511108398438,396.0325927734375,442.1326904296875,239.76026916503906,245.98631286621094,469.2604675292969,129.35438537597656,101.75958251953125,162.80714416503906
28,15,Gbmaj7,Gb,28.0,301.60845947265625,681.671630859375,170.1455078125,329.6518249511719,320.1980895996094,1217.693603515625,576.2777099609375,160.48422241210938,124.6173095703125,291.8301086425781,938.9863891601562,182.00404357910156
29,15,Fmin7,F,29.0,605.1072387695312,251.82554626464844,208.4668426513672,755.7208862304688,424.2499084472656,542.8338623046875,155.6082000732422,228.2836456298828,480.3334045410156,234.41062927246094,807.1990356445312,265.54144287109375
30,16,Ebmin7,Eb,30.0,207.84474182128906,580.6083374023438,356.1492004394531,1143.3768310546875,247.1759796142578,438.7845153808594,1053.1678466796875,250.5472412109375,140.17356872558594,179.5728759765625,771.011962890625,148.0423126220703
31,16,Fmin7,F,31.0,617.3790283203125,250.89581298828125,209.08714294433594,616.9871826171875,397.1374206542969,470.6333312988281,263.5068359375,253.49891662597656,465.9472351074219,128.78968811035156,105.46459197998047,165.60443115234375
32,17,Gbmaj7,Gb,32.0,156.3147735595703,315.3504943847656,83.1856918334961,156.3734588623047,161.83909606933594,559.9317626953125,252.68963623046875,85.08338165283203,65.53968048095703,162.167236328125,477.2147216796875,96.42047119140625
33,17,Fmin7,F,32.666666666666664,49.48036575317383,140.4967498779297,27.903810501098633,32.077903747558594,38.32146453857422,176.83897399902344,81.40160369873047,11.030159950256348,11.003604888916016,51.04081344604492,288.6372985839844,60.88433837890625
34,17,Bb7,Bb,33.333333333333336,163.38343811035156,61.631256103515625,73.19738006591797,222.00535583496094,136.08413696289062,150.65419006347656,76.17156982421875,98.1176986694336,120.8512191772461,67.96400451660156,115.67648315429688,59.23542785644531
35,18,Ebmin7,Eb,34.0,206.69085693359375,619.3706665039062,485.32470703125,1168.9805908203125,333.9195556640625,839.7609252929688,1130.7122802734375,269.47332763671875,148.78155517578125,240.59808349609375,928.594482421875,187.9362030029297
36,18,Fmin7,F,35.0,624.8165283203125,248.6769561767578,233.52874755859375,632.7976684570312,407.1251525878906,482.33544921875,249.2763214111328,248.444091796875,470.0787353515625,131.76219177246094,105.34375,168.63986206054688
37,19,Gbmaj7,Gb,36.0,300.9299621582031,688.7149047851562,178.12384033203125,328.1762390136719,317.7714538574219,1219.007568359375,578.0699462890625,161.0951385498047,124.96728515625,289.6288146972656,931.161865234375,181.32708740234375
38,19,Fmin7,F,37.0,605.1827392578125,250.38636779785156,210.87107849121094,757.6846313476562,423.3864440917969,543.545654296875,156.20709228515625,228.57562255859375,479.9356384277344,233.91888427734375,807.2319946289062,267.2265319824219
39,20,Ebmin7,Eb,38.0,207.65264892578125,581.3292846679688,365.1932373046875,1144.9658203125,247.14056396484375,439.9830017089844,1053.330810546875,250.32350158691406,140.0218048095703,180.14263916015625,771.3153686523438,148.24069213867188
40,20,Fmin7,F,39.0,377.1332092285156,202.51031494140625,120.53316497802734,517.8991088867188,237.29469299316406,270.8218078613281,210.37347412109375,124.11795806884766,334.5476379394531,99.29932403564453,79.6863021850586,94.65817260742188
41,21,Gbmaj7,Gb,40.0,194.8803253173828,655.9876098632812,196.8704376220703,242.2124481201172,259.24359130859375,1084.0213623046875,579.660888671875,138.54031372070312,130.20697021484375,304.7148132324219,932.028076171875,176.00389099121094
42,21,F7,F,41.0,428.6292419433594,225.9078369140625,135.50779724121094,608.6769409179688,338.2594299316406,589.6599731445312,170.61216735839844,73.3138656616211,73.6850357055664,231.2616729736328,81.8647232055664,83.0588607788086
43,22,F7sus(07),F,42.0,2138.89453125,439.8087158203125,251.6719207763672,752.0880737304688,1743.1630859375,1900.1512451171875,412.4407653808594,318.6493225097656,260.2906188964844,545.9652099609375,1980.1187744140625,811.6049194335938
44,23,Bbmin7,Bb,44.0,174.00990295410156,514.9688110351562,128.0050048828125,79.10538482666016,232.5648193359375,966.9033203125,184.7918243408203,91.12014770507812,444.3858947753906,241.83375549316406,588.1144409179688,140.6826934814453
45,23,Db/Ab,Db,45.0,151.12692260742188,501.4902038574219,171.74749755859375,173.5638427734375,246.88648986816406,1177.3056640625,215.1281280517578,151.51580810546875,504.4488220214844,118.8739242553711,32.194610595703125,37.193607330322266
46,24,Ebmin7,Eb,46.0,108.6883544921875,517.6998901367188,309.1481018066406,1012.197021484375,236.00579833984375,513.1433715820312,1060.0299072265625,201.9155731201172,68.04946899414062,108.5293960571289,557.405517578125,106.70645904541016
47,24,Fmin7,F,47.0,595.6842651367188,225.05577087402344,231.3732452392578,852.405029296875,431.8573303222656,468.681396484375,236.7648162841797,232.58070373535156,457.630126953125,125.50921630859375,98.73806762695312,171.5538787841797
48,25,Bbmin7,Bb,48.0,280.19085693359375,496.8770446777344,151.3567657470703,313.9316711425781,280.728271484375,1076.4056396484375,215.9650421142578,102.21097564697266,433.7552185058594,241.87884521484375,557.3150634765625,147.3256378173828
49,25,Db/Ab,Db,49.0,144.9062957763672,490.5281066894531,166.34437561035156,205.98411560058594,280.3844909667969,1237.76171875,215.87022399902344,146.8889923095703,506.6557922363281,121.22486114501953,31.629716873168945,37.88453674316406
50,26,Ebmin7,Eb,50.0,112.75737762451172,527.5308227539062,306.13836669921875,1002.2431030273438,234.0452117919922,519.2442016601562,1109.272216796875,211.0933074951172,66.96170806884766,106.80107879638672,551.9253540039062,105.6035385131836
51,26,Fmin7,F,51.0,596.3988647460938,226.5325469970703,231.87220764160156,850.7586059570312,431.4966735839844,467.9925537109375,230.5030059814453,231.3919677734375,458.42138671875,126.10189056396484,99.08350372314453,172.3177947998047
52,27,Ebmin7,Eb,52.0,216.40504455566406,651.3867797851562,374.7414855957031,1132.6480712890625,243.73728942871094,400.1671142578125,1061.7388916015625,246.79022216796875,80.60515594482422,143.3777618408203,588.8347778320312,120.8135986328125
53,27,Fmin7,F,53.0,624.5255126953125,274.3678283691406,212.73313903808594,618.6557006835938,387.6313171386719,402.6264953613281,239.28404235839844,249.0052947998047,485.1401672363281,129.66355895996094,97.97794342041016,162.0908660888672
54,28,Gbmaj7,Gb,54.0,303.6827087402344,688.1554565429688,170.5310516357422,327.9305725097656,315.3503723144531,1198.0294189453125,572.5204467773438,159.7371063232422,117.6034164428711,289.7885437011719,935.43994140625,181.7093963623047
55,28,Fmin7,F,55.0,605.2374877929688,251.94676208496094,208.44651794433594,755.0237426757812,424.2087707519531,543.7943725585938,155.537841796875,226.4025115966797,468.14697265625,232.6527862548828,807.3071899414062,265.5114440917969
56,29,Ebmin7,Eb,56.0,208.39564514160156,580.6344604492188,357.4183349609375,1143.42724609375,247.25958251953125,439.4501037597656,1053.0904541015625,250.0930633544922,139.95310974121094,179.51295471191406,770.1148071289062,148.04360961914062
57,29,Fmin7,F,57.0,26.06263542175293,123.46141815185547,52.65031814575195,193.57452392578125,37.26805114746094,52.07390213012695,140.248291015625,31.687021255493164,10.171069145202637,7.375709533691406,32.96841812133789,9.969561576843262
58,30,Gbmaj7,Gb,58.0,225.02601623535156,327.010498046875,124.08846282958984,183.67103576660156,155.91233825683594,549.2191772460938,321.0668640136719,74.21185302734375,81.33547973632812,173.5877685546875,456.8415222167969,99.44469451904297
59,30,Fmin7,F,58.66666666666666,58.38876724243164,143.09730529785156,40.78022003173828,57.74948501586914,60.6550178527832,194.8123321533203,65.29550170898438,14.887748718261719,10.788310050964355,52.25728225708008,286.6632995605469,61.36549758911133
60,30,Bb7,Bb,59.33333333333334,159.10487365722656,57.66181945800781,68.99124145507812,219.18511962890625,132.57708740234375,141.20826721191406,72.35102081298828,92.83951568603516,112.4935302734375,63.50972366333008,112.26446533203125,57.209228515625
61,31,Ebmin7,Eb,60.0,207.5438995361328,619.7227783203125,487.7043762207031,1175.271240234375,333.7657165527344,835.6826782226562,1126.8016357421875,270.7927551269531,146.9929962158203,239.51893615722656,926.4242553710938,187.27418518066406
62,31,Fmin7,F,61.0,624.8845825195312,248.6322784423828,233.46875,632.6953735351562,407.20556640625,482.3785705566406,249.1339874267578,248.5596923828125,471.3982238769531,131.95376586914062,105.39569854736328,168.71340942382812
63,32,Gbmaj7,Gb,62.0,300.9228515625,688.701416015625,178.1239471435547,328.1804504394531,317.7756652832031,1219.0130615234375,578.0722045898438,161.10939025878906,125.01500701904297,289.6315612792969,931.1689453125,181.32269287109375
64,32,Fmin7,F,63.0,605.1826782226562,250.388427734375,210.87062072753906,757.6825561523438,423.3840637207031,543.5433959960938,156.20823669433594,228.57550048828125,479.9263610839844,233.9178924560547,807.233642578125,267.2283630371094
65,33,Ebmin7,Eb,64.0,207.65252685546875,581.3307495117188,365.1932678222656,1144.9654541015625,247.1419677734375,439.9827880859375,1053.333740234375,250.3243408203125,140.0226593017578,180.1438751220703,771.318603515625,148.24107360839844
66,33,Fmin7,F,65.0,377.1318054199219,202.510498046875,120.53276824951172,517.8988037109375,237.29246520996094,270.8226623535156,210.3730926513672,124.11798095703125,334.5568542480469,99.30227661132812,79.68412780761719,94.6584243774414
67,34,Gbmaj7,Gb,66.0,194.87989807128906,655.9883422851562,196.87091064453125,242.21336364746094,259.2433166503906,1084.0191650390625,579.6629638671875,138.54025268554688,130.2088165283203,304.7148132324219,932.0291137695312,176.00376892089844
68,34,F7,F,67.0,428.626953125,225.90643310546875,135.50709533691406,608.6762084960938,338.25811767578125,589.6583251953125,170.6116943359375,73.31310272216797,73.6853256225586,231.26153564453125,81.8646469116211,83.05887603759766
69,35,F7sus(07),F,68.0,2138.899658203125,439.8100280761719,251.6710205078125,752.0901489257812,1743.1602783203125,1900.15087890625,412.4388427734375,318.64739990234375,260.2900085449219,545.9663696289062,1980.11865234375,811.6063842773438
70,36,Bbmin7,Bb,70.0,1396.8343505859375,5096.09765625,1079.3233642578125,652.1271362304688,1983.5322265625,10003.224609375,1672.8646240234375,632.9995727539062,3380.550537109375,1788.9373779296875,5341.533203125,993.0715942382812
71,38,Bbmin7,Bb,74.0,1874.5670166015625,6858.994140625,1528.4151611328125,1030.4691162109375,2512.961669921875,12545.4833984375,2157.432861328125,1453.73681640625,8834.6005859375,4235.48486328125,15047.3046875,2473.222412109375
