,Measure,Senor Blues 1,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Ebmin7,Eb,1.5,2397.214599609375,15934.12109375,3738.478271484375,7554.85693359375,1371.3565673828125,1386.5301513671875,3075.009521484375,1164.0743408203125,581.1886596679688,529.67578125,2231.04248046875,794.5526733398438
1,6,Ebmin7,Eb,7.5,709.776611328125,4771.46923828125,1129.8990478515625,2307.244873046875,406.2751770019531,324.7102355957031,1119.301513671875,355.2250061035156,154.92771911621094,97.90401458740234,447.1271667480469,213.0271759033203
2,8,Eb,Eb,10.5,329.4828186035156,1267.8385009765625,690.3637084960938,2672.542236328125,712.911376953125,841.9507446289062,1367.2425537109375,1310.088134765625,949.44873046875,4773.79638671875,6295.53125,900.719970703125
3,10,Ebmin7,Eb,13.5,517.7383422851562,3546.2158203125,674.4391479492188,812.5752563476562,152.08445739746094,209.4065704345703,915.6106567382812,236.66539001464844,180.0603485107422,104.6116943359375,259.39447021484375,103.19792938232422
4,12,Ebmin7,Eb,16.5,1480.6177978515625,7496.03857421875,1839.3656005859375,2634.691162109375,1234.8890380859375,2292.137451171875,3589.173095703125,1290.1265869140625,3005.95703125,12904.9150390625,17062.2890625,2486.561279296875
5,16,Ebmin7,Eb,22.5,288.6845397949219,1173.9449462890625,379.1885070800781,770.7241821289062,398.6880187988281,773.8510131835938,1199.7354736328125,344.682861328125,814.9509887695312,4739.68896484375,6222.95849609375,864.0278930664062
6,18,B9,B,25.5,1402.7882080078125,8627.8046875,1634.7723388671875,2201.277587890625,387.1977233886719,482.8792724609375,2227.614013671875,531.4730834960938,421.1380615234375,420.8516540527344,459.7260437011719,1139.5460205078125
7,22,Ebmin7,Eb,31.5,64.11168670654297,257.5531311035156,431.6592712402344,2083.614501953125,276.2974853515625,159.148193359375,918.299072265625,171.37010192871094,22.772903442382812,150.31602478027344,999.5835571289062,172.82469177246094
8,26,Bb7,Bb,37.5,40.01863098144531,115.06787872314453,256.6112060546875,69.10926818847656,185.17132568359375,1071.6246337890625,780.5302734375,131.5638885498047,170.33241271972656,908.7327270507812,5918.91455078125,843.412841796875
9,28,Ab13,Ab,40.5,434.51806640625,1803.0260009765625,484.9613952636719,542.0855712890625,593.5672607421875,1713.5540771484375,1636.17041015625,463.121337890625,994.0755004882812,4683.34521484375,5496.48876953125,797.2813110351562
10,30,Ebmin7,Eb,43.5,76.01412200927734,360.9870910644531,317.60076904296875,1308.8868408203125,208.4861602783203,272.3092956542969,642.7999877929688,131.6363983154297,101.15312957763672,110.9207992553711,663.5277709960938,104.38687133789062
11,33,Ebmin7,Eb,48.0,847.2267456054688,4316.865234375,3203.462890625,14238.7509765625,2921.5205078125,2452.083984375,6464.86181640625,2648.47216796875,4309.67529296875,5393.5927734375,30389.365234375,4626.79248046875
12,42,B9,B,61.5,177.33973693847656,255.9672088623047,412.3370361328125,2106.332275390625,280.6399841308594,146.2654571533203,919.9890747070312,192.50860595703125,71.8797378540039,274.9358215332031,213.65379333496094,905.4135131835938
13,46,Ebmin7,Eb,67.5,78.3268814086914,341.5364685058594,342.070068359375,1384.0118408203125,221.96490478515625,278.4983825683594,888.3604125976562,173.5851287841797,155.2061004638672,781.9437866210938,3175.271728515625,487.3275451660156
14,49,Bb7,Bb,72.0,40.30339431762695,117.992919921875,258.4235534667969,78.26090240478516,185.3931427001953,1064.4249267578125,737.7368774414062,125.99246978759766,169.04290771484375,945.3380737304688,6184.849609375,877.794921875
15,51,Ab13,Ab,75.0,436.4236755371094,1814.7398681640625,491.0173645019531,568.6656494140625,598.6389770507812,1717.22119140625,1659.0089111328125,466.7975769042969,992.9168090820312,4669.2509765625,5451.86767578125,791.40185546875
16,53,Ebmin7,Eb,78.0,158.47108459472656,764.909423828125,643.0020141601562,2708.788818359375,438.140380859375,622.3206176757812,1392.64208984375,272.1415100097656,224.16770935058594,240.8452606201172,1434.4652099609375,220.58154296875
