,Measure,IsYouIsOrIsYouAintMyBaby,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,5,Emin7,E,8.0,81.5564193725586,28.55474853515625,153.55401611328125,321.8903503417969,158.89451599121094,71.91280364990234,381.4853820800781,1226.4339599609375,216.28907775878906,72.15542602539062,177.37953186035156,332.3616027832031
1,5,Emin/D,E,9.0,44.90635299682617,29.088533401489258,137.1420135498047,146.73033142089844,316.5167236328125,81.70035552978516,195.93585205078125,1257.0455322265625,275.3290710449219,381.4562683105469,100.99124908447266,199.05262756347656
2,6,C7,C,10.0,54.788387298583984,26.24193572998047,48.19181442260742,88.6413803100586,324.2877502441406,73.40734100341797,118.4123306274414,700.00341796875,144.82183837890625,120.84757232666016,68.65928649902344,94.47357940673828
3,6,B7,B,11.0,214.48411560058594,122.84545135498047,268.17938232421875,1057.2113037109375,466.4614562988281,345.9353332519531,1201.2613525390625,446.3354187011719,142.58628845214844,639.7374877929688,1483.3018798828125,661.6900024414062
4,7,Emin7,E,12.0,45.10238265991211,18.683757781982422,78.12439727783203,232.6094970703125,138.7996368408203,45.99211120605469,154.2213897705078,60.28385543823242,16.84367561340332,41.313724517822266,46.50252914428711,118.69701385498047
5,7,Emin7/D,E,13.0,16.188663482666016,20.490427017211914,86.5908203125,77.78746032714844,260.65191650390625,52.73958969116211,24.530725479125977,83.75597381591797,40.52608108520508,97.41838836669922,32.65060043334961,48.94138717651367
6,8,C7,C,14.0,72.11148071289062,51.99557113647461,214.8289031982422,151.54989624023438,490.3614196777344,92.26360321044922,182.7223663330078,1121.235107421875,285.1317138671875,565.2077026367188,152.02932739257812,234.8978271484375
7,8,B7,B,15.0,184.88958740234375,40.919158935546875,51.837406158447266,125.0819320678711,267.97705078125,118.75432586669922,131.69273376464844,244.8438720703125,65.31922912597656,253.19276428222656,1458.14453125,292.8962097167969
8,9,A7,A,16.0,1476.0428466796875,4194.49951171875,1864.4998779296875,4659.96337890625,7100.86767578125,2049.2314453125,4078.006103515625,10689.0888671875,3024.303955078125,3892.5693359375,1304.042724609375,3285.058837890625
9,11,D7,D,20.0,970.4517211914062,435.9008483886719,1037.273193359375,343.851806640625,195.935546875,382.8926696777344,2175.732177734375,3074.267578125,582.2254028320312,623.2962036132812,221.40643310546875,491.9747314453125
10,12,B7,B,22.0,227.152099609375,165.64503479003906,342.0223693847656,1503.3614501953125,269.66900634765625,332.82586669921875,1726.0399169921875,321.13702392578125,131.7919158935547,690.2142944335938,338.8427429199219,785.6309204101562
11,13,Emin7,E,24.0,15.165047645568848,13.859917640686035,62.87369155883789,75.38778686523438,77.43502807617188,25.6489200592041,25.640504837036133,31.3113956451416,12.054509162902832,29.001693725585938,109.1990737915039,71.59905242919922
12,13,Emin7/D,E,25.0,24.57183074951172,37.45352554321289,165.39544677734375,105.71651458740234,306.8229064941406,78.64879608154297,186.34654235839844,1198.298095703125,270.64031982421875,439.0613708496094,85.9146499633789,97.26636505126953
13,14,C,C,26.0,47.134613037109375,50.1612548828125,211.1880645751953,95.48239135742188,311.0542907714844,68.0703353881836,99.68790435791016,666.4077758789062,135.7990264892578,139.67953491210938,40.848201751708984,72.9537353515625
14,14,B7,B,27.0,202.5928497314453,117.49427032470703,252.4325408935547,1037.4803466796875,464.4501037597656,330.75115966796875,1112.92578125,422.5353088378906,137.75340270996094,638.46923828125,1482.6690673828125,629.1775512695312
15,15,Emin7,E,28.0,43.53861618041992,18.81914520263672,76.06249237060547,234.70387268066406,139.01063537597656,45.041629791259766,150.074951171875,59.38157272338867,15.070602416992188,30.777616500854492,32.96187973022461,116.12569427490234
16,15,Emin7/D,E,29.0,15.798171043395996,15.963123321533203,61.555362701416016,74.19586944580078,260.736083984375,51.94612503051758,24.40399742126465,83.92996978759766,39.68721008300781,95.40558624267578,28.662748336791992,48.4582633972168
17,16,C7,C,30.0,71.95563507080078,51.815364837646484,213.48878479003906,151.2315216064453,489.197021484375,92.14593505859375,182.75732421875,1122.4503173828125,285.4324035644531,565.6774291992188,149.3863067626953,235.94908142089844
18,16,B7,B,31.0,223.45556640625,122.86334991455078,295.7165222167969,1069.5955810546875,455.1126403808594,338.0860595703125,1168.330322265625,436.4041748046875,141.6649627685547,649.2241821289062,1524.0947265625,783.2498168945312
19,17,A7,A,32.0,1425.9229736328125,4147.63916015625,1700.8988037109375,3692.439697265625,6915.146484375,1912.6307373046875,3303.872314453125,10610.392578125,2950.810791015625,3558.7421875,1206.4605712890625,3057.660400390625
20,19,D7,D,36.0,963.0707397460938,417.7712097167969,873.5835571289062,278.6408386230469,190.09458923339844,369.2022399902344,1820.228515625,351.8624267578125,143.4430694580078,614.559814453125,210.3816375732422,463.6546325683594
21,20,B7,B,38.0,229.3462677001953,166.3187255859375,342.239990234375,1500.3221435546875,270.0094909667969,332.0584716796875,1725.6884765625,321.0940856933594,131.3854522705078,690.0768432617188,341.2732849121094,786.545166015625
22,21,Emin7,E,40.0,20.18286895751953,15.0556058883667,63.26115798950195,77.70124053955078,76.28380584716797,20.555233001708984,37.65049362182617,36.2233772277832,11.932463645935059,13.451484680175781,18.070016860961914,84.01873779296875
23,21,B7/F#,B,41.0,34.305519104003906,26.99991798400879,77.08692169189453,82.29249572753906,255.3421630859375,73.97753143310547,119.20995330810547,115.59252166748047,35.74751663208008,45.005123138427734,41.11394500732422,176.2742156982422
24,22,Emin7/G,E,42.0,38.25008010864258,19.515920639038086,42.510555267333984,58.57905960083008,110.8528060913086,64.01427459716797,201.87721252441406,60.95466232299805,20.300731658935547,54.775997161865234,48.108489990234375,174.4981231689453
25,22,B7/F#,B,43.0,40.4311637878418,33.599857330322266,90.18478393554688,78.67481231689453,257.25146484375,80.40364074707031,137.48776245117188,85.21666717529297,31.12714385986328,45.64333724975586,55.15383529663086,233.46067810058594
26,23,Emin7,E,44.0,264.2887268066406,260.8329772949219,1452.4468994140625,595.6636962890625,1675.2218017578125,444.7694091796875,1173.8004150390625,3788.782958984375,784.7182006835938,955.252685546875,350.677978515625,1295.9876708984375
27,24,A#13,A#,46.0,27.16368865966797,37.95854568481445,125.5024642944336,83.812744140625,296.48577880859375,71.54163360595703,187.49024963378906,680.9507446289062,156.53302001953125,24.95569610595703,22.88469886779785,107.94898223876953
28,25,A7,A,48.0,1700.6824951171875,1231.374755859375,875.1924438476562,2157.263427734375,2429.929443359375,1596.5540771484375,807.109130859375,1933.0921630859375,1680.79736328125,1188.5587158203125,475.2952880859375,806.099853515625
29,26,Amin7,A,50.0,61.420166015625,38.424930572509766,22.717924118041992,55.97999572753906,107.1801986694336,40.45181655883789,36.264034271240234,49.14216613769531,27.65729522705078,39.478424072265625,25.6763973236084,78.97894287109375
30,26,D7,D,51.0,208.9940185546875,58.046417236328125,53.649051666259766,78.70698547363281,248.92674255371094,78.12967681884766,114.472900390625,131.34376525878906,39.71159362792969,63.64028549194336,27.124174118041992,89.8953628540039
31,27,Gmaj6,G,52.0,415.3076477050781,321.7245788574219,1025.306640625,636.5452880859375,1640.50830078125,466.148193359375,1451.509765625,4162.53759765625,770.1923217773438,409.2795104980469,278.0528564453125,960.4070434570312
32,28,C7,C,54.0,48.139034271240234,20.46344566345215,32.824012756347656,43.643280029296875,114.79410552978516,28.61733055114746,25.133583068847656,37.345829010009766,12.008528709411621,13.465835571289062,42.85861587524414,57.58705520629883
33,28,B7,B,55.0,198.54637145996094,40.72615432739258,39.70880889892578,118.79196166992188,273.3022155761719,68.83556365966797,106.68334197998047,129.80239868164062,36.56544494628906,49.723819732666016,77.79280853271484,89.6555404663086
