,Measure,A Little Busy,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F7,F,0.0,2163.83154296875,473.324462890625,668.0953979492188,3284.221923828125,1663.4862060546875,1627.8475341796875,340.8418884277344,427.7542419433594,568.51171875,1784.3538818359375,436.9399719238281,477.9791564941406
1,2,F,F,2.0,126.34874725341797,39.96966552734375,19.78304672241211,55.78184509277344,105.22295379638672,333.15203857421875,71.1620864868164,27.543737411499023,27.52534294128418,117.56853485107422,34.86708068847656,29.773651123046875
2,2,Eb,Eb,2.5,90.6845474243164,44.947322845458984,95.99410247802734,239.10260009765625,79.67924499511719,122.7842025756836,55.91117477416992,136.0866241455078,35.38821029663086,60.89393997192383,141.89772033691406,50.82960891723633
3,2,D,D,3.0,44.342071533203125,89.48114776611328,336.588623046875,131.8427276611328,76.57444763183594,199.42274475097656,318.8396301269531,107.83658599853516,32.088375091552734,109.7822036743164,77.16466522216797,21.770986557006836
4,2,C,C,3.5,7653.47900390625,1521.8353271484375,1955.2725830078125,2214.830078125,5647.734375,1492.54248046875,1805.7314453125,2413.732177734375,620.2504272460938,710.6382446289062,396.5981750488281,1503.6961669921875
5,4,F7,F,6.0,71088.3984375,12332.6201171875,9983.0595703125,46744.5625,22186.365234375,20462.248046875,5195.82666015625,6117.38916015625,4994.62255859375,16747.578125,5177.86962890625,11730.6396484375
6,11,Eb,Eb,20.0,20.112802505493164,29.719497680664062,137.75306701660156,418.164306640625,95.29071044921875,25.477783203125,41.74695587158203,200.8094024658203,43.57803726196289,49.77336120605469,244.5949249267578,57.77653121948242
7,11,E,E,20.666666666666668,53.557281494140625,11.986739158630371,44.15987777709961,162.45947265625,394.4082946777344,84.01127624511719,26.042226791381836,75.6161117553711,171.9697723388672,68.93598175048828,88.73355102539062,226.8610076904297
8,11,F,F,21.33333333333333,174.49046325683594,51.733524322509766,42.222572326660156,93.13772583007812,131.79751586914062,239.2714385986328,49.342498779296875,18.029499053955078,38.87528610229492,78.96707916259766,32.001976013183594,63.57838439941406
9,12,Bb7(#9),Bb,22.0,2626.578125,10460.7412109375,8676.791015625,3257.229736328125,4208.27099609375,13848.29296875,2925.1357421875,2164.9638671875,11652.37890625,4579.71337890625,7919.75,1790.1845703125
10,15,Ab,Ab,28.0,236.654541015625,69.08036804199219,93.69115447998047,333.6858825683594,110.18824005126953,20.196426391601562,31.524450302124023,117.4286880493164,191.716796875,55.65449142456055,53.9439697265625,68.47105407714844
11,15,G,G,28.66666666666667,85.15153503417969,27.69023895263672,37.54642868041992,115.949951171875,26.195898056030273,2.8056704998016357,2.579501152038574,10.867743492126465,15.220526695251465,6.894594192504883,6.4648118019104,13.252498626708984
12,15,D,D,29.33333333333333,83.32837677001953,53.97740173339844,182.6721649169922,64.29615020751953,16.633407592773438,18.479068756103516,55.86637496948242,105.04019927978516,28.57309913635254,22.787744522094727,35.94175720214844,153.1955108642578
13,16,Eb9,Eb,30.0,1154.935791015625,4416.77490234375,3885.6611328125,2638.882568359375,1399.3074951171875,5325.31005859375,4207.89697265625,4052.7626953125,6735.25244140625,2816.200927734375,3128.085693359375,945.6154174804688
14,18,Bbmin7,Bb,34.0,526.2325439453125,1605.1044921875,586.7682495117188,589.976318359375,1023.6476440429688,3330.714111328125,668.0960083007812,376.1737060546875,1487.9173583984375,780.6146850585938,2357.527587890625,542.3997192382812
