,Measure,Tune 88,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G13,G,0.0,7756.15380859375,2184.212646484375,3393.4296875,1988.6680908203125,4046.898681640625,11441.1748046875,4543.55810546875,9114.60546875,3368.1220703125,12455.09375,11450.2333984375,7963.26123046875
1,3,G13,G,4.0,7720.6875,2116.240966796875,3194.104736328125,1889.6917724609375,3435.842041015625,11151.9287109375,3942.185546875,5777.9609375,1673.2906494140625,3685.8642578125,1801.4732666015625,6583.591796875
2,5,C13,C,8.0,2039.0576171875,1542.37353515625,3553.422119140625,2466.304443359375,7188.7734375,10616.140625,4091.611572265625,9040.0888671875,3618.232421875,13434.5712890625,14496.7421875,2964.138916015625
3,7,G13,G,12.0,7762.42431640625,2124.86083984375,3141.3173828125,1881.4168701171875,3458.844482421875,11037.0078125,3846.637939453125,5123.5107421875,1569.79248046875,3898.7275390625,1848.0098876953125,6694.99462890625
4,9,Eb13,Eb,16.0,23769.5078125,20269.060546875,17735.611328125,17215.998046875,10794.9521484375,31158.9296875,14623.6181640625,26539.126953125,14349.08203125,8022.771484375,16470.806640625,11830.625
5,13,G9,G,24.0,150.2936248779297,169.427734375,430.0470275878906,255.47755432128906,317.65802001953125,1129.3424072265625,570.9385375976562,1430.0469970703125,359.7889404296875,437.087890625,203.4410400390625,557.9711303710938
6,13,Ab9,Ab,25.0,40.53382110595703,30.660789489746094,97.48941040039062,34.71736526489258,47.407039642333984,285.2648010253906,164.7671661376953,735.478759765625,133.77613830566406,56.49299240112305,26.890939712524414,96.84441375732422
7,14,G9,G,26.0,1250.1943359375,608.244140625,1522.3399658203125,1892.3712158203125,1133.8555908203125,3727.0458984375,2910.0830078125,4491.9091796875,1188.736328125,1535.1319580078125,2172.340576171875,2325.844482421875
8,15,G9,G,28.0,167.30494689941406,168.1666717529297,422.3175964355469,272.8013916015625,301.0398254394531,1113.0516357421875,596.727783203125,1404.79736328125,352.2350769042969,426.7934875488281,201.63648986816406,564.5794677734375
9,15,Ab9,Ab,29.0,45.01322555541992,30.03704833984375,97.79170989990234,43.142459869384766,47.26116943359375,285.8319396972656,173.43418884277344,734.5652465820312,134.17054748535156,54.70505142211914,26.705774307250977,93.77449798583984
10,16,G9,G,30.0,1231.862060546875,603.9087524414062,1505.0679931640625,1803.5245361328125,1123.8922119140625,3722.723388671875,2917.2470703125,4427.22705078125,1166.9359130859375,1536.6190185546875,2153.539794921875,2317.77587890625
11,17,G9,G,32.0,165.61936950683594,167.4158477783203,422.1293029785156,265.6954040527344,301.7475280761719,1111.4017333984375,600.4523315429688,1405.4520263671875,352.78076171875,427.6727600097656,201.3817901611328,566.72998046875
12,17,Ab9,Ab,33.0,44.331851959228516,29.607887268066406,97.2264404296875,41.50898361206055,46.83114242553711,285.2370910644531,173.6608123779297,734.2297973632812,133.24844360351562,54.4438362121582,26.83588981628418,94.1865234375
13,18,G9,G,34.0,1224.8856201171875,602.1097412109375,1518.1158447265625,1862.7149658203125,1137.2957763671875,3724.563232421875,2926.3583984375,4442.93505859375,1180.697509765625,1539.8861083984375,2162.136474609375,2317.64013671875
14,19,G9,G,36.0,165.53733825683594,167.38365173339844,422.4053649902344,267.83441162109375,303.8252258300781,1110.9049072265625,601.0538330078125,1404.7149658203125,353.0390625,427.5322265625,201.70729064941406,566.892822265625
15,19,Ab9,Ab,37.0,1296.4219970703125,464.1971130371094,1115.1785888671875,1832.2733154296875,756.2432250976562,2111.0078125,3362.2314453125,6231.859375,1932.01318359375,606.5062255859375,1325.9385986328125,1019.280517578125
16,21,G9,G,40.0,165.10935974121094,166.71580505371094,410.06787109375,260.8752746582031,308.5420227050781,1112.711669921875,593.2134399414062,1331.5020751953125,333.9844970703125,446.083740234375,276.2542419433594,571.0995483398438
17,21,Db7(#9),Db,41.0,702.30859375,659.0455932617188,780.1685180664062,1780.0980224609375,5114.75341796875,4108.77734375,834.2951049804688,624.5723266601562,1694.8299560546875,571.5564575195312,622.6013793945312,2339.7685546875
