,Measure,Shut Your MouthC,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Gmin7,G,0.0,30.976882934570312,77.98101043701172,306.7184143066406,81.00769805908203,114.62799835205078,392.8423156738281,191.9801025390625,198.0173797607422,76.18082427978516,176.30287170410156,249.4930877685547,64.54470825195312
1,1,C/Bb,C,0.6666666666666666,134.24559020996094,36.68039321899414,48.9771614074707,86.52542114257812,320.3232116699219,231.19883728027344,65.83682250976562,154.81883239746094,63.2631950378418,58.8197021484375,138.5034637451172,57.97029113769531
2,1,Bbmaj/C,Bb,1.3333333333333333,745.6174926757812,302.1392822265625,961.0082397460938,438.5220947265625,1361.3482666015625,965.5303344726562,308.3720703125,355.4723815917969,126.48543548583984,240.48146057128906,1182.6646728515625,370.2375793457031
3,3,Gmin9,G,4.0,41.350589752197266,78.94034576416016,169.1547393798828,77.45244598388672,162.02182006835938,458.0546875,193.82395935058594,202.6016082763672,102.05343627929688,301.0541076660156,265.1448059082031,71.05735778808594
4,3,Bbmaj7,Bb,4.666666666666667,24.448486328125,56.248779296875,175.88670349121094,53.026336669921875,152.25924682617188,353.60791015625,106.0829086303711,50.06590270996094,45.495052337646484,130.46409606933594,271.5831604003906,65.32962036132812
5,3,C9,C,5.333333333333333,1302.222900390625,655.9819946289062,2652.634033203125,879.6740112304688,3671.2001953125,2016.6983642578125,436.6332092285156,1283.4044189453125,475.4786376953125,517.4110107421875,1183.1790771484375,530.0952758789062
6,5,Gmin7,G,8.0,27.315622329711914,53.982940673828125,159.5405731201172,51.65443801879883,113.39557647705078,397.3569030761719,176.68553161621094,196.46253967285156,72.5746841430664,126.35823822021484,237.2838592529297,61.01810836791992
7,5,C/Bb,C,8.666666666666666,7.2123942375183105,11.638453483581543,40.18680191040039,16.634218215942383,42.55827713012695,144.3937225341797,75.18829345703125,236.3377227783203,41.34029769897461,21.17339515686035,30.14777946472168,13.581133842468262
8,5,Bbmaj7/C,Bb,9.333333333333334,2024.9322509765625,982.0499877929688,4449.1025390625,1185.138671875,3366.7431640625,2520.083251953125,812.213134765625,1658.50048828125,1367.7315673828125,6215.57421875,3945.106689453125,977.8611450195312
9,7,Gmin7,G,12.0,43.91859436035156,62.00240707397461,185.72412109375,69.94489288330078,130.9032745361328,439.0716247558594,218.93568420410156,356.9964294433594,99.42864227294922,154.29873657226562,296.2502136230469,88.6705322265625
10,7,Bbmaj7,Bb,12.666666666666664,239.5629119873047,80.04157257080078,195.7412567138672,49.759090423583984,91.75865936279297,349.4158935546875,115.53484344482422,81.05587768554688,37.63258361816406,153.57064819335938,388.0207214355469,136.41258239746094
11,7,C9,C,13.333333333333336,2828.486572265625,991.3300170898438,3404.650146484375,1386.0279541015625,4792.74755859375,2181.9736328125,557.5056762695312,1766.19677734375,567.5387573242188,737.7456665039062,2237.193359375,1057.3267822265625
12,9,Gmin7,G,16.0,30.400009155273438,54.346099853515625,180.28704833984375,67.54320526123047,133.505126953125,398.9876403808594,232.17596435546875,605.8359985351562,153.8437042236328,122.91116333007812,253.38775634765625,70.69692993164062
13,9,C/Bb,C,16.666666666666668,171.6037139892578,52.16324996948242,53.40096664428711,74.73926544189453,460.31884765625,385.4487609863281,83.28252410888672,184.77098083496094,81.7079849243164,165.2835235595703,602.0543823242188,139.83058166503906
14,9,Bbmaj7/C,Bb,17.333333333333332,8046.58740234375,6503.12158203125,13348.6796875,5699.60888671875,8819.6884765625,6635.232421875,2765.260009765625,8294.7861328125,3487.232421875,11494.67578125,8134.044921875,2894.084716796875
15,14,Bb7,Bb,26.0,99.4290771484375,166.6902313232422,658.2518310546875,180.6872100830078,238.4693145751953,871.7023315429688,287.4723205566406,381.2291259765625,506.5971374511719,359.7283020019531,666.9367065429688,166.51451110839844
16,14,Eb9,Eb,27.0,886.0869140625,3867.3974609375,3428.137451171875,2813.312744140625,1551.1787109375,5838.99951171875,1652.07861328125,3363.146484375,977.9277954101562,1135.8385009765625,3495.906005859375,706.8494262695312
17,16,Bb7,Bb,30.0,89.94216918945312,157.50498962402344,606.4827270507812,164.8879852294922,227.0224609375,867.8236694335938,244.80657958984375,106.58977508544922,476.5401306152344,494.7622985839844,1924.3167724609375,343.3663024902344
18,16,Eb9,Eb,31.0,314.85784912109375,1241.6148681640625,1073.6634521484375,869.125244140625,719.5087890625,3007.42578125,728.6631469726562,1053.639404296875,508.26904296875,450.9734802246094,1261.5899658203125,271.1546936035156
19,18,Bb7,Bb,34.0,107.28753662109375,162.5231170654297,613.7749633789062,188.10157775878906,221.2010040283203,838.9032592773438,242.34617614746094,171.89955139160156,877.643310546875,428.8000183105469,914.0718383789062,173.22987365722656
20,18,Eb9,Eb,35.0,65.55140686035156,230.06846618652344,222.08958435058594,159.1143798828125,97.15351104736328,377.7117004394531,101.87010955810547,141.44126892089844,79.07225799560547,59.063655853271484,127.12295532226562,49.25810241699219
21,19,Bb,Bb,36.0,9644.6708984375,11145.6884765625,29665.767578125,13297.0673828125,11385.0859375,52973.87890625,11607.4130859375,18052.126953125,40507.16015625,18889.166015625,51404.63671875,9378.8154296875
