,Measure,Voodoo,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Dmin7,D,2.0,225.64353942871094,58.4570198059082,76.90914154052734,75.25202178955078,399.031982421875,184.53053283691406,65.76736450195312,137.23179626464844,243.9796600341797,1198.5450439453125,219.13307189941406,61.81343078613281
1,2,C/D,C,3.0,42.4029655456543,79.84394073486328,196.4468994140625,66.38232421875,159.1156005859375,333.8686828613281,60.73286056518555,62.488826751708984,79.73004150390625,73.86784362792969,52.509063720703125,21.03920555114746
2,3,Bb7,Bb,4.0,69.65863037109375,154.55712890625,73.54267120361328,69.02630615234375,384.0431823730469,203.15174865722656,47.997989654541016,103.16171264648438,245.31007385253906,1438.2059326171875,223.3772430419922,26.42804718017578
3,3,A7,A,5.0,151.37832641601562,85.78430938720703,183.2272186279297,49.82394027709961,129.49237060546875,369.0914611816406,59.231136322021484,20.689939498901367,27.86408233642578,128.5163116455078,36.18622970581055,39.74338150024414
4,4,Dmin7,D,6.0,222.1271514892578,53.49761962890625,71.04674530029297,41.147159576416016,139.5484161376953,519.3457641601562,100.64429473876953,24.191503524780273,65.3797836303711,157.09742736816406,61.00448989868164,50.369083404541016
5,4,F/C,F,7.0,27.87801170349121,37.25437545776367,169.4207763671875,42.14888381958008,71.54380798339844,308.5838317871094,47.711727142333984,16.653484344482422,50.14366149902344,35.39876937866211,44.052459716796875,13.13565731048584
6,5,Bb7,Bb,8.0,103.88308715820312,388.6329650878906,138.54872131347656,174.41395568847656,674.9973754882812,255.9546356201172,98.84601593017578,310.0702209472656,301.3684997558594,1493.2432861328125,260.0423278808594,52.60469055175781
7,5,A7,A,9.0,153.2079620361328,110.55712127685547,194.55274963378906,82.91069793701172,239.40818786621094,308.2383728027344,58.90799331665039,57.87542724609375,32.4299201965332,103.87120819091797,33.53614044189453,44.12057876586914
8,6,Dmin7,D,10.0,228.4941864013672,68.26605987548828,79.1075668334961,78.7782974243164,416.3840026855469,186.92022705078125,65.72139739990234,135.7476806640625,244.78326416015625,1196.4075927734375,220.89678955078125,62.93325424194336
9,6,C/D,C,11.0,43.8853759765625,85.26093292236328,194.4904327392578,66.70811462402344,158.2473907470703,333.1612243652344,60.68177795410156,62.900943756103516,83.32652282714844,73.50432586669922,52.199771881103516,20.891244888305664
10,7,Bb7,Bb,12.0,69.72992706298828,154.9988555908203,73.62749481201172,69.00719451904297,383.9202880859375,203.1244659423828,47.99370193481445,103.13552856445312,245.269287109375,1438.2664794921875,223.37933349609375,26.437360763549805
11,7,A7,A,13.0,151.3817596435547,85.8014907836914,183.2308349609375,49.8239631652832,129.4907989501953,369.0879821777344,59.230587005615234,20.68977165222168,27.862340927124023,128.5148162841797,36.18611526489258,39.744014739990234
12,8,Dmin7,D,14.0,222.1387176513672,53.50677490234375,71.0572280883789,41.12940979003906,139.55160522460938,519.1890869140625,100.59182739257812,24.192975997924805,65.40483093261719,157.06735229492188,61.03037643432617,50.36342239379883
13,8,F/C,F,15.0,40.548133850097656,81.6364974975586,191.9244384765625,62.28507995605469,128.59201049804688,319.9936218261719,58.043670654296875,56.32364273071289,77.98983001708984,67.84474182128906,50.876155853271484,20.261720657348633
14,9,Bb7,Bb,16.0,45.44964599609375,147.60472106933594,79.29106140136719,64.53428649902344,344.825927734375,175.78680419921875,46.09342575073242,110.75527954101562,274.0585632324219,1450.47021484375,249.81597900390625,27.49848175048828
15,9,A7,A,17.0,24.45838737487793,82.39205932617188,147.35182189941406,47.75444412231445,153.21009826660156,332.8738098144531,55.545196533203125,58.16966247558594,80.96402740478516,68.30867767333984,45.17021560668945,15.400572776794434
