,Measure,sambop,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Dmin7,D,2.0,219.26329040527344,110.8404541015625,455.3000793457031,79.9290771484375,74.64746856689453,315.9614562988281,75.1933364868164,18.5213680267334,67.1670150756836,417.6007080078125,63.1171989440918,46.69978713989258
1,2,G7,G,2.6666666666666665,113.4386215209961,173.29518127441406,147.41883850097656,80.18534088134766,99.93896484375,352.7617492675781,130.8439178466797,235.05857849121094,225.5294647216797,123.2313232421875,73.33549499511719,244.2312774658203
2,2,Cmin,C,3.333333333333333,678.7276611328125,129.63943481445312,120.4755859375,425.7609558105469,148.6233673095703,178.7271728515625,121.34149169921875,537.5641479492188,126.29480743408203,29.30455207824707,55.93857192993164,211.61016845703125
3,3,F/B,F,4.0,1572.0216064453125,497.2207946777344,460.2581481933594,1679.2855224609375,1172.5787353515625,3856.337646484375,1569.9229736328125,821.9042358398438,414.3758544921875,1438.0208740234375,804.1240234375,2170.925048828125
4,4,Bb7,Bb,6.0,31.99958038330078,42.258968353271484,178.85569763183594,65.7980728149414,90.96435546875,281.3019714355469,100.10568237304688,239.75640869140625,124.57638549804688,74.87781524658203,149.00137329101562,78.61293029785156
5,4,A7,A,6.666666666666668,52.6402473449707,197.8102569580078,68.59339904785156,74.1296157836914,325.3392028808594,219.56825256347656,77.26866912841797,176.9186553955078,116.01261138916016,226.0747528076172,472.7337341308594,112.80349731445312
6,4,Abmaj7,Ab,7.333333333333332,2612.195068359375,1504.56494140625,3070.251953125,4409.01123046875,2345.477294921875,913.0982055664062,550.3306274414062,2664.211669921875,3210.882568359375,6290.82373046875,1158.0670166015625,659.90380859375
7,6,Dmin7,D,10.0,243.14332580566406,113.3358154296875,456.6741943359375,90.84563446044922,84.35701751708984,315.06903076171875,73.13131713867188,17.202701568603516,68.63822937011719,425.89599609375,64.67658233642578,55.32362747192383
8,6,G7,G,10.666666666666666,122.56784057617188,196.5226287841797,144.6537322998047,84.44192504882812,112.2947769165039,357.6005859375,128.01199340820312,231.37078857421875,227.15150451660156,122.90890502929688,73.73880767822266,244.0346221923828
9,6,Cmin7,C,11.333333333333336,696.438720703125,131.29710388183594,138.49490356445312,446.7754821777344,163.81175231933594,201.5500946044922,130.82199096679688,543.9985961914062,127.92447662353516,58.03403091430664,261.9437561035156,280.6859436035156
10,7,F,F,12.0,1833.81396484375,466.7244567871094,386.1631774902344,1180.7596435546875,649.0867309570312,2395.824462890625,944.268798828125,666.0496215820312,274.2391662597656,758.277587890625,489.1101379394531,594.5677490234375
11,8,Bb7,Bb,14.0,38.5426025390625,43.12124252319336,176.8413848876953,62.6591796875,84.28564453125,265.117431640625,97.27686309814453,241.43629455566406,126.51615142822266,83.07079315185547,162.9980926513672,84.9688720703125
12,8,A7,A,14.666666666666664,53.30215072631836,202.3415069580078,68.947509765625,73.4604721069336,323.8426818847656,223.6567840576172,81.89456939697266,176.40550231933594,115.79873657226562,227.5450897216797,468.3486022949219,108.4803237915039
13,8,Abmaj7,Ab,15.333333333333336,2912.099609375,1549.88818359375,3070.4052734375,4410.1669921875,2343.883056640625,914.4629516601562,551.2841186523438,2663.09375,3236.765869140625,6475.287109375,1163.948974609375,685.8016967773438
14,10,Bbmin7,Bb,18.0,234.869140625,326.221435546875,65.96823120117188,56.78700637817383,169.85009765625,605.2340698242188,119.49857330322266,40.58388900756836,179.8570556640625,123.56555938720703,308.1025695800781,132.89308166503906
15,10,Eb7,Eb,19.0,74.89025115966797,356.853515625,129.8107452392578,360.0732116699219,99.2066879272461,143.40606689453125,108.6242904663086,594.7460327148438,102.41141510009766,33.81950759887695,167.61087036132812,36.71162796020508
16,11,Bbmin7,Bb,20.0,306.4804992675781,411.7181396484375,92.9968032836914,133.5653839111328,209.65065002441406,611.18896484375,117.8862533569336,127.79794311523438,219.57447814941406,250.958740234375,478.5894470214844,141.6515655517578
17,11,Eb7,Eb,21.0,536.0882568359375,419.8203125,131.27880859375,363.5081481933594,115.3990478515625,149.6972198486328,76.85551452636719,312.9884033203125,75.13874816894531,44.844207763671875,192.6992645263672,103.92465209960938
