,Measure,Jazz Crimes,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F#7,F#,0.0,85.87323760986328,273.63507080078125,80.88697052001953,133.13571166992188,477.437744140625,271.0953369140625,235.73060607910156,64.95895385742188,63.5587272644043,105.8829345703125,263.3839416503906,140.30455017089844
1,1,A13,A,0.6666666666666666,80.44761657714844,120.4864273071289,90.56954193115234,151.5169677734375,254.9769287109375,157.8506622314453,306.0442199707031,125.0463638305664,42.805301666259766,40.547916412353516,91.602783203125,196.09983825683594
2,1,Bb7,Bb,1.3333333333333333,45.47513961791992,56.989017486572266,61.61189270019531,75.34667205810547,194.436279296875,99.21981811523438,192.2745819091797,82.0561294555664,47.99990463256836,31.751617431640625,55.271453857421875,123.4128189086914
3,2,Eb7(#9),Eb,2.0,16.110498428344727,35.631282806396484,132.23780822753906,39.214969635009766,86.8089828491211,167.78826904296875,102.62310028076172,53.62836837768555,59.10824203491211,59.9931640625,81.4399642944336,55.630916595458984
4,2,D,D,2.6666666666666665,31.72630500793457,114.2366943359375,67.80723571777344,66.004638671875,61.159210205078125,198.3526611328125,242.7979278564453,109.36678314208984,25.60533332824707,28.937047958374023,125.16604614257812,55.21976852416992
5,2,C#,C#,3.333333333333333,97.45175170898438,269.4327392578125,218.71734619140625,75.3444595336914,119.51876068115234,546.7657470703125,394.7555847167969,178.7087860107422,180.9528045654297,80.96646881103516,42.98466873168945,112.5233383178711
6,3,F#13,F#,4.0,164.05299377441406,305.0015563964844,158.81101989746094,253.0101776123047,525.3273315429688,393.2829284667969,351.0304870605469,132.6446075439453,233.3065185546875,156.44114685058594,349.7267761230469,491.4505920410156
7,3,B7,B,4.666666666666667,80.33998107910156,108.44892120361328,80.47811889648438,250.33282470703125,188.6579132080078,128.3363494873047,222.86376953125,62.69149398803711,63.65591812133789,110.12188720703125,117.26092529296875,233.6842498779297
8,3,D7,D,5.333333333333333,45.94866943359375,40.50216293334961,68.35116577148438,170.5976104736328,93.09957885742188,83.12334442138672,180.5257110595703,39.506900787353516,20.70354652404785,57.24229431152344,38.86614990234375,102.51690673828125
9,4,Gmaj7,G,6.0,195.5594024658203,78.75169372558594,145.3231201171875,111.3349380493164,35.02765655517578,117.92083740234375,507.7297058105469,283.7195739746094,65.0341567993164,80.43932342529297,78.98585510253906,378.8939514160156
10,4,Bmaj7,B,6.666666666666668,50.55314636230469,29.107025146484375,81.30707550048828,174.0524139404297,48.65290451049805,62.6854133605957,239.91058349609375,75.4770278930664,18.518980026245117,39.631046295166016,109.79064178466797,132.6879119873047
11,4,A9,A,7.333333333333332,89.923095703125,176.09910583496094,106.198974609375,275.73004150390625,312.9729309082031,114.74282836914062,222.50843811035156,188.76710510253906,102.20001220703125,143.22935485839844,115.43048095703125,243.05296325683594
12,5,F#7,F#,8.0,55.3997917175293,209.4603271484375,85.49298095703125,139.3563995361328,314.3427429199219,190.77813720703125,315.2391052246094,91.78095245361328,56.47836685180664,101.61090850830078,182.88392639160156,83.00965118408203
13,5,A13,A,8.666666666666666,90.77593994140625,250.7266082763672,124.5247802734375,143.21556091308594,177.89808654785156,118.21456909179688,317.6448059082031,126.1473617553711,58.57754135131836,63.641448974609375,66.55767822265625,152.1156768798828
14,5,Bb7,Bb,9.333333333333334,94.77338409423828,93.58853912353516,208.6522979736328,127.49224853515625,186.362060546875,405.6574401855469,283.2611083984375,129.10777282714844,186.2909393310547,205.2576904296875,310.8750305175781,171.3095703125
15,6,Eb7(#9),Eb,10.0,63.1467170715332,176.81475830078125,246.15272521972656,145.1361846923828,122.9549560546875,313.79754638671875,391.8661193847656,223.79246520996094,121.82101440429688,136.33187866210938,183.40342712402344,106.3515625
16,6,D,D,10.666666666666666,331.2532958984375,191.0021209716797,116.85155487060547,74.37757873535156,74.34980010986328,246.2897186279297,235.49159240722656,98.3968505859375,113.90599822998047,85.14939880371094,45.786502838134766,86.66681671142578
17,6,C#,C#,11.333333333333336,109.11480712890625,121.62398529052734,311.4011535644531,65.54537200927734,54.80463790893555,183.02345275878906,88.8699722290039,21.199384689331055,49.903987884521484,33.713706970214844,71.97795867919922,35.32644271850586
18,7,F#13,F#,12.0,169.68284606933594,243.51307678222656,175.57342529296875,196.5718536376953,366.0366516113281,240.8634033203125,296.5496826171875,93.81546020507812,156.96524047851562,146.76278686523438,276.0382385253906,275.6067810058594
19,7,B7(#9),B,12.666666666666664,92.93131256103516,127.4979248046875,357.105712890625,644.3228149414062,267.968994140625,155.5334014892578,466.2312927246094,128.58551025390625,93.80453491210938,180.8378143310547,120.59024810791016,306.5210266113281
20,7,D7,D,13.333333333333336,30.31317710876465,39.43643569946289,136.28399658203125,204.2801513671875,82.97576141357422,65.27478790283203,137.35760498046875,48.72808837890625,24.00678062438965,41.59806823730469,27.440811157226562,45.19752883911133
21,8,D7,D,14.0,133.30162048339844,68.93403625488281,167.97300720214844,66.33912658691406,29.465194702148438,46.870853424072266,159.0300750732422,38.7946891784668,16.327913284301758,48.97715377807617,28.05457305908203,114.74544525146484
22,8,Gmaj7,G,14.5,41.231014251708984,36.78803253173828,79.64115142822266,57.5250358581543,20.219646453857422,57.004669189453125,253.4002685546875,114.5819320678711,47.265682220458984,92.5399169921875,27.369543075561523,44.105682373046875
23,8,Bmaj7,B,15.0,35.21107864379883,131.40130615234375,163.87730407714844,233.10675048828125,59.86404037475586,100.19479370117188,312.5315856933594,85.79918670654297,26.97010040283203,60.75462341308594,195.70611572265625,82.53074645996094
24,8,A9,A,15.5,73.09841918945312,129.02268981933594,89.0615005493164,179.24195861816406,181.95465087890625,102.04456329345703,103.42193603515625,118.84627532958984,147.35948181152344,393.6774597167969,127.72669219970703,191.8583221435547
25,9,F#7,F#,16.0,59.084625244140625,205.5115203857422,59.17018508911133,156.7097930908203,300.129638671875,177.03797912597656,312.4722900390625,115.8710708618164,64.48047637939453,96.89391326904297,183.7829132080078,136.28932189941406
