,Measure,Blues on Sunday,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Eb7,Eb,0.0,368.1492919921875,1931.3790283203125,1059.9771728515625,3215.3759765625,636.4577026367188,198.7394256591797,342.9450988769531,2008.9644775390625,457.5076904296875,358.6249694824219,1940.7982177734375,453.9883117675781
1,2,Ab7,Ab,2.0,1743.2513427734375,474.5986022949219,598.4536743164062,2613.488525390625,870.9780883789062,815.6458129882812,3722.045654296875,1518.9300537109375,4106.365234375,750.7841796875,210.68096923828125,391.1805725097656
2,3,Eb7,Eb,4.0,1015.1890258789062,5289.28662109375,2750.887451171875,9648.0947265625,1743.7806396484375,511.8180236816406,960.3146362304688,4430.97998046875,918.462646484375,909.3969116210938,5208.5673828125,1149.3341064453125
3,5,Ab7,Ab,8.0,7068.970703125,1615.6427001953125,1892.2684326171875,8891.0908203125,2689.875732421875,1986.7567138671875,10241.8720703125,3703.885986328125,4359.06396484375,806.5886840820312,594.43115234375,1381.1468505859375
4,7,Eb7,Eb,12.0,983.2623901367188,5343.5673828125,2922.6298828125,10269.9638671875,1928.3819580078125,513.59814453125,859.4190063476562,4551.412109375,960.1840209960938,1248.7781982421875,7082.78173828125,1375.7799072265625
5,9,Fmin7,F,16.0,2032.7967529296875,468.6286315917969,634.20068359375,2671.017333984375,1285.3494873046875,1423.2333984375,313.5771179199219,684.20751953125,1619.7176513671875,368.8834533691406,179.99151611328125,476.2033996582031
6,10,Bb7,Bb,18.0,309.8030090332031,472.7177734375,2136.345947265625,946.8211059570312,788.5259399414062,3121.995361328125,843.0051879882812,815.3176879882812,1541.2894287109375,893.6633911132812,2134.050537109375,415.9209289550781
7,11,Eb7,Eb,20.0,1038.47802734375,5334.39404296875,2824.830078125,9457.1728515625,1820.3521728515625,948.2249145507812,1171.7489013671875,4600.283203125,1034.1324462890625,940.61572265625,5275.08544921875,1189.1929931640625
8,13,Eb7,Eb,24.0,363.147705078125,1917.0802001953125,1055.1148681640625,3236.107666015625,639.4598388671875,196.5851593017578,282.27459716796875,1586.4111328125,355.3577575683594,355.7595520019531,1954.2816162109375,444.5725402832031
9,14,Ab7,Ab,26.0,1744.2401123046875,475.4193420410156,603.2456665039062,2613.36279296875,873.196044921875,822.89013671875,3725.244873046875,1517.0574951171875,4074.7939453125,746.4652709960938,209.76707458496094,391.0908508300781
10,15,Eb7,Eb,28.0,1016.629150390625,5288.4091796875,2749.326171875,9648.41796875,1746.3692626953125,516.8053588867188,960.2131958007812,4430.6904296875,919.6521606445312,909.0193481445312,5203.89404296875,1149.23974609375
11,17,Ab7,Ab,32.0,7060.51513671875,1613.2266845703125,1968.1297607421875,9264.443359375,2735.898681640625,1981.115234375,10304.8779296875,4259.52099609375,4455.22265625,812.182373046875,591.9119873046875,1380.93115234375
12,19,Eb7,Eb,36.0,983.2868041992188,5343.625,2922.531005859375,10269.9267578125,1928.5194091796875,514.2255249023438,859.6396484375,4551.62744140625,960.3217163085938,1248.7366943359375,7082.49365234375,1375.7562255859375
13,21,Fmin7,F,40.0,2039.4605712890625,472.3747253417969,628.7024536132812,2675.96630859375,1257.389404296875,1351.2532958984375,295.5393981933594,646.6102905273438,1616.2672119140625,368.1720886230469,177.16542053222656,471.2261657714844
14,22,Bb7,Bb,42.0,310.610107421875,472.941650390625,2138.077392578125,937.7189331054688,787.5947265625,3115.531494140625,839.5033569335938,815.1322631835938,1541.6158447265625,892.0010375976562,2129.105224609375,415.4053039550781
15,23,Eb7,Eb,44.0,113.4476318359375,560.6514892578125,347.6888427734375,969.7683715820312,217.85955810546875,82.00177764892578,91.14739227294922,447.0008850097656,118.8281478881836,113.65795135498047,560.2608032226562,139.95025634765625
16,23,Eb,Eb,45.0,11.72779369354248,43.00077438354492,85.26513671875,346.9950256347656,64.09571075439453,28.317489624023438,31.065475463867188,168.681396484375,28.381614685058594,28.26987648010254,149.24659729003906,27.41428565979004
17,24,Eb7,Eb,46.0,661.5579223632812,3591.2841796875,1813.7127685546875,5953.61962890625,1141.8057861328125,421.2373352050781,528.3363647460938,2978.275634765625,624.5966186523438,624.0633544921875,3509.0888671875,780.245849609375
