,Measure,JumpinWithSymphonySid,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C7,C,0.0,4718.8544921875,1014.875244140625,881.5022583007812,1791.63427734375,9283.11328125,1670.6126708984375,1458.53369140625,9617.8544921875,2887.462890625,6658.19287109375,4606.59814453125,1849.48193359375
1,3,F7,F,4.0,2077.675537109375,498.1313781738281,866.7064819335938,3378.805908203125,1805.2939453125,1439.14990234375,780.5670776367188,3850.881591796875,1298.800048828125,3263.478271484375,718.79296875,519.7500610351562
2,4,C7,C,6.0,1729.35400390625,371.7237548828125,326.3630676269531,895.1912231445312,3952.481201171875,728.6930541992188,299.7750549316406,1496.4100341796875,412.0204772949219,371.272705078125,1687.4241943359375,778.84521484375
3,5,C7,C,8.0,5649.93359375,1211.781005859375,1144.05419921875,2938.640869140625,11763.5244140625,2057.329345703125,1602.82958984375,10229.568359375,3013.271728515625,6907.39111328125,5574.02294921875,2257.17724609375
4,7,F7,F,12.0,6549.40625,1469.7518310546875,2318.719970703125,10090.9091796875,5625.369140625,4286.26171875,1852.0712890625,8768.35546875,3406.525390625,10183.7158203125,1943.69580078125,1495.1024169921875
5,9,G7,G,16.0,524.5460815429688,376.9004821777344,1253.16162109375,699.014892578125,871.50732421875,3707.754150390625,1598.7537841796875,3959.2470703125,1059.0748291015625,2358.213134765625,746.4684448242188,1949.69580078125
6,10,F7,F,18.0,2027.470703125,453.9010925292969,745.57763671875,3383.242431640625,1767.5465087890625,1614.85107421875,349.1909484863281,399.0931396484375,524.7471923828125,1733.3453369140625,444.5962829589844,551.8209838867188
7,11,C7,C,20.0,8744.05859375,1813.0999755859375,1634.54052734375,4293.99658203125,19754.55859375,3801.999755859375,2365.578369140625,14705.0712890625,4572.79248046875,10218.7724609375,8263.78125,3478.6943359375
