,Measure,MoxNix,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,16182.3056640625,5058.06591796875,13056.2705078125,2681.470947265625,5289.29150390625,27095.890625,5195.61083984375,1125.2244873046875,1512.6710205078125,8257.9404296875,1671.5289306640625,2531.630859375
1,5,Dmin7,D,8.0,20974.81640625,7283.36767578125,21788.884765625,4285.22607421875,7042.11669921875,35833.23046875,7280.47216796875,1640.2943115234375,2208.94287109375,12882.9384765625,2677.921630859375,3354.4541015625
2,10,Gmin11,G,18.0,6916.44140625,2048.80078125,3028.532470703125,1023.30712890625,2454.213623046875,10711.6416015625,3213.720703125,4902.27294921875,1515.3544921875,4870.45703125,5895.42041015625,1928.8394775390625
3,12,Dmin7,D,22.0,6819.82080078125,2536.302490234375,6717.38330078125,1714.1805419921875,2435.155517578125,11592.5263671875,2514.05517578125,2498.345458984375,7551.44384765625,4667.5078125,793.0969848632812,1117.173095703125
4,14,Bb9,Bb,26.0,2286.980224609375,893.8348999023438,3042.279052734375,668.3665771484375,761.744140625,3051.9521484375,833.7479858398438,374.0171813964844,1455.23779296875,1264.4127197265625,2145.569091796875,652.6058349609375
5,15,A7(#9),A,28.0,687.267822265625,659.24560546875,271.7591247558594,263.5143737792969,833.2177124023438,303.5271911621094,221.89910888671875,1201.3743896484375,440.7032165527344,570.3455200195312,162.98118591308594,181.44728088378906
6,15,Dmin7,D,29.0,108.03326416015625,91.4010238647461,85.4592514038086,56.93741226196289,167.0701904296875,77.97348022460938,178.26548767089844,1257.0045166015625,212.8038330078125,23.784807205200195,8.90174388885498,29.279945373535156
7,16,Dmin7,D,30.0,6370.13330078125,2439.241455078125,5867.44140625,1285.5604248046875,2428.682861328125,10400.8759765625,2223.673095703125,698.7588500976562,860.8307495117188,4487.01123046875,935.3375854492188,1059.9344482421875
8,18,Dmin7/C,D,34.0,616.3603515625,298.8345031738281,744.0103149414062,192.22186279296875,360.908447265625,1047.0548095703125,264.61712646484375,89.83242797851562,95.50008392333984,420.6982421875,91.87114715576172,170.65419006347656
9,18,Emin7,E,35.0,86.13955688476562,22.65891456604004,52.65440368652344,16.087501525878906,35.598388671875,207.3025665283203,32.33513259887695,5.178023815155029,5.582822799682617,25.896852493286133,4.929995059967041,19.027816772460938
10,19,A7,A,36.0,46.7734260559082,40.6098518371582,158.84298706054688,85.41437530517578,393.9146423339844,95.13785552978516,36.096683502197266,165.72122192382812,46.7457275390625,12.804450035095215,30.871931076049805,172.8267059326172
11,19,D7,D,37.0,74.21924591064453,271.4588623046875,643.19140625,167.88121032714844,381.0513916015625,98.61203002929688,46.840576171875,187.5260009765625,129.6938934326172,114.4476547241211,24.570005416870117,38.454959869384766
12,20,Emin7,E,38.0,313.2099914550781,97.19644165039062,107.51361846923828,34.60512161254883,92.93326568603516,75.57349395751953,303.1844482421875,57.655517578125,24.61170768737793,127.04925537109375,29.646825790405273,66.24262237548828
13,20,F6,F,39.0,83.06018829345703,103.49153900146484,553.1964721679688,180.41761779785156,463.4480895996094,162.6390838623047,204.996337890625,1127.2474365234375,218.04554748535156,60.94755172729492,47.81016540527344,195.73883056640625
14,21,Adim7,A,40.0,132.0071563720703,36.87602996826172,54.75990295410156,25.019357681274414,118.51415252685547,302.0517578125,51.101139068603516,12.029080390930176,9.156792640686035,44.68809509277344,15.585121154785156,29.740633010864258
15,21,Gmin7,G,41.0,168.8085174560547,52.43626403808594,96.92459869384766,376.2295227050781,173.9046630859375,114.27201080322266,309.2762145996094,66.85379028320312,16.05735206604004,67.29795837402344,23.88270378112793,33.785274505615234
16,22,Gmin/F,G,42.0,53.476959228515625,70.93158721923828,248.97727966308594,119.96646118164062,128.2643585205078,384.8873596191406,125.27548217773438,144.29432678222656,39.50852966308594,88.75469970703125,160.4492950439453,56.237674713134766
17,22,Emin11,E,43.0,29.77939796447754,52.23848342895508,156.39271545410156,70.9194107055664,88.94776153564453,272.5054016113281,178.4539031982422,207.61915588378906,58.08293151855469,64.5982437133789,79.85617065429688,67.28426361083984
18,23,A7,A,44.0,319.0857849121094,915.3125610351562,633.55078125,484.6108703613281,1604.751953125,753.9667358398438,916.8381958007812,1040.8406982421875,867.3809204101562,3726.802490234375,2897.3681640625,1042.7777099609375
19,24,Dmin7,D,46.0,2378.283447265625,842.89599609375,1991.3162841796875,500.0522766113281,973.3017578125,3667.013671875,876.74560546875,241.1087188720703,262.30889892578125,1239.6600341796875,291.2621154785156,417.3270568847656
20,25,Bb9,Bb,48.0,132.01902770996094,125.51972198486328,167.6901092529297,78.655029296875,285.4620666503906,548.8976440429688,139.7226104736328,51.739986419677734,444.4169921875,2823.2255859375,472.8190002441406,79.2262954711914
21,27,A7,A,52.0,463.5160217285156,1814.6712646484375,550.7354125976562,649.5068969726562,2794.728759765625,881.6871948242188,353.1711730957031,1650.9801025390625,941.2691040039062,1753.57275390625,344.2235107421875,269.9925231933594
22,28,Emin7,E,54.0,147.84390258789062,158.56532287597656,701.04541015625,349.600830078125,1018.6163940429688,274.1473083496094,125.92447662353516,459.9089050292969,112.63580322265625,73.91653442382812,102.68546295166016,556.4097900390625
23,28,B7,B,55.0,702.413818359375,498.8983459472656,1020.1884155273438,1206.2080078125,676.1135864257812,1227.7156982421875,1369.9241943359375,375.5870666503906,314.3354187011719,1609.7464599609375,403.0177307128906,543.7798461914062
24,29,Dmin7,D,56.0,251.2451934814453,86.31082916259766,261.1750793457031,703.77978515625,264.6962585449219,750.8523559570312,489.3753662109375,81.44937133789062,48.82086181640625,272.8304138183594,85.39511108398438,251.02978515625
25,30,Dmin7,D,58.0,1268.863037109375,441.0132141113281,1361.8936767578125,860.7035522460938,1027.3465576171875,5321.13525390625,1145.101806640625,129.1630096435547,126.72445678710938,701.479736328125,153.56781005859375,418.3402404785156
26,34,Gmin7,G,66.0,30.88127899169922,123.8257827758789,612.0266723632812,126.28271484375,332.3090515136719,2037.51806640625,319.609619140625,128.21533203125,29.83180046081543,65.32483673095703,91.53858184814453,40.0442008972168
27,36,Dmin7,D,70.0,553.1441040039062,160.0698699951172,501.6107177734375,106.5882568359375,326.9649963378906,2033.2008056640625,284.7888488769531,13.378924369812012,34.64533615112305,202.86090087890625,36.92619705200195,85.0511245727539
28,38,Bb7,Bb,74.0,9.756417274475098,35.08931350708008,181.8794708251953,42.09526443481445,112.56208038330078,692.7306518554688,101.142822265625,13.620379447937012,77.0594711303711,38.637874603271484,32.00807571411133,7.23546028137207
29,39,A7,A,76.0,50.43325424194336,244.43824768066406,79.93295288085938,117.076904296875,550.8124389648438,151.4127960205078,28.177507400512695,115.1118392944336,44.15178298950195,32.8701057434082,9.46599292755127,17.70600700378418
30,40,Dmin7,D,78.0,53.066593170166016,19.78177261352539,31.894325256347656,15.081718444824219,31.249296188354492,152.74710083007812,30.93149757385254,2.1486473083496094,4.802580833435059,23.25691032409668,4.351914405822754,8.34825611114502
