,Measure,MyFavoriteThings(Coltrane),chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,5,Emin7(0##),E,6.0,615.0855102539062,446.2472229003906,884.5375366210938,1222.9752197265625,3350.553955078125,743.722412109375,1046.9039306640625,2340.2626953125,582.8338623046875,870.8091430664062,725.5314331054688,3192.759521484375
1,6,F#min7(0##),F#,7.5,707.5907592773438,3034.872314453125,645.4853515625,631.6427001953125,1814.0633544921875,1291.5904541015625,3610.393798828125,773.5487670898438,678.0797729492188,2288.060302734375,524.9837036132812,849.5780639648438
2,7,Emin7(09),E,9.0,702.6223754882812,483.7214050292969,892.5433959960938,1337.5086669921875,3967.756591796875,1075.33642578125,2645.4375,2682.253173828125,505.7111511230469,338.8863220214844,728.7859497070312,3637.841552734375
3,8,F#min7(0##),F#,10.5,706.5015258789062,3040.805908203125,649.7793579101562,629.908203125,1801.2220458984375,1344.9322509765625,3805.207763671875,814.427490234375,678.06005859375,2267.91796875,521.131103515625,855.3549194335938
4,9,Emin7(0##),E,12.0,125.39183807373047,173.73683166503906,268.8338623046875,274.6255798339844,593.6385498046875,181.81689453125,380.8878479003906,316.1905822753906,172.1007843017578,292.2806701660156,146.5553741455078,350.0507507324219
5,10,F#min7(0##),F#,13.5,525.2053833007812,1298.4971923828125,378.1709289550781,476.5081787109375,1930.6407470703125,794.4325561523438,1102.8084716796875,235.43731689453125,488.8077697753906,1089.415771484375,479.0013427734375,1378.21484375
6,11,Emin7(0##),E,15.0,677.3748168945312,466.5624084472656,781.15869140625,783.3788452148438,1251.4349365234375,355.1904602050781,748.91845703125,1099.4332275390625,411.3739929199219,870.25048828125,747.0222778320312,3611.906982421875
7,12,F#min7(0##),F#,16.5,183.54942321777344,473.2221374511719,206.9473419189453,184.1973876953125,614.1375122070312,310.13299560546875,555.6270141601562,137.3802032470703,186.1849822998047,349.7431640625,197.587646484375,444.5744323730469
8,13,Cmaj7,C,18.0,400.5125427246094,240.24705505371094,109.306640625,189.96142578125,840.9612426757812,180.16082763671875,207.66229248046875,268.7767639160156,77.30052947998047,58.05794906616211,87.70246124267578,473.1650390625
9,14,Amin7,A,19.5,1144.7025146484375,306.17559814453125,148.6672821044922,410.0579528808594,1833.1956787109375,371.3814392089844,466.745361328125,1076.1094970703125,512.3953247070312,1060.1080322265625,289.6805114746094,451.681640625
10,15,Cmaj7,C,21.0,1731.8096923828125,333.1929626464844,216.6617889404297,659.8711547851562,2652.217041015625,536.0581665039062,340.0188293457031,944.32177734375,243.0753173828125,215.5774688720703,635.0719604492188,4156.88916015625
11,16,Amin7,A,22.5,1069.168212890625,395.6419982910156,201.02294921875,414.2752380371094,1917.2552490234375,386.9936218261719,419.8578186035156,1035.7056884765625,520.0691528320312,1059.9403076171875,282.8688049316406,380.0186462402344
12,17,Cmaj7,C,24.0,1286.25341796875,281.0870361328125,173.31446838378906,527.2167358398438,2395.92822265625,434.8497009277344,344.1371765136719,964.4072265625,236.20863342285156,109.43206787109375,228.8608856201172,1411.7015380859375
13,18,D13,D,25.5,1401.1019287109375,420.1712951660156,486.4268493652344,616.70849609375,2242.954345703125,735.4190063476562,1358.4208984375,1216.8636474609375,607.5767211914062,1529.89501953125,549.9345092773438,1487.4124755859375
14,19,Gmaj7,G,27.0,362.8436279296875,516.0432739257812,2436.753662109375,639.3308715820312,260.5539245605469,521.688720703125,2731.959228515625,1366.060546875,257.6891784667969,257.2255554199219,351.7298889160156,1334.4791259765625
15,20,F/E,F,28.5,4243.99365234375,783.01318359375,244.74330139160156,460.9162292480469,1336.0614013671875,2381.40869140625,557.6217651367188,357.8211364746094,259.6694641113281,922.5830688476562,296.1769104003906,681.8349609375
16,21,Gmaj7,G,30.0,490.1215515136719,290.2353820800781,716.6259155273438,400.0534973144531,261.8720397949219,663.0477905273438,2605.620849609375,1279.8272705078125,233.47528076171875,253.7742919921875,501.9601745605469,2569.199462890625
17,22,Cmaj7,C,31.5,1166.0433349609375,274.6393127441406,200.2572784423828,539.1202392578125,2227.220947265625,444.7213439941406,324.0925598144531,958.3837280273438,234.0402069091797,107.02088165283203,195.7717742919922,1134.9578857421875
18,23,F#min7,F#,33.0,451.59521484375,1299.9893798828125,302.2023620605469,414.5517883300781,1783.2200927734375,788.7025756835938,986.058349609375,300.1351318359375,710.6318969726562,2957.663330078125,576.9756469726562,291.0626220703125
19,24,B7,B,34.5,277.19512939453125,311.3255920410156,492.7038879394531,2070.946044921875,492.0889587402344,445.9281005859375,2278.528076171875,423.6522216796875,242.37281799316406,976.1294555664062,470.1986389160156,1187.9996337890625
20,25,Emin7,E,36.0,693.352783203125,353.3625183105469,1477.0086669921875,858.2792358398438,2200.81591796875,485.9024353027344,398.6983947753906,986.9819946289062,262.9832763671875,259.2948303222656,622.5144653320312,3946.422607421875
