,Measure,Manteca,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,9,Bb7,Bb,16.0,97.10562133789062,452.1985168457031,2592.669677734375,473.8181457519531,1300.896484375,7794.50439453125,1059.7073974609375,178.7957305908203,1007.582275390625,502.4649353027344,586.4723510742188,99.75489044189453
1,13,Bb7,Bb,24.0,249.37896728515625,388.2183837890625,1981.3668212890625,900.6105346679688,1161.0843505859375,6184.88037109375,1053.6309814453125,1994.0963134765625,12783.3466796875,5058.04296875,20118.189453125,2966.688232421875
2,16,Bb7,Bb,30.0,256.2382507324219,394.326171875,1955.5660400390625,805.0149536132812,1184.9169921875,6539.47314453125,1048.6094970703125,1693.0999755859375,11467.71484375,4144.083984375,15510.9990234375,2271.9375
3,19,Db7,Db,36.0,267.7978210449219,159.7010040283203,135.4539031982422,342.8435363769531,132.8157501220703,240.70774841308594,523.4962768554688,214.1986541748047,280.2568664550781,150.03692626953125,567.5081176757812,170.35879516601562
4,19,Ab7,Ab,36.66666666666666,155.5363311767578,130.28517150878906,80.17068481445312,158.7991485595703,103.70902252197266,202.93536376953125,131.35675048828125,102.44189453125,296.9472351074219,81.0643310546875,31.63141441345215,102.5261459350586
5,19,Db7,Db,37.333333333333336,85.4251708984375,264.4440612792969,89.80809783935547,140.7873992919922,497.7862243652344,426.1705322265625,319.1920471191406,80.04048156738281,112.7477798461914,194.59730529785156,445.9987487792969,163.8896484375
6,20,Gb7,Gb,38.0,688.6917114257812,329.6451721191406,282.1942443847656,1083.8106689453125,772.8104858398438,636.63623046875,185.7107696533203,139.19683837890625,239.251708984375,670.5667724609375,1294.8570556640625,386.2969665527344
7,20,F7,F,39.0,127.23736572265625,42.69369888305664,58.55955123901367,275.10345458984375,116.42178344726562,112.4805679321289,110.0073013305664,43.132266998291016,112.63526153564453,485.4051208496094,174.8736114501953,76.63648223876953
8,21,Abmin7,Ab,40.0,131.52883911132812,76.90459442138672,180.9549102783203,860.9458618164062,214.7457275390625,245.0133819580078,729.9949340820312,167.47113037109375,101.1323013305664,54.10500717163086,281.50408935546875,442.1382751464844
9,22,Db7,Db,42.0,129.35479736328125,416.3282775878906,92.3590316772461,165.3538360595703,199.6010284423828,1004.3650512695312,189.3171844482422,259.8248596191406,1716.5943603515625,296.2281799316406,45.816715240478516,183.99346923828125
10,23,Gbmaj7,Gb,44.0,117.9324951171875,538.7919921875,91.88553619384766,44.84938430786133,180.6599578857422,1039.76171875,436.3059387207031,42.363162994384766,28.434873580932617,51.023895263671875,117.43840789794922,36.90446090698242
11,24,Cmin7,C,46.0,165.9183807373047,34.57051086425781,53.571533203125,256.0968322753906,56.10041427612305,37.73108673095703,31.007299423217773,116.70369720458984,19.405488967895508,10.208303451538086,57.19169998168945,49.63203048706055
12,24,F7,F,47.0,398.2649230957031,110.82381439208984,154.5388946533203,606.2599487304688,279.2062683105469,306.2237854003906,111.71759796142578,97.22088623046875,110.52850341796875,224.97052001953125,95.6875,92.0707015991211
13,25,Bb7,Bb,48.0,265.8802490234375,136.26988220214844,531.6950073242188,499.5458984375,334.2068176269531,1366.90576171875,441.0996398925781,1715.4910888671875,457.1687316894531,126.77371215820312,118.73944854736328,73.8267593383789
14,26,Eb9,Eb,50.0,67.89022064208984,168.0356903076172,120.64220428466797,138.83531188964844,125.65172576904297,300.86328125,60.50376510620117,110.59024810791016,51.41472244262695,174.3975067138672,814.1651000976562,129.4131317138672
15,26,A7,A,51.0,73.03285217285156,176.78587341308594,74.15345001220703,147.5030059814453,286.3835144042969,107.26132202148438,37.399009704589844,149.7285614013672,66.69454956054688,35.62759780883789,13.20760440826416,26.859634399414062
16,27,Abmaj7,Ab,52.0,1508.6397705078125,459.72900390625,548.8477783203125,2820.943115234375,856.3928833007812,419.4325256347656,192.13316345214844,892.3422241210938,323.88726806640625,66.65898895263672,56.30098342895508,294.310791015625
17,29,Abmin7,Ab,56.0,90.52520751953125,40.662208557128906,172.9174041748047,876.55224609375,148.90399169921875,115.7451171875,656.0293579101562,149.47752380371094,97.50072479248047,23.55523109436035,102.70651245117188,445.2276306152344
18,30,Db7(#9),Db,58.0,106.33071899414062,66.79509735107422,71.03720092773438,369.8813171386719,1000.3478393554688,463.96337890625,107.06511688232422,59.621917724609375,123.96347045898438,44.287841796875,113.18134307861328,490.420166015625
19,31,Gbmaj7,Gb,60.0,115.51993560791016,500.4214782714844,87.55252838134766,54.825008392333984,218.1564483642578,1033.2666015625,441.7518005371094,43.55757141113281,19.735803604125977,46.80266189575195,118.43880462646484,56.05799865722656
20,32,F#min7,F#,62.0,47.272491455078125,164.8179473876953,46.00172805786133,111.8951187133789,250.8590545654297,117.3768310546875,189.53924560546875,34.969932556152344,22.853546142578125,60.53825378417969,33.90467071533203,44.63580322265625
21,32,B7,B,63.0,65.70477294921875,43.89604568481445,76.07794189453125,303.1788635253906,113.10494232177734,72.44696807861328,183.2985076904297,56.4699592590332,37.51236343383789,49.84991455078125,45.57756042480469,137.1566162109375
22,33,Fmin7,F,64.0,631.1995239257812,140.22401428222656,172.16505432128906,905.6764526367188,307.8446350097656,310.9938049316406,123.37213134765625,69.28414154052734,93.92102813720703,54.65591812133789,44.40890884399414,177.43190002441406
23,34,Bb7,Bb,66.0,44.23415756225586,80.36515808105469,398.391357421875,135.9154815673828,200.10060119628906,1028.864501953125,162.5318603515625,32.094425201416016,162.215576171875,104.63863372802734,116.89112091064453,42.27475357055664
24,35,Cmin7,C,68.0,539.6844482421875,98.39822387695312,182.095458984375,871.7634887695312,163.45957946777344,115.0535888671875,81.5497817993164,341.1818542480469,61.03876876831055,34.137847900390625,173.32415771484375,141.40170288085938
