,Measure,Theme,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,0,Bb,Bb,-2.0,3276.587646484375,10087.7138671875,57476.40234375,13594.9990234375,15161.765625,58989.796875,12909.39453125,2495.4814453125,10340.2021484375,73830.1015625,106706.625,18458.478515625
1,9,Bb,Bb,16.0,332.28228759765625,887.9583129882812,4747.76416015625,965.9052124023438,1213.8004150390625,6261.193359375,1480.5284423828125,208.20513916015625,354.9923095703125,2708.785400390625,9903.3486328125,1492.4564208984375
2,12,Bbmaj7,Bb,22.0,0.05238785222172737,0.5361772775650024,2.6242787837982178,0.46721765398979187,0.871821939945221,5.053890705108643,0.97333163022995,0.07277446985244751,0.07266626507043839,0.244217649102211,0.14020809531211853,0.034687455743551254
3,12,Gmin7,G,23.0,69.27351379394531,163.3271484375,584.4584350585938,223.3683624267578,259.5606384277344,824.555908203125,235.7812042236328,206.34754943847656,1105.2877197265625,721.639892578125,605.7748413085938,127.49600219726562
4,13,Cmin7,C,24.0,60.39278793334961,116.13851928710938,387.0833740234375,111.85442352294922,252.95762634277344,1146.4366455078125,381.011474609375,476.6155090332031,154.23744201660156,316.2524719238281,582.5252685546875,127.1558837890625
5,13,F7,F,25.0,513.1649169921875,148.9719696044922,382.1010437011719,977.1231079101562,326.6181335449219,277.3218078613281,126.08527374267578,467.907470703125,106.62024688720703,125.38837432861328,587.2050170898438,237.16729736328125
6,14,Bbmaj7,Bb,26.0,86.1032485961914,28.465185165405273,45.44611740112305,180.9589080810547,33.23359298706055,31.40155792236328,11.906357765197754,39.771881103515625,7.540393829345703,7.978214263916016,34.58670425415039,21.042238235473633
7,14,Gmin7,G,27.0,277.2992858886719,199.8316650390625,673.2443237304688,491.0405578613281,421.4806823730469,890.8771362304688,243.6943817138672,77.47724151611328,121.44598388671875,535.2039184570312,569.4324340820312,157.3295135498047
8,15,Cmin7,C,28.0,114.64716339111328,125.87520599365234,380.1531066894531,149.96963500976562,182.89295959472656,723.0165405273438,343.6361389160156,464.860595703125,148.19088745117188,335.7173767089844,756.4094848632812,155.7028045654297
9,15,F7,F,29.0,570.4384155273438,169.9466552734375,409.0948181152344,1025.4071044921875,338.9713439941406,302.2560729980469,226.4156036376953,488.0289001464844,108.34795379638672,133.2366180419922,628.27978515625,442.5037536621094
