,Measure,Song For M,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7(b5),D,0.0,2033.7109375,759.01611328125,1926.73291015625,465.4957580566406,790.0226440429688,3449.392333984375,851.751708984375,585.1378173828125,348.8695068359375,1304.23291015625,246.57061767578125,342.1226501464844
1,2,G7(#9),G,2.0,267.9675598144531,171.09613037109375,602.0641479492188,400.8631286621094,474.0567321777344,2284.78515625,744.4723510742188,1632.6693115234375,3268.453369140625,789.1017456054688,1501.3214111328125,1447.279296875
2,3,Cmin7,C,4.0,330.27056884765625,80.87068939208984,121.62055206298828,533.6896362304688,160.9525909423828,51.0914306640625,80.3578872680664,485.6708984375,80.40415954589844,70.79218292236328,365.6612243652344,159.5448455810547
3,3,Bmin7,B,5.0,66.16400909423828,36.5357666015625,81.1259536743164,128.03656005859375,33.52274703979492,40.29403305053711,95.51970672607422,54.03352737426758,15.495914459228516,41.45524215698242,40.02206802368164,49.895416259765625
4,4,Bbmin7,Bb,6.0,99.15308380126953,73.6057357788086,153.04209899902344,49.23073196411133,33.514915466308594,118.16272735595703,217.92645263671875,49.0941276550293,51.25107955932617,112.76651000976562,157.53941345214844,153.65451049804688
5,4,A7,A,7.0,73.6900405883789,363.3217468261719,104.48519134521484,152.03700256347656,601.4456787109375,460.6260070800781,150.981201171875,632.9577026367188,213.8807373046875,259.7855224609375,130.05401611328125,62.41898727416992
6,5,Abmaj7,Ab,8.0,2551.642578125,645.0850830078125,391.4427490234375,1807.6016845703125,832.4457397460938,300.23992919921875,284.886474609375,1209.908447265625,937.8790893554688,209.76792907714844,123.4707260131836,577.0228271484375
7,6,G7(#9),G,10.0,343.6422424316406,208.5723876953125,591.782958984375,444.6336975097656,503.1650085449219,2331.159912109375,680.8212280273438,1127.9559326171875,1754.0316162109375,726.0182495117188,2387.922119140625,1559.1385498046875
8,7,Cmin7,C,12.0,1180.4649658203125,330.81488037109375,703.3782348632812,1899.2821044921875,517.3922729492188,183.9217071533203,184.19847106933594,918.5673217773438,159.98204040527344,195.2038116455078,1104.8297119140625,494.6494140625
9,8,F13,F,14.0,1431.1109619140625,546.2681884765625,1785.5247802734375,2188.36865234375,877.7543334960938,820.9498901367188,321.1183166503906,1006.53955078125,317.2998046875,841.4590454101562,1213.09033203125,516.4102172851562
10,9,Dmin7(b5),D,16.0,1754.6923828125,512.3335571289062,1157.4342041015625,338.6336364746094,382.4700012207031,1950.51708984375,476.9928894042969,468.8703308105469,218.90870666503906,649.1431274414062,131.57667541503906,298.2799072265625
11,10,G7(#9),G,18.0,298.9656982421875,165.62847900390625,569.7236938476562,418.4782409667969,467.0664978027344,2252.197509765625,734.0185546875,1630.9130859375,3268.751953125,800.814453125,1505.615234375,1427.2769775390625
12,11,Cmin7,C,20.0,314.89556884765625,78.94025421142578,121.86988067626953,533.4376831054688,161.41368103027344,52.32048416137695,80.39891815185547,485.7646484375,80.40447235107422,70.04552459716797,364.4009704589844,155.9525604248047
13,11,Bmin7,B,21.0,50.17983627319336,15.54816722869873,38.8563117980957,116.15975952148438,23.85576820373535,15.36072063446045,7.6764349937438965,35.399879455566406,6.367541790008545,4.835963726043701,14.734724998474121,15.812816619873047
14,12,Bbmin7,Bb,22.0,132.48233032226562,89.36737060546875,185.9779815673828,72.45648956298828,40.02436447143555,144.75608825683594,421.3847961425781,83.7195053100586,61.6383171081543,166.2986297607422,172.7632598876953,209.46954345703125
15,12,A7,A,23.0,78.29701232910156,363.1666259765625,106.1950912475586,146.257080078125,597.2138061523438,448.7311096191406,166.3891143798828,654.0469360351562,216.1822052001953,261.7740173339844,130.17137145996094,79.9877700805664
16,13,Abmaj7,Ab,24.0,1175.2362060546875,393.8451232910156,315.4195861816406,1474.4993896484375,787.5208129882812,302.56024169921875,288.34881591796875,1179.13427734375,918.482666015625,185.48509216308594,105.40384674072266,346.9588317871094
17,14,G7(#9),G,26.0,610.2457885742188,252.0023651123047,580.2088012695312,387.1191101074219,530.0374145507812,2715.291259765625,925.4454956054688,1971.5509033203125,432.5705261230469,387.4662170410156,1189.3428955078125,1471.3392333984375
18,15,Cmin11,C,28.0,2072.07373046875,1059.461669921875,2463.495849609375,2669.259033203125,1937.3209228515625,7036.44775390625,1905.6826171875,2724.700927734375,794.54150390625,1187.9764404296875,2596.734619140625,1084.74462890625
19,17,Fmin11,F,32.0,10231.74609375,2091.620849609375,2118.241943359375,7138.54150390625,4199.63720703125,13180.15234375,3792.441162109375,10605.2197265625,9721.265625,2727.858154296875,6838.47119140625,3016.541748046875
20,19,Abmin11,Ab,36.0,2805.178466796875,3829.3525390625,2382.661865234375,8363.5634765625,1602.90380859375,2572.444091796875,8843.47265625,2540.725830078125,5146.74609375,3002.344970703125,13547.4140625,12575.4208984375
21,21,Bmin11,B,40.0,1895.6771240234375,6758.876953125,8048.65380859375,3150.070556640625,7656.92041015625,3017.7998046875,5363.20751953125,1259.8028564453125,4175.06396484375,17262.392578125,3841.2373046875,4482.36767578125
22,23,Emin11,E,44.0,52.31924819946289,93.5593490600586,407.9820251464844,152.0045166015625,148.77481079101562,83.05451202392578,437.1415100097656,408.7843933105469,95.65221405029297,85.8540267944336,67.3809585571289,246.0732421875
23,23,Dmin11,D,44.66666666666666,249.58306884765625,135.3339385986328,273.3064270019531,127.996826171875,275.7834777832031,142.4626922607422,153.18577575683594,237.86610412597656,137.8649444580078,343.1274719238281,103.16597747802734,131.17788696289062
